00007ffa1e023e3b (__TEXT,__text) non-external _DiToMD5
00007ffa1e02411b (__TEXT,__text) non-external _DiToSHA1
00007ffa1e00e040 (__TEXT,__text) external _DriverExecutableMain
00007ffa4193c8c8 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ffa4193cb88 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ffa4193ca90 (__DATA_CONST,__const) external _IOCommand_Class
00007ffa4193cc80 (__DATA_CONST,__const) external _IODMACommand_Class
00007ffa4193cde0 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ffa1e00af23 (__TEXT,__text) external _IODelay
00007ffa4193cf90 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ffa4193d140 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ffa1e00e56e (__TEXT,__text) external _IODriverKitTest
00007ffa1e032783 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ffa1e0327ae (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ffa1e0327d1 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ffa1e0327fc (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ffa1e03281f (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ffa1e032842 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ffa1e032865 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ffa1e032888 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ffa4193d2f0 (__DATA_CONST,__const) external _IOEventLink_Class
00007ffa1e00aed2 (__TEXT,__text) external _IOFree
00007ffa1e00af09 (__TEXT,__text) external _IOFreeData
00007ffa1e00e553 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ffa4193db40 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ffa4193d450 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ffa1e00af36 (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ffa1e00d464 (__TEXT,__text) external _IOLockAlloc
00007ffa1e00d4b3 (__TEXT,__text) external _IOLockAssert
00007ffa1e0321d7 (__TEXT,__text) non-external _IOLockAssert.cold.1
00007ffa1e00d47f (__TEXT,__text) external _IOLockFree
00007ffa1e00d495 (__TEXT,__text) external _IOLockLock
00007ffa1e00d49f (__TEXT,__text) external _IOLockTryLock
00007ffa1e00d4a9 (__TEXT,__text) external _IOLockUnlock
00007ffa1e00ad3f (__TEXT,__text) external _IOLog
00007ffa1e00abc8 (__TEXT,__text) external _IOLogBuffer
00007ffa1e00ade7 (__TEXT,__text) external _IOLogv
00007ffa1e00aea5 (__TEXT,__text) external _IOMalloc
00007ffa1e00aedc (__TEXT,__text) external _IOMallocData
00007ffa1e00aec0 (__TEXT,__text) external _IOMallocZero
00007ffa1e00aef7 (__TEXT,__text) external _IOMallocZeroData
00007ffa4193d600 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007ffa4193d7b0 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007ffa1e00afb6 (__TEXT,__text) external _IOParseBootArgNumber
00007ffa1e00b465 (__TEXT,__text) external _IOParseBootArgString
00007ffa1e00c779 (__TEXT,__text) external _IORPCMessageFromMach
00007ffa1e031f76 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
