                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018f4b9e58 (__TEXT,__text) non-external _alone_decode
000000018f4ba114 (__TEXT,__text) non-external _alone_decoder_end
000000018f4ba154 (__TEXT,__text) non-external _alone_decoder_memconfig
000000018f4b8838 (__TEXT,__text) non-external _alone_encode
000000018f4b896c (__TEXT,__text) non-external _alone_encoder_end
000000018f4b86bc (__TEXT,__text) non-external _alone_encoder_init
000000018f4c3d60 (__TEXT,__text) non-external _arm64_code
000000018f4c6af8 (__TEXT,__text) non-external _arm_code
000000018f4c6bd8 (__TEXT,__text) non-external _armthumb_code
000000018f4ba380 (__TEXT,__text) non-external _auto_decode
000000018f4ba504 (__TEXT,__text) non-external _auto_decoder_end
000000018f4ba544 (__TEXT,__text) non-external _auto_decoder_get_check
000000018f4ba278 (__TEXT,__text) non-external _auto_decoder_init
000000018f4ba55c (__TEXT,__text) non-external _auto_decoder_memconfig
000000018f4cc628 (__TEXT,__const) non-external _bcj_optmap
000000018f4b8a54 (__TEXT,__text) non-external _block_buffer_encode
000000018f4ba8ac (__TEXT,__text) non-external _block_decode
000000018f4bab20 (__TEXT,__text) non-external _block_decoder_end
000000018f4b3314 (__TEXT,__text) non-external _block_encode
000000018f4b8cf8 (__TEXT,__text) non-external _block_encode_normal
000000018f4b8e60 (__TEXT,__text) non-external _block_encode_uncompressed
000000018f4b75fc (__TEXT,__text) non-external _block_encoder_end
000000018f4b1454 (__TEXT,__text) non-external _block_encoder_init
000000018f4b9008 (__TEXT,__text) non-external _block_encoder_update
000000018f4b64a8 (__TEXT,__text) non-external _bt_find_func
000000018f4b43f4 (__TEXT,__text) non-external _bt_skip_func
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _clock_gettime (from libSystem)
000000018f4c6440 (__TEXT,__text) non-external _copy_or_code
000000018f4bf70c (__TEXT,__text) non-external _decode_buffer
000000018f4bafd4 (__TEXT,__text) non-external _decoder_find
00000001ebcda3e0 (__AUTH_CONST,__const) non-external _decoders
000000018f4c5cdc (__TEXT,__text) non-external _delta_coder_end
000000018f4c5f00 (__TEXT,__text) non-external _delta_decode
000000018f4c5d6c (__TEXT,__text) non-external _delta_encode
000000018f4c5e9c (__TEXT,__text) non-external _delta_encoder_update
000000018f4cc640 (__TEXT,__const) non-external _delta_optmap
000000018f4b19f8 (__TEXT,__text) non-external _encoder_find
00000001ebcda178 (__AUTH_CONST,__const) non-external _encoders
000000018f4c83f0 (__TEXT,__const) non-external _features
000000018f4c042c (__TEXT,__text) non-external _file_info_decode
000000018f4c0a04 (__TEXT,__text) non-external _file_info_decoder_end
000000018f4c0a60 (__TEXT,__text) non-external _file_info_decoder_memconfig
00000001ebcda540 (__AUTH_CONST,__const) non-external _filter_name_map
                 (undefined) external _free (from libSystem)
000000018f4b65f4 (__TEXT,__text) non-external _get_literal_price
000000018f4c70ec (__TEXT,__text) non-external _get_options
000000018f4c796c (__TEXT,__text) non-external _get_progress
000000018f4c5778 (__TEXT,__text) non-external _get_thread
000000018f4bb978 (__TEXT,__text) non-external _hash_append
000000018f4bd764 (__TEXT,__text) non-external _hc_find_func
000000018f4c6918 (__TEXT,__text) non-external _ia64_code
000000018f4ce7c8 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
000000018f4b8224 (__TEXT,__text) non-external _index_cat_helper
000000018f4bb2d8 (__TEXT,__text) non-external _index_decode
000000018f4bb5bc (__TEXT,__text) non-external _index_decoder_end
000000018f4bb600 (__TEXT,__text) non-external _index_decoder_memconfig
000000018f4b6e3c (__TEXT,__text) non-external _index_encode
000000018f4b7704 (__TEXT,__text) non-external _index_encoder_end
000000018f4b7780 (__TEXT,__text) non-external _index_stream_end
000000018f4b10d0 (__TEXT,__text) non-external _index_tree_append
000000018f4b7708 (__TEXT,__text) non-external _index_tree_node_end
000000018f4b21ac (__TEXT,__text) non-external _is_options_valid
000000018f4b7260 (__TEXT,__text) non-external _iter_set_info
000000018f4b6910 (__TEXT,__text) non-external _length
000000018f4b2204 (__TEXT,__text) non-external _length_encoder_reset
000000018f4b2308 (__TEXT,__text) non-external _length_update_prices
000000018f4bf4d8 (__TEXT,__text) non-external _lz_decode
000000018f4bf694 (__TEXT,__text) non-external _lz_decoder_end
000000018f4b3518 (__TEXT,__text) non-external _lz_encode
000000018f4b763c (__TEXT,__text) non-external _lz_encoder_end
000000018f4b24a4 (__TEXT,__text) non-external _lz_encoder_prepare
000000018f4bd56c (__TEXT,__text) non-external _lz_encoder_set_out_limit
000000018f4bd4f4 (__TEXT,__text) non-external _lz_encoder_update
000000018f4bcf34 (__TEXT,__text) non-external _lzip_decode
000000018f4bd390 (__TEXT,__text) non-external _lzip_decoder_end
000000018f4bd3d4 (__TEXT,__text) non-external _lzip_decoder_get_check
000000018f4bd3dc (__TEXT,__text) non-external _lzip_decoder_memconfig
000000018f4cc5c8 (__TEXT,__const) non-external _lzma12_mf_map
000000018f4cc598 (__TEXT,__const) non-external _lzma12_mode_map
00000001e4312448 (__DATA_CONST,__const) non-external _lzma12_optmap
000000018f4c3fd4 (__TEXT,__text) non-external _lzma2_decode
000000018f4c42e0 (__TEXT,__text) non-external _lzma2_decoder_end
000000018f4c3e48 (__TEXT,__text) non-external _lzma2_decoder_init
000000018f4b3728 (__TEXT,__text) non-external _lzma2_encode
000000018f4b76c0 (__TEXT,__text) non-external _lzma2_encoder_end
000000018f4b1cec (__TEXT,__text) non-external _lzma2_encoder_init
000000018f4c3c7c (__TEXT,__text) non-external _lzma2_encoder_options_update
000000018f4c83d8 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
