00007ffa19327f0a (__TEXT,__text) external _CGLGetCurrentContext
00007ffa19327eed (__TEXT,__text) external _CGLSetCurrentContext
00007ffa1931ddaa (__TEXT,__text) external _glAccum
00007ffa193240e8 (__TEXT,__text) external _glActiveShaderProgram
00007ffa193267f7 (__TEXT,__text) external _glActiveStencilFaceEXT
00007ffa19320bf2 (__TEXT,__text) external _glActiveTexture
00007ffa193254fa (__TEXT,__text) external _glActiveTextureARB
00007ffa1931ddc3 (__TEXT,__text) external _glAlphaFunc
00007ffa1931dddc (__TEXT,__text) external _glAreTexturesResident
00007ffa1931ddfb (__TEXT,__text) external _glArrayElement
00007ffa1932604e (__TEXT,__text) external _glAttachObjectARB
00007ffa19321fe6 (__TEXT,__text) external _glAttachShader
00007ffa1931de14 (__TEXT,__text) external _glBegin
00007ffa19322bcf (__TEXT,__text) external _glBeginConditionalRender
00007ffa19327dfe (__TEXT,__text) external _glBeginConditionalRenderNV
00007ffa193217b4 (__TEXT,__text) external _glBeginQuery
00007ffa19325d77 (__TEXT,__text) external _glBeginQueryARB
00007ffa19323ebd (__TEXT,__text) external _glBeginQueryIndexed
00007ffa19322ae1 (__TEXT,__text) external _glBeginTransformFeedback
00007ffa1932703a (__TEXT,__text) external _glBeginTransformFeedbackEXT
00007ffa193224af (__TEXT,__text) external _glBindAttribLocation
00007ffa1932648a (__TEXT,__text) external _glBindAttribLocationARB
00007ffa19321854 (__TEXT,__text) external _glBindBuffer
00007ffa19325e17 (__TEXT,__text) external _glBindBufferARB
00007ffa19322b3b (__TEXT,__text) external _glBindBufferBase
00007ffa19327019 (__TEXT,__text) external _glBindBufferBaseEXT
00007ffa19326ff5 (__TEXT,__text) external _glBindBufferOffsetEXT
00007ffa19322b14 (__TEXT,__text) external _glBindBufferRange
00007ffa19326fce (__TEXT,__text) external _glBindBufferRangeEXT
00007ffa19322f19 (__TEXT,__text) external _glBindFragDataLocation
00007ffa1932758a (__TEXT,__text) external _glBindFragDataLocationEXT
00007ffa19323619 (__TEXT,__text) external _glBindFragDataLocationIndexed
00007ffa1932275f (__TEXT,__text) external _glBindFramebuffer
00007ffa19326d64 (__TEXT,__text) external _glBindFramebufferEXT
