00007ffa42c26ae0 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffa42c26a20 (__DATA,__data) non-external _TIMEOUT
00007ffa42c26a30 (__DATA,__data) non-external _TIMEOUT
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffa0fe400d0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffa0fe400f0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___memmove_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00007ffa0fe3c6ca (__TEXT,__text) non-external __buf
00007ffa0fe4af3a (__TEXT,__text) non-external __buf.cold.1
00007ffa0fe4afe1 (__TEXT,__text) non-external __buf.cold.2
00007ffa0fe3c5a8 (__TEXT,__text) external __newrpclib___rpc_createerr
00007ffa0fe4ad45 (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.1
00007ffa0fe4adec (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.2
00007ffa0fe40c26 (__TEXT,__text) external __newrpclib__authenticate
00007ffa0fe4ba44 (__TEXT,__text) non-external __newrpclib__authenticate.cold.1
00007ffa0fe4bae1 (__TEXT,__text) non-external __newrpclib__authenticate.cold.2
00007ffa0fe4bb8f (__TEXT,__text) non-external __newrpclib__authenticate.cold.3
00007ffa42c26c10 (__DATA,__common) external __newrpclib__null_auth
00007ffa0fe408d5 (__TEXT,__text) external __newrpclib__seterr_reply
00007ffa0fe3ada8 (__TEXT,__text) external __newrpclib_authnone_create
00007ffa0fe4a815 (__TEXT,__text) non-external __newrpclib_authnone_create.cold.1
00007ffa0fe3af0a (__TEXT,__text) external __newrpclib_authunix_create
00007ffa0fe4a8bc (__TEXT,__text) non-external __newrpclib_authunix_create.cold.1
00007ffa0fe4a96a (__TEXT,__text) non-external __newrpclib_authunix_create.cold.2
00007ffa0fe4aa18 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.3
00007ffa0fe4aab3 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.4
00007ffa0fe3b261 (__TEXT,__text) external __newrpclib_authunix_create_default
00007ffa0fe4abe9 (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.1
00007ffa0fe4ac97 (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.2
00007ffa0fe3aba0 (__TEXT,__text) external __newrpclib_callrpc
00007ffa0fe3fe16 (__TEXT,__text) external __newrpclib_clnt_broadcast
00007ffa0fe3b8ae (__TEXT,__text) external __newrpclib_clnt_create
00007ffa0fe3b696 (__TEXT,__text) external __newrpclib_clnt_create_timeout
00007ffa0fe3b9ff (__TEXT,__text) external __newrpclib_clnt_multicasts_buf_timeout
00007ffa0fe3ccf5 (__TEXT,__text) external __newrpclib_clnt_pcreateerror
00007ffa0fe3ca5d (__TEXT,__text) external __newrpclib_clnt_perrno
00007ffa0fe3c970 (__TEXT,__text) external __newrpclib_clnt_perror
00007ffa0fe3ca9f (__TEXT,__text) external __newrpclib_clnt_spcreateerror
00007ffa0fe3ca2b (__TEXT,__text) external __newrpclib_clnt_sperrno
00007ffa0fe3c691 (__TEXT,__text) external __newrpclib_clnt_sperror
00007ffa0fe3cd81 (__TEXT,__text) external __newrpclib_clntraw_create
00007ffa0fe4b12f (__TEXT,__text) non-external __newrpclib_clntraw_create.cold.1
00007ffa0fe3dddf (__TEXT,__text) external __newrpclib_clnttcp_create
00007ffa0fe4b87c (__TEXT,__text) non-external __newrpclib_clnttcp_create.cold.1
00007ffa0fe3dcbf (__TEXT,__text) external __newrpclib_clnttcp_create_sa
00007ffa0fe4b746 (__TEXT,__text) non-external __newrpclib_clnttcp_create_sa.cold.1
00007ffa0fe3dd4e (__TEXT,__text) external __newrpclib_clnttcp_create_timeout
00007ffa0fe4b7e1 (__TEXT,__text) non-external __newrpclib_clnttcp_create_timeout.cold.1
00007ffa0fe3e756 (__TEXT,__text) external __newrpclib_clntudp_bufcreate
00007ffa0fe3e7ac (__TEXT,__text) external __newrpclib_clntudp_bufcreate_sa
00007ffa0fe3e32c (__TEXT,__text) external __newrpclib_clntudp_bufcreate_timeout
00007ffa0fe3e796 (__TEXT,__text) external __newrpclib_clntudp_create
00007ffa0fe3e7de (__TEXT,__text) external __newrpclib_clntudp_create_sa
00007ffa0fe3ee54 (__TEXT,__text) external __newrpclib_getrpcport
00007ffa0fe47a33 (__TEXT,__text) external __newrpclib_netid2socparms
00007ffa0fe3fbaa (__TEXT,__text) external __newrpclib_pmap_callit
00007ffa0fe3eeec (__TEXT,__text) external __newrpclib_pmap_getmaps
00007ffa0fe3f12c (__TEXT,__text) external __newrpclib_pmap_getport
00007ffa0fe3f13c (__TEXT,__text) external __newrpclib_pmap_getport_sa
00007ffa0fe3ffb1 (__TEXT,__text) external __newrpclib_pmap_indirect
00007ffa0fe3f14c (__TEXT,__text) external __newrpclib_pmap_rmtcall
00007ffa0fe48586 (__TEXT,__text) external __newrpclib_pmap_set
00007ffa0fe4868e (__TEXT,__text) external __newrpclib_pmap_unset
00007ffa0fe3f37d (__TEXT,__text) external __newrpclib_pmap_wakeup
00007ffa0fe488c7 (__TEXT,__text) external __newrpclib_pmapproc_callit_2
00007ffa0fe48886 (__TEXT,__text) external __newrpclib_pmapproc_dump_2
00007ffa0fe48841 (__TEXT,__text) external __newrpclib_pmapproc_getport_2
00007ffa0fe48787 (__TEXT,__text) external __newrpclib_pmapproc_null_2
00007ffa0fe487b7 (__TEXT,__text) external __newrpclib_pmapproc_set_2
00007ffa0fe487fc (__TEXT,__text) external __newrpclib_pmapproc_unset_2
00007ffa0fe41730 (__TEXT,__text) external __newrpclib_registerrpc
00007ffa0fe4be0a (__TEXT,__text) non-external __newrpclib_registerrpc.cold.1
00007ffa0fe4bea5 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.2
00007ffa0fe4bf40 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.3
00007ffa0fe4bfe5 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.4
00007ffa42c26ac8 (__DATA,__bss) non-external __newrpclib_registerrpc.transp
00007ffa0fe404d8 (__TEXT,__text) external __newrpclib_rpc_control
00007ffa0fe4b9b0 (__TEXT,__text) non-external __newrpclib_rpc_control.cold.1
00007ffa42c26c08 (__DATA,__common) external __newrpclib_rpc_ipmode
00007ffa42c269c8 (__DATA,__data) external __newrpclib_rpc_v4mapped_ok
00007ffa0fe3f470 (__TEXT,__text) external __newrpclib_rpcb_callit
00007ffa0fe4a19e (__TEXT,__text) external __newrpclib_rpcb_getaddr
00007ffa0fe4a1be (__TEXT,__text) external __newrpclib_rpcb_getaddr_for_host
00007ffa0fe49a06 (__TEXT,__text) external __newrpclib_rpcb_getaddr_timeout
00007ffa0fe4f2e3 (__TEXT,__text) non-external __newrpclib_rpcb_getaddr_timeout.cold.1
00007ffa0fe4a1ae (__TEXT,__text) external __newrpclib_rpcb_getversaddr
00007ffa0fe4a0e9 (__TEXT,__text) external __newrpclib_rpcb_getversaddr_timeout
00007ffa0fe3fe20 (__TEXT,__text) external __newrpclib_rpcb_indirect
00007ffa0fe4a2dc (__TEXT,__text) external __newrpclib_rpcb_set
00007ffa0fe4a592 (__TEXT,__text) external __newrpclib_rpcb_unset
00007ffa0fe48c5a (__TEXT,__text) external __newrpclib_rpcbproc_bcast_4
00007ffa0fe48a25 (__TEXT,__text) external __newrpclib_rpcbproc_callit_3
00007ffa0fe489e4 (__TEXT,__text) external __newrpclib_rpcbproc_dump_3
00007ffa0fe48c19 (__TEXT,__text) external __newrpclib_rpcbproc_dump_4
00007ffa0fe4899e (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_3
00007ffa0fe48bd3 (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_4
00007ffa0fe48e11 (__TEXT,__text) external __newrpclib_rpcbproc_getaddrlist_4
00007ffa0fe48e57 (__TEXT,__text) external __newrpclib_rpcbproc_getstat_4
00007ffa0fe48a72 (__TEXT,__text) external __newrpclib_rpcbproc_gettime_3
00007ffa0fe48ca7 (__TEXT,__text) external __newrpclib_rpcbproc_gettime_4
00007ffa0fe48d7e (__TEXT,__text) external __newrpclib_rpcbproc_getversaddr_4
00007ffa0fe48dc4 (__TEXT,__text) external __newrpclib_rpcbproc_indirect_4
00007ffa0fe48914 (__TEXT,__text) external __newrpclib_rpcbproc_set_3
00007ffa0fe48b49 (__TEXT,__text) external __newrpclib_rpcbproc_set_4
00007ffa0fe48b03 (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_3
00007ffa0fe48d38 (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_4
00007ffa0fe48ab2 (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_3
00007ffa0fe48ce7 (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_4
00007ffa0fe48959 (__TEXT,__text) external __newrpclib_rpcbproc_unset_3
00007ffa0fe48b8e (__TEXT,__text) external __newrpclib_rpcbproc_unset_4
00007ffa0fe47df4 (__TEXT,__text) external __newrpclib_sa2uaddr
00007ffa0fe3b24d (__TEXT,__text) external __newrpclib_set_rpc_maxgrouplist
00007ffa0fe47972 (__TEXT,__text) external __newrpclib_socparms2netid
00007ffa0fe4508b (__TEXT,__text) external __newrpclib_svc_enable_localaddr
00007ffa0fe4ea5e (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.1
00007ffa0fe4eaf2 (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.2
00007ffa0fe4eba0 (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.3
00007ffa0fe41697 (__TEXT,__text) external __newrpclib_svc_exit
00007ffa0fe4519c (__TEXT,__text) external __newrpclib_svc_getcallee_sa
00007ffa0fe4518e (__TEXT,__text) external __newrpclib_svc_getcaller_sa
00007ffa0fe45181 (__TEXT,__text) external __newrpclib_svc_getnetid
00007ffa0fe44c7d (__TEXT,__text) external __newrpclib_svc_getsomerequests
00007ffa0fe41317 (__TEXT,__text) external __newrpclib_svc_pollnext
00007ffa0fe4bd5a (__TEXT,__text) non-external __newrpclib_svc_pollnext.cold.1
00007ffa0fe4408e (__TEXT,__text) external __newrpclib_svc_register
00007ffa0fe4448d (__TEXT,__text) external __newrpclib_svc_reqsendreply
00007ffa0fe40e46 (__TEXT,__text) external __newrpclib_svc_run
00007ffa0fe443fc (__TEXT,__text) external __newrpclib_svc_sendreply
00007ffa0fe441ac (__TEXT,__text) external __newrpclib_svc_unregister
00007ffa0fe448c8 (__TEXT,__text) external __newrpclib_svcerr_auth
00007ffa0fe44674 (__TEXT,__text) external __newrpclib_svcerr_decode
00007ffa0fe4454a (__TEXT,__text) external __newrpclib_svcerr_noproc
00007ffa0fe44a04 (__TEXT,__text) external __newrpclib_svcerr_noprog
00007ffa0fe44b2b (__TEXT,__text) external __newrpclib_svcerr_progvers
00007ffa0fe44940 (__TEXT,__text) external __newrpclib_svcerr_reqauth
00007ffa0fe446f4 (__TEXT,__text) external __newrpclib_svcerr_reqdecode
00007ffa0fe445ca (__TEXT,__text) external __newrpclib_svcerr_reqnoproc
00007ffa0fe44a81 (__TEXT,__text) external __newrpclib_svcerr_reqnoprog
00007ffa0fe44bbd (__TEXT,__text) external __newrpclib_svcerr_reqprogvers
00007ffa0fe4481e (__TEXT,__text) external __newrpclib_svcerr_reqsystemerr
00007ffa0fe449f5 (__TEXT,__text) external __newrpclib_svcerr_reqweakauth
00007ffa0fe4479e (__TEXT,__text) external __newrpclib_svcerr_systemerr
00007ffa0fe449e6 (__TEXT,__text) external __newrpclib_svcerr_weakauth
00007ffa0fe421fd (__TEXT,__text) external __newrpclib_svcfd_create
00007ffa0fe40da9 (__TEXT,__text) external __newrpclib_svcraw_create
00007ffa0fe41a0a (__TEXT,__text) external __newrpclib_svctcp_create
00007ffa0fe4c260 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.1
00007ffa0fe4c30e (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.2
00007ffa0fe4c3a9 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.3
00007ffa0fe4c457 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.4
00007ffa0fe4c505 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.5
00007ffa0fe4c5a0 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.6
00007ffa0fe4c63b (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.7
00007ffa0fe42d17 (__TEXT,__text) external __newrpclib_svcudp_bufcreate
00007ffa0fe4d80d (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.1
00007ffa0fe4d8bb (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.2
00007ffa0fe4d969 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.3
00007ffa0fe4da17 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.4
00007ffa0fe4dac5 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.5
00007ffa0fe4db73 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.6
00007ffa0fe43063 (__TEXT,__text) external __newrpclib_svcudp_create
00007ffa0fe47af3 (__TEXT,__text) external __newrpclib_uaddr2sa
00007ffa0fe451ab (__TEXT,__text) external __newrpclib_xdr_array
00007ffa0fe4ec3a (__TEXT,__text) non-external __newrpclib_xdr_array.cold.1
00007ffa0fe3b614 (__TEXT,__text) external __newrpclib_xdr_authunix_parms
00007ffa0fe46a17 (__TEXT,__text) external __newrpclib_xdr_bool
00007ffa0fe46b2c (__TEXT,__text) external __newrpclib_xdr_bytes
00007ffa0fe4efa0 (__TEXT,__text) non-external __newrpclib_xdr_bytes.cold.1
00007ffa0fe40862 (__TEXT,__text) external __newrpclib_xdr_callhdr
00007ffa0fe4011a (__TEXT,__text) external __newrpclib_xdr_callmsg
00007ffa0fe469b7 (__TEXT,__text) external __newrpclib_xdr_char
00007ffa0fe407ed (__TEXT,__text) external __newrpclib_xdr_des_block
00007ffa0fe4537f (__TEXT,__text) external __newrpclib_xdr_double
00007ffa0fe46a84 (__TEXT,__text) external __newrpclib_xdr_enum
00007ffa0fe4532c (__TEXT,__text) external __newrpclib_xdr_float
00007ffa0fe46607 (__TEXT,__text) external __newrpclib_xdr_free
00007ffa0fe47035 (__TEXT,__text) external __newrpclib_xdr_getrecord
00007ffa0fe4700d (__TEXT,__text) external __newrpclib_xdr_hyper
00007ffa0fe4663d (__TEXT,__text) external __newrpclib_xdr_int
00007ffa0fe468ef (__TEXT,__text) external __newrpclib_xdr_int16_t
00007ffa0fe46765 (__TEXT,__text) external __newrpclib_xdr_int32_t
00007ffa0fe46eb7 (__TEXT,__text) external __newrpclib_xdr_int64_t
