0000000232301548 (__DATA,__common) external _AfterColour
0000000232302ed8 (__DATA,__common) external _ApplyExtTspWithoutProfile
0000000232304290 (__DATA,__common) external _AsmMacroMaxNestingDepth
00000002322fbda0 (__DATA,__common) external _BBSectionsDetectSourceDrift
0000000232301460 (__DATA,__common) external _BeforeColour
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCStringNoCopy (from CoreFoundation)
00000002322fc960 (__DATA,__common) external _CheapRematWeight
0000000232301630 (__DATA,__common) external _CommonColour
00000002322fc708 (__DATA,__common) external _CopyWeight
0000000232300e48 (__DATA,__common) external _DisableBitcodeVersionUpgrade
0000000232302e18 (__DATA,__common) external _EnableExtTspBlockPlacement
00000002322ffac8 (__DATA,__common) external _EnableLTOInternalization
0000000232304108 (__DATA,__common) external _EnableVPlanNativePath
0000000232304048 (__DATA,__common) external _EnableVPlanPredication
00000002322fc640 (__DATA,__common) external _EvictInterferenceCutoff
00000002322fca28 (__DATA,__common) external _ExpensiveRematWeight
0000000231b9f2c0 (__DATA_DIRTY,__common) external _FSEC
0000000232302538 (__DATA,__common) external _ForceFusion
00000002322fb678 (__DATA,__common) external _ForceSummaryEdgesCold
00000002323023b8 (__DATA,__common) external _FuseMatrix
0000000232301e20 (__DATA,__common) external _GenerateMergedBaseProfiles
00000002322fac50 (__DATA,__common) external _InlinerFunctionImportStats
00000001feda2224 (__TEXT,__text) external _LLVMABIAlignmentOfType
00000001feda21e8 (__TEXT,__text) external _LLVMABISizeOfType
00000001fe49ad8c (__TEXT,__text) external _LLVMAGXRuntimeMajorVersion
00000001fe49ad94 (__TEXT,__text) external _LLVMAGXRuntimeMinorVersion
00000001feea8338 (__TEXT,__text) external _LLVMAddAddDiscriminatorsPass
00000001feb05a74 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00000001fdcc9a30 (__TEXT,__text) external _LLVMAddAggressiveInstCombinerPass
00000001fe2b7d40 (__TEXT,__text) external _LLVMAddAlias
00000001fe2b7dec (__TEXT,__text) external _LLVMAddAlias2
00000001feb05b88 (__TEXT,__text) external _LLVMAddAlignmentFromAssumptionsPass
00000001fe604400 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00000001feda4dec (__TEXT,__text) external _LLVMAddAnalysisPasses
00000001fe6041c8 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00000001fe2b8404 (__TEXT,__text) external _LLVMAddAttributeAtIndex
00000001feb069e0 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00000001feb05b2c (__TEXT,__text) external _LLVMAddBitTrackingDCEPass
00000001feb05be4 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00000001fe2b92a0 (__TEXT,__text) external _LLVMAddCallSiteAttribute
00000001fe604228 (__TEXT,__text) external _LLVMAddCalledValuePropagationPass
00000001fe2ba810 (__TEXT,__text) external _LLVMAddCase
00000001fe2ba848 (__TEXT,__text) external _LLVMAddClause
00000001fe604284 (__TEXT,__text) external _LLVMAddConstantMergePass
00000001fef33548 (__TEXT,__text) external _LLVMAddCoroCleanupPass
00000001fef33430 (__TEXT,__text) external _LLVMAddCoroEarlyPass
00000001fef334ec (__TEXT,__text) external _LLVMAddCoroElidePass
00000001fef3348c (__TEXT,__text) external _LLVMAddCoroSplitPass
00000001feb067b0 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00000001feb05ad0 (__TEXT,__text) external _LLVMAddDCEPass
00000001fe6042e0 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00000001feb05c90 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00000001feb066f4 (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00000001fe2ba814 (__TEXT,__text) external _LLVMAddDestination
00000001feb0686c (__TEXT,__text) external _LLVMAddEarlyCSEMemSSAPass
00000001feb0680c (__TEXT,__text) external _LLVMAddEarlyCSEPass
00000001fe2b7f74 (__TEXT,__text) external _LLVMAddFunction
00000001fe60433c (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00000001fe604398 (__TEXT,__text) external _LLVMAddFunctionInliningPass
00000001feb05d48 (__TEXT,__text) external _LLVMAddGVNPass
00000001fe2b797c (__TEXT,__text) external _LLVMAddGlobal
00000001fe604460 (__TEXT,__text) external _LLVMAddGlobalDCEPass
00000001fe2b88e0 (__TEXT,__text) external _LLVMAddGlobalIFunc
00000001fe2b7a24 (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
00000001fe6044c8 (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
00000001fe2ba874 (__TEXT,__text) external _LLVMAddHandler
00000001fe604580 (__TEXT,__text) external _LLVMAddIPSCCPPass
00000001fe2b972c (__TEXT,__text) external _LLVMAddIncoming
00000001feb05e74 (__TEXT,__text) external _LLVMAddIndVarSimplifyPass
00000001fe6a6a38 (__TEXT,__text) external _LLVMAddInstructionCombiningPass
00000001feb05ed0 (__TEXT,__text) external _LLVMAddInstructionSimplifyPass
00000001fe604638 (__TEXT,__text) external _LLVMAddInternalizePass
00000001fe6046f0 (__TEXT,__text) external _LLVMAddInternalizePassWithMustPreservePredicate
00000001feb05f2c (__TEXT,__text) external _LLVMAddJumpThreadingPass
00000001feb05ff8 (__TEXT,__text) external _LLVMAddLICMPass
00000001feb06054 (__TEXT,__text) external _LLVMAddLoopDeletionPass
00000001feb0610c (__TEXT,__text) external _LLVMAddLoopIdiomPass
00000001feb061cc (__TEXT,__text) external _LLVMAddLoopRerollPass
00000001feb06168 (__TEXT,__text) external _LLVMAddLoopRotatePass
00000001feb062b4 (__TEXT,__text) external _LLVMAddLoopUnrollAndJamPass
00000001feb06228 (__TEXT,__text) external _LLVMAddLoopUnrollPass
00000001feb06314 (__TEXT,__text) external _LLVMAddLoopUnswitchPass
00000001fefb1c3c (__TEXT,__text) external _LLVMAddLoopVectorizePass
00000001feb06384 (__TEXT,__text) external _LLVMAddLowerAtomicPass
00000001feb06a3c (__TEXT,__text) external _LLVMAddLowerConstantIntrinsicsPass
00000001feb06a98 (__TEXT,__text) external _LLVMAddLowerExpectIntrinsicPass
00000001feea8280 (__TEXT,__text) external _LLVMAddLowerSwitchPass
00000001feb063e0 (__TEXT,__text) external _LLVMAddMemCpyOptPass
00000001fe6045dc (__TEXT,__text) external _LLVMAddMergeFunctionsPass
00000001feb05e14 (__TEXT,__text) external _LLVMAddMergedLoadStoreMotionPass
00000001fe2b9c0c (__TEXT,__text) external _LLVMAddMetadataToInst
00000001fe2b3d50 (__TEXT,__text) external _LLVMAddModuleFlag
00000001fe2b63bc (__TEXT,__text) external _LLVMAddNamedMetadataOperand
00000001feb05db8 (__TEXT,__text) external _LLVMAddNewGVNPass
00000001feb0643c (__TEXT,__text) external _LLVMAddPartiallyInlineLibCallsPass
00000001feea82dc (__TEXT,__text) external _LLVMAddPromoteMemoryToRegisterPass
00000001fe604524 (__TEXT,__text) external _LLVMAddPruneEHPass
00000001feb06498 (__TEXT,__text) external _LLVMAddReassociatePass
00000001feb06500 (__TEXT,__text) external _LLVMAddSCCPPass
00000001fefb1cac (__TEXT,__text) external _LLVMAddSLPVectorizePass
00000001feb0655c (__TEXT,__text) external _LLVMAddScalarReplAggregatesPass
00000001feb065c4 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassSSA
00000001feb0662c (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassWithThreshold
00000001feb05cec (__TEXT,__text) external _LLVMAddScalarizerPass
00000001feb06984 (__TEXT,__text) external _LLVMAddScopedNoAliasAAPass
