000000018035f80c (__TEXT,__text) external _OSAtomicAdd32
000000018035f818 (__TEXT,__text) external _OSAtomicAdd32Barrier
000000018035f864 (__TEXT,__text) external _OSAtomicAdd64
000000018035f870 (__TEXT,__text) external _OSAtomicAdd64Barrier
000000018035f8bc (__TEXT,__text) external _OSAtomicAnd32
000000018035f8cc (__TEXT,__text) external _OSAtomicAnd32Barrier
000000018035f8dc (__TEXT,__text) external _OSAtomicAnd32Orig
000000018035f8e8 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
000000018035f944 (__TEXT,__text) external _OSAtomicCompareAndSwap32
000000018035f958 (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
000000018035f9e4 (__TEXT,__text) external _OSAtomicCompareAndSwap64
000000018035f9f8 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
000000018035f994 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
000000018035f9a8 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
000000018035f9bc (__TEXT,__text) external _OSAtomicCompareAndSwapLong
000000018035f9d0 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
000000018035f96c (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
000000018035f980 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
000000018035f844 (__TEXT,__text) external _OSAtomicDecrement32
000000018035f854 (__TEXT,__text) external _OSAtomicDecrement32Barrier
000000018035f89c (__TEXT,__text) external _OSAtomicDecrement64
000000018035f8ac (__TEXT,__text) external _OSAtomicDecrement64Barrier
000000018035fb90 (__TEXT,__text) external _OSAtomicDequeue
000000018035fb1c (__TEXT,__text) external _OSAtomicEnqueue
000000018035e60c (__TEXT,__text) external _OSAtomicFifoDequeue
000000018035e5f4 (__TEXT,__text) external _OSAtomicFifoEnqueue
000000018035f824 (__TEXT,__text) external _OSAtomicIncrement32
000000018035f834 (__TEXT,__text) external _OSAtomicIncrement32Barrier
000000018035f87c (__TEXT,__text) external _OSAtomicIncrement64
000000018035f88c (__TEXT,__text) external _OSAtomicIncrement64Barrier
000000018035f8f4 (__TEXT,__text) external _OSAtomicOr32
000000018035f900 (__TEXT,__text) external _OSAtomicOr32Barrier
000000018035f90c (__TEXT,__text) external _OSAtomicOr32Orig
000000018035f914 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
000000018035fa94 (__TEXT,__text) external _OSAtomicTestAndClear
000000018035fad8 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
000000018035fa0c (__TEXT,__text) external _OSAtomicTestAndSet
000000018035fa50 (__TEXT,__text) external _OSAtomicTestAndSetBarrier
000000018035f91c (__TEXT,__text) external _OSAtomicXor32
000000018035f928 (__TEXT,__text) external _OSAtomicXor32Barrier
000000018035f934 (__TEXT,__text) external _OSAtomicXor32Orig
000000018035f93c (__TEXT,__text) external _OSAtomicXor32OrigBarrier
000000018035fc04 (__TEXT,__text) external _OSMemoryBarrier
000000018035e85c (__TEXT,__text) external _OSSpinLockLock
000000018035e878 (__TEXT,__text) external _OSSpinLockTry
000000018035e8a8 (__TEXT,__text) external _OSSpinLockUnlock
0000000180361718 (__TEXT,__const) non-external __0x
00000001803617ca (__TEXT,__cstring) non-external __H
000000018035fbe0 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
000000018035fb68 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
000000018035e718 (__TEXT,__text) external __OSSpinLockLockSlow
000000018035e790 (__TEXT,__text) non-external __OSSpinLockLockYield
0000000180360940 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
00000001843a4010 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
000000018035be40 (__TEXT,__text) external ___libplatform_init
000000018035f1b8 (__TEXT,__text) external ___os_once_reset
000000018035e50c (__TEXT,__text) non-external (was a private external) ___pfz_setup
0000000180361708 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
00000001803616d0 (__TEXT,__const) non-external (was a private external) ___platformVersionString
000000018035fc7c (__TEXT,__text) external ___platform_sigaction
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
000000018035cac4 (__TEXT,__text) non-external ___simple_bprintf
                 (undefined) external ___sysctl (from libsystem_kernel)
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000180360d6c (__TEXT,__text) external __ctx_done
0000000180361094 (__TEXT,__text) non-external (was a private external) __ctx_start
000000018035d434 (__TEXT,__text) non-external __enlarge
0000000180361174 (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
000000018035d300 (__TEXT,__text) non-external __flush
000000018035ca98 (__TEXT,__text) non-external __flush_reset
00000001803617db (__TEXT,__cstring) non-external __h
000000018035fd50 (__TEXT,__text) external __longjmp
000000018035f53c (__TEXT,__text) non-external __os_alloc
0000000180361380 (__TEXT,__text) non-external __os_alloc.cold.1
00000001843a4008 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
000000018035f4ec (__TEXT,__text) external __os_alloc_once
000000018035f5f8 (__TEXT,__text) non-external __os_alloc_slow
000000018036119c (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
000000018035e8f8 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
000000018035e948 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
000000018035e91c (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
000000018035e93c (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
000000018035f154 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
000000018035f178 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
000000018035f198 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
00000001803612e8 (__TEXT,__text) non-external __os_lock_recursive_abort
000000018035e8b0 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
000000018035e8d0 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
000000018035e8ec (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
0000000180361720 (__TEXT,__const) non-external __os_lock_type_base
00000001843df7d8 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000001843df7f8 (__AUTH_CONST,__const) external __os_lock_type_handoff
00000001843df838 (__AUTH_CONST,__const) external __os_lock_type_nospin
00000001843df7d8 (__AUTH_CONST,__const) external __os_lock_type_spin
00000001843df7d8 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000001843df818 (__AUTH_CONST,__const) external __os_lock_type_unfair
000000018035eee0 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
000000018035ef08 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
000000018035ef28 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
000000018035ef48 (__TEXT,__text) external __os_nospin_lock_lock
000000018035ef68 (__TEXT,__text) non-external __os_nospin_lock_lock_slow
000000018035f068 (__TEXT,__text) external __os_nospin_lock_trylock
000000018035f084 (__TEXT,__text) external __os_nospin_lock_unlock
000000018035f0a0 (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
000000018035f284 (__TEXT,__text) external __os_once
000000018035f2e4 (__TEXT,__text) non-external __os_once_callout
000000018035f1d4 (__TEXT,__text) non-external __os_once_gate_broadcast
00000001803612c0 (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
0000000180361270 (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
0000000180361298 (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
000000018035f358 (__TEXT,__text) non-external __os_once_gate_wait
000000018035f734 (__TEXT,__text) external __os_semaphore_create
00000001803613a8 (__TEXT,__text) non-external __os_semaphore_create.cold.1
00000001803613d0 (__TEXT,__text) non-external __os_semaphore_create.cold.2
000000018035f784 (__TEXT,__text) external __os_semaphore_dispose
00000001803613f8 (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
000000018035f7b4 (__TEXT,__text) external __os_semaphore_signal
0000000180361420 (__TEXT,__text) non-external __os_semaphore_signal.cold.1
000000018035f7d4 (__TEXT,__text) external __os_semaphore_wait
0000000180361448 (__TEXT,__text) non-external __os_semaphore_wait.cold.1
0000000180361214 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
000000018035ea30 (__TEXT,__text) non-external __os_unfair_lock_lock_slow
00000001803611c4 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
000000018035ebd8 (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
00000001803611ec (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
0000000180360940 (__TEXT,__text) external __platform_bzero
000000018035ff7c (__TEXT,__text) external __platform_memccpy
0000000180360560 (__TEXT,__text) external __platform_memchr
0000000180360670 (__TEXT,__text) external __platform_memcmp
0000000180360120 (__TEXT,__text) external __platform_memmove
00000001803609a0 (__TEXT,__text) external __platform_memset
0000000180360ac0 (__TEXT,__text) external __platform_memset_pattern16
0000000180360a80 (__TEXT,__text) external __platform_memset_pattern4
0000000180360aa0 (__TEXT,__text) external __platform_memset_pattern8
0000000180360c60 (__TEXT,__text) external __platform_strchr
0000000180360410 (__TEXT,__text) external __platform_strcmp
000000018035fec0 (__TEXT,__text) external __platform_strcpy
00000001843df750 (__AUTH_CONST,__const) non-external __platform_string_functions
0000000180360078 (__TEXT,__text) external __platform_strlcat
000000018035ff00 (__TEXT,__text) external __platform_strlcpy
00000001803607c0 (__TEXT,__text) external __platform_strlen
0000000180360830 (__TEXT,__text) external __platform_strncmp
