000000018bfece9c (__TEXT,__const) non-external _DOWNCASE_TBL
000000018bfec69c (__TEXT,__const) non-external _SF_BYTESEQ_CHARS
000000018bfebe9c (__TEXT,__const) non-external _SF_DQUOTE_CHARS
000000018bfeca9c (__TEXT,__const) non-external _SF_KEY_CHARS
000000018bfec29c (__TEXT,__const) non-external _SF_TOKEN_CHARS
000000018bfed99c (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
000000018bfed49c (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
000000018bfecf9c (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
000000018bfed89c (__TEXT,__const) non-external _VALID_METHOD_CHARS
000000018bfed39c (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018bfda464 (__TEXT,__text) non-external _active_outbound_item_reset
000000018bfdf2f4 (__TEXT,__text) non-external _add_hd_table_incremental
000000018bfe2cf0 (__TEXT,__text) non-external _bubble_down
000000018bfe2c74 (__TEXT,__text) non-external _bubble_up
000000018bfda38c (__TEXT,__text) non-external _buf_chain_new
000000018bfe2edc (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
000000018bfda240 (__TEXT,__text) non-external _default_calloc
000000018bfda600 (__TEXT,__text) non-external _default_free
000000018bfda2dc (__TEXT,__text) non-external _default_malloc
000000018bfda460 (__TEXT,__text) non-external _default_realloc
000000018bfded58 (__TEXT,__text) non-external _emit_indname_block
000000018bfdeee4 (__TEXT,__text) non-external _emit_string
000000018bfe1b68 (__TEXT,__text) non-external _emit_table_size
000000018bfe5008 (__TEXT,__text) non-external _find_stream_on_goaway_func
000000018bfdf628 (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
000000018bfe45cc (__TEXT,__text) non-external _free_streams
000000018bfe5788 (__TEXT,__text) non-external _get_error_code_from_lib_error_code
000000018bfe19c0 (__TEXT,__text) non-external _hd_context_free
000000018bfdfeec (__TEXT,__text) non-external _hd_context_shrink_table_size
000000018bfe2b48 (__TEXT,__text) non-external _hd_get_table_entry
000000018bfe0e00 (__TEXT,__text) non-external _hd_inflate_commit_indname
000000018bfe0ec0 (__TEXT,__text) non-external _hd_inflate_commit_newname
000000018bfe0d1c (__TEXT,__text) non-external _hd_inflate_read_huff
