000000018e9a7308 (__TEXT,__const) non-external _KW_ANY
000000018e9a728d (__TEXT,__const) non-external _KW_ATTLIST
000000018e9a72bb (__TEXT,__const) non-external _KW_CDATA
000000018e9a7270 (__TEXT,__const) non-external _KW_DOCTYPE
000000018e9a7295 (__TEXT,__const) non-external _KW_ELEMENT
000000018e9a7302 (__TEXT,__const) non-external _KW_EMPTY
000000018e9a72d1 (__TEXT,__const) non-external _KW_ENTITIES
000000018e9a7286 (__TEXT,__const) non-external _KW_ENTITY
000000018e9a72fc (__TEXT,__const) non-external _KW_FIXED
000000018e9a72c1 (__TEXT,__const) non-external _KW_ID
000000018e9a72c4 (__TEXT,__const) non-external _KW_IDREF
000000018e9a72ca (__TEXT,__const) non-external _KW_IDREFS
000000018e9a72ae (__TEXT,__const) non-external _KW_IGNORE
000000018e9a72eb (__TEXT,__const) non-external _KW_IMPLIED
000000018e9a72a6 (__TEXT,__const) non-external _KW_INCLUDE
000000018e9a7a18 (__TEXT,__const) non-external _KW_ISO_8859_1
000000018e9a72b5 (__TEXT,__const) non-external _KW_NDATA
000000018e9a72da (__TEXT,__const) non-external _KW_NMTOKEN
000000018e9a72e2 (__TEXT,__const) non-external _KW_NMTOKENS
000000018e9a729d (__TEXT,__const) non-external _KW_NOTATION
000000018e9a730c (__TEXT,__const) non-external _KW_PCDATA
000000018e9a727f (__TEXT,__const) non-external _KW_PUBLIC
000000018e9a72f3 (__TEXT,__const) non-external _KW_REQUIRED
000000018e9a7278 (__TEXT,__const) non-external _KW_SYSTEM
000000018e9a7a23 (__TEXT,__const) non-external _KW_US_ASCII
000000018e9a7a32 (__TEXT,__const) non-external _KW_UTF_16
000000018e9a7a39 (__TEXT,__const) non-external _KW_UTF_16BE
000000018e9a7a42 (__TEXT,__const) non-external _KW_UTF_16LE
000000018e9a7a2c (__TEXT,__const) non-external _KW_UTF_8
000000018e9a7a59 (__TEXT,__const) non-external _KW_encoding
000000018e9a7a71 (__TEXT,__const) non-external _KW_no
000000018e9a7a62 (__TEXT,__const) non-external _KW_standalone
000000018e9a7a51 (__TEXT,__const) non-external _KW_version
000000018e9a7a6d (__TEXT,__const) non-external _KW_yes
000000018e98f920 (__TEXT,__text) external _XML_DefaultCurrent
000000018e98fa50 (__TEXT,__text) external _XML_ErrorString
000000018e98fa74 (__TEXT,__text) external _XML_ExpatVersion
000000018e98fa80 (__TEXT,__text) external _XML_ExpatVersionInfo
000000018e98e110 (__TEXT,__text) external _XML_ExternalEntityParserCreate
000000018e98f8cc (__TEXT,__text) external _XML_FreeContentModel
000000018e98edf4 (__TEXT,__text) external _XML_GetBase
000000018e98f238 (__TEXT,__text) external _XML_GetBuffer
000000018e98f7b0 (__TEXT,__text) external _XML_GetCurrentByteCount
000000018e98f78c (__TEXT,__text) external _XML_GetCurrentByteIndex
000000018e98f874 (__TEXT,__text) external _XML_GetCurrentColumnNumber
000000018e98f818 (__TEXT,__text) external _XML_GetCurrentLineNumber
000000018e98f778 (__TEXT,__text) external _XML_GetErrorCode
000000018e98fa90 (__TEXT,__text) external _XML_GetFeatureList
00000001e4df2f98 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
000000018e98ee14 (__TEXT,__text) external _XML_GetIdAttributeIndex
000000018e98f7d8 (__TEXT,__text) external _XML_GetInputContext
000000018e98f750 (__TEXT,__text) external _XML_GetParsingStatus
000000018e9a63f0 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
000000018e98ee00 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
000000018e98f90c (__TEXT,__text) external _XML_MemFree
000000018e98f8e0 (__TEXT,__text) external _XML_MemMalloc
000000018e98f8f4 (__TEXT,__text) external _XML_MemRealloc
000000018e98efec (__TEXT,__text) external _XML_Parse
000000018e98f48c (__TEXT,__text) external _XML_ParseBuffer
000000018e98d8c4 (__TEXT,__text) external _XML_ParserCreate
000000018e98d8dc (__TEXT,__text) external _XML_ParserCreateNS
000000018e98d8d4 (__TEXT,__text) external _XML_ParserCreate_MM
000000018e98e8a8 (__TEXT,__text) external _XML_ParserFree
000000018e98db64 (__TEXT,__text) external _XML_ParserReset
000000018e98f660 (__TEXT,__text) external _XML_ResumeParser
000000018e98ef6c (__TEXT,__text) external _XML_SetAttlistDeclHandler
000000018e98ed44 (__TEXT,__text) external _XML_SetBase
000000018e98facc (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
000000018e98fa9c (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
000000018e98ee70 (__TEXT,__text) external _XML_SetCdataSectionHandler
000000018e98ee4c (__TEXT,__text) external _XML_SetCharacterDataHandler
000000018e98ee64 (__TEXT,__text) external _XML_SetCommentHandler
000000018e98ee94 (__TEXT,__text) external _XML_SetDefaultHandler
000000018e98eea4 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
000000018e98eeb8 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
000000018e98ef60 (__TEXT,__text) external _XML_SetElementDeclHandler
000000018e98ee28 (__TEXT,__text) external _XML_SetElementHandler
000000018e98e040 (__TEXT,__text) external _XML_SetEncoding
000000018e98ee88 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
000000018e98eed0 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
000000018e98ee40 (__TEXT,__text) external _XML_SetEndElementHandler
000000018e98ef0c (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
000000018e98ef78 (__TEXT,__text) external _XML_SetEntityDeclHandler
000000018e98ef24 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
000000018e98ef30 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
000000018e98efb8 (__TEXT,__text) external _XML_SetHashSalt
000000018e98eef4 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
000000018e98ef18 (__TEXT,__text) external _XML_SetNotStandaloneHandler
000000018e98eee8 (__TEXT,__text) external _XML_SetNotationDeclHandler
000000018e98ef90 (__TEXT,__text) external _XML_SetParamEntityParsing
000000018e98ee58 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
000000018e98ecfc (__TEXT,__text) external _XML_SetReturnNSTriplet
000000018e98ef44 (__TEXT,__text) external _XML_SetSkippedEntityHandler
000000018e98ee7c (__TEXT,__text) external _XML_SetStartCdataSectionHandler
000000018e98eec4 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
000000018e98ee34 (__TEXT,__text) external _XML_SetStartElementHandler
000000018e98ef00 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
000000018e98ef50 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
000000018e98eedc (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
000000018e98ed24 (__TEXT,__text) external _XML_SetUserData
000000018e98ef84 (__TEXT,__text) external _XML_SetXmlDeclHandler
000000018e98f5ec (__TEXT,__text) external _XML_StopParser
000000018e98ecc8 (__TEXT,__text) external _XML_UseForeignDTD
000000018e98ecbc (__TEXT,__text) external _XML_UseParserAsHandlerArg
000000018e9995a8 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
000000018e999b4c (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
000000018e99959c (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
000000018e999b40 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
000000018e9995b4 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
000000018e999b58 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
000000018e999008 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
000000018e999d7c (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
000000018e9996e0 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
000000018e999c14 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
000000018e996dd0 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
000000018e996f10 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
000000018e999000 (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
000000018e998fb0 (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
000000018e998ef4 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
000000018e998e48 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
000000018e991680 (__TEXT,__text) non-external _accountingDiffTolerated
000000018e9a6448 (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
000000018e9932ec (__TEXT,__text) non-external _accountingGetCurrentAmplification
000000018e9a6474 (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
000000018e993330 (__TEXT,__text) non-external _accountingReportStats
000000018e9958d0 (__TEXT,__text) non-external _addBinding
000000018e9a70f2 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
000000018e9a7117 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
000000018e995dc0 (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00000001ee177fa8 (__AUTH_CONST,__const) non-external _ascii_encoding
00000001ee1788b8 (__AUTH_CONST,__const) non-external _ascii_encoding_ns
000000018e9a2100 (__TEXT,__text) non-external _ascii_toUtf8
000000018e9975a4 (__TEXT,__text) non-external _attlist0
000000018e997f70 (__TEXT,__text) non-external _attlist1
000000018e998014 (__TEXT,__text) non-external _attlist2
00000001e4df39b0 (__DATA_CONST,__const) non-external _attlist2.types
000000018e9982c4 (__TEXT,__text) non-external _attlist3
000000018e99845c (__TEXT,__text) non-external _attlist4
000000018e998270 (__TEXT,__text) non-external _attlist5
000000018e99838c (__TEXT,__text) non-external _attlist6
000000018e9983ec (__TEXT,__text) non-external _attlist7
000000018e998134 (__TEXT,__text) non-external _attlist8
000000018e99832c (__TEXT,__text) non-external _attlist9
000000018e9a391c (__TEXT,__text) non-external _big2_attributeValueTok
000000018e9a34ac (__TEXT,__text) non-external _big2_cdataSectionTok
000000018e9a4160 (__TEXT,__text) non-external _big2_charRefNumber
000000018e9a5564 (__TEXT,__text) non-external _big2_checkPiTarget
000000018e9a2940 (__TEXT,__text) non-external _big2_contentTok
00000001ee177c08 (__AUTH_CONST,__const) non-external _big2_encoding
00000001ee178518 (__AUTH_CONST,__const) non-external _big2_encoding_ns
000000018e9a3a88 (__TEXT,__text) non-external _big2_entityValueTok
000000018e9a3d3c (__TEXT,__text) non-external _big2_getAtts
000000018e9a374c (__TEXT,__text) non-external _big2_ignoreSectionTok
000000018e9a4498 (__TEXT,__text) non-external _big2_isPublicId
000000018e9a3c58 (__TEXT,__text) non-external _big2_nameLength
000000018e9a3c0c (__TEXT,__text) non-external _big2_nameMatchesAscii
000000018e9a423c (__TEXT,__text) non-external _big2_predefinedEntityName
000000018e9a214c (__TEXT,__text) non-external _big2_prologTok
000000018e9a5944 (__TEXT,__text) non-external _big2_scanAtts
000000018e9a7a4b (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
000000018e9a53c8 (__TEXT,__text) non-external _big2_scanComment
000000018e9a48e4 (__TEXT,__text) non-external _big2_scanDecl
000000018e9a4768 (__TEXT,__text) non-external _big2_scanLit
000000018e9a4edc (__TEXT,__text) non-external _big2_scanPercent
000000018e9a4a70 (__TEXT,__text) non-external _big2_scanPi
000000018e9a5158 (__TEXT,__text) non-external _big2_scanPoundName
000000018e9a5600 (__TEXT,__text) non-external _big2_scanRef
000000018e9a3cf8 (__TEXT,__text) non-external _big2_skipS
000000018e9a46e0 (__TEXT,__text) non-external _big2_toUtf16
000000018e9a454c (__TEXT,__text) non-external _big2_toUtf8
000000018e9a4394 (__TEXT,__text) non-external _big2_updatePosition
                 (undefined) external _bzero (from libSystem)
000000018e9956d8 (__TEXT,__text) non-external _cdataSectionProcessor
000000018e99929c (__TEXT,__text) non-external _checkCharRefNumber
000000018e997bcc (__TEXT,__text) non-external _condSect0
000000018e997ca4 (__TEXT,__text) non-external _condSect1
000000018e997d14 (__TEXT,__text) non-external _condSect2
000000018e992004 (__TEXT,__text) non-external _contentProcessor
000000018e996c14 (__TEXT,__text) non-external _copyEntityTable
000000018e98e0b0 (__TEXT,__text) non-external _copyString
000000018e997a4c (__TEXT,__text) non-external _declClose
000000018e99239c (__TEXT,__text) non-external _defineAttribute
000000018e9953f4 (__TEXT,__text) non-external _doCdataSection
000000018e9936e4 (__TEXT,__text) non-external _doContent
000000018e992ba0 (__TEXT,__text) non-external _doIgnoreSection
000000018e99973c (__TEXT,__text) non-external _doParseXmlDecl
000000018e98fe24 (__TEXT,__text) non-external _doProlog
000000018e9a7202 (__TEXT,__const) non-external _doProlog.atypeCDATA
000000018e9a721f (__TEXT,__const) non-external _doProlog.atypeENTITIES
000000018e9a7218 (__TEXT,__const) non-external _doProlog.atypeENTITY
000000018e9a7208 (__TEXT,__const) non-external _doProlog.atypeID
000000018e9a720b (__TEXT,__const) non-external _doProlog.atypeIDREF
000000018e9a7211 (__TEXT,__const) non-external _doProlog.atypeIDREFS
000000018e9a7228 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
000000018e9a7230 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
000000018e9a641c (__TEXT,__text) non-external _doProlog.cold.1
000000018e9a6fe7 (__TEXT,__cstring) non-external _doProlog.enumValueSep
000000018e9a6fe9 (__TEXT,__cstring) non-external _doProlog.enumValueStart
000000018e9a6fdd (__TEXT,__cstring) non-external _doProlog.notationPrefix
000000018e997050 (__TEXT,__text) non-external _doctype0
000000018e9970bc (__TEXT,__text) non-external _doctype1
000000018e9974d4 (__TEXT,__text) non-external _doctype2
000000018e997474 (__TEXT,__text) non-external _doctype3
000000018e998dcc (__TEXT,__text) non-external _doctype4
000000018e9976cc (__TEXT,__text) non-external _doctype5
000000018e997608 (__TEXT,__text) non-external _element0
000000018e9984cc (__TEXT,__text) non-external _element1
000000018e9985ec (__TEXT,__text) non-external _element2
000000018e998750 (__TEXT,__text) non-external _element3
000000018e998aa4 (__TEXT,__text) non-external _element4
000000018e998b08 (__TEXT,__text) non-external _element5
000000018e998800 (__TEXT,__text) non-external _element6
000000018e998920 (__TEXT,__text) non-external _element7
00000001e4df3a20 (__DATA_CONST,__const) non-external _encodings
00000001e4df3a58 (__DATA_CONST,__const) non-external _encodingsNS
000000018e997534 (__TEXT,__text) non-external _entity0
000000018e99772c (__TEXT,__text) non-external _entity1
000000018e997ac0 (__TEXT,__text) non-external _entity10
000000018e99778c (__TEXT,__text) non-external _entity2
000000018e997dd4 (__TEXT,__text) non-external _entity3
000000018e997d74 (__TEXT,__text) non-external _entity4
000000018e997e34 (__TEXT,__text) non-external _entity5
000000018e997f08 (__TEXT,__text) non-external _entity6
000000018e99788c (__TEXT,__text) non-external _entity7
000000018e9979ec (__TEXT,__text) non-external _entity8
