                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff811d871d2 (__TEXT,__text) non-external _au_assemble
00007ff811d88654 (__TEXT,__text) external _au_bsm_to_domain
00007ff811d93819 (__TEXT,__text) external _au_bsm_to_errno
00007ff811d938c7 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
00007ff811d8f96e (__TEXT,__text) external _au_bsm_to_socket_type
00007ff811d8741f (__TEXT,__text) external _au_close
00007ff811d874d0 (__TEXT,__text) external _au_close_buffer
00007ff811d87590 (__TEXT,__text) external _au_close_token
00007ff811d87107 (__TEXT,__text) external _au_close_with_errors
00007ff84378f3f0 (__DATA_DIRTY,__bss) non-external _au_cond
00007ff811d88629 (__TEXT,__text) external _au_domain_to_bsm
00007ff811d937eb (__TEXT,__text) external _au_errno_to_bsm
00007ff811d9389c (__TEXT,__text) external _au_fcntl_cmd_to_bsm
00007ff811d86b93 (__TEXT,__text) external _au_fetch_tok
00007ff811d86f1d (__TEXT,__text) external _au_free_token
00007ff811d8f86d (__TEXT,__text) external _au_get_state
00007ff811d8f7cd (__TEXT,__text) external _au_notify_initialize
00007ff811d8f854 (__TEXT,__text) external _au_notify_terminate
00007ff811d86f47 (__TEXT,__text) external _au_open
00007ff8414a0950 (__DATA_CONST,__const) non-external _au_polstr
00007ff811d87a0c (__TEXT,__text) external _au_poltostr
00007ff811d8f5bd (__TEXT,__text) external _au_preselect
00007ff811d8a430 (__TEXT,__text) external _au_print_flags_tok
00007ff811d8e844 (__TEXT,__text) external _au_print_tok
00007ff811d8e85e (__TEXT,__text) external _au_print_tok_xml
00007ff811d88f29 (__TEXT,__text) external _au_print_xml_footer
00007ff811d88ee8 (__TEXT,__text) external _au_print_xml_header
00007ff811d8e87e (__TEXT,__text) external _au_read_rec
00007ff811d937ab (__TEXT,__text) external _au_sdev_close
00007ff811d937de (__TEXT,__text) external _au_sdev_fd
00007ff811d8675b (__TEXT,__text) external _au_sdev_open
00007ff811d8682e (__TEXT,__text) external _au_sdev_read_aia
00007ff8414a0a40 (__DATA_CONST,__const) non-external _au_sflagsstr
00007ff811d87b75 (__TEXT,__text) external _au_sflagstostr
00007ff811d8f943 (__TEXT,__text) external _au_socket_type_to_bsm
00007ff811d880ee (__TEXT,__text) non-external _au_spacetobytes
00007ff811d93858 (__TEXT,__text) external _au_strerror
00007ff811d87aaf (__TEXT,__text) external _au_strtopol
