                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018b0f3a84 (__TEXT,__text) non-external _au_assemble
000000018b0f5344 (__TEXT,__text) external _au_bsm_to_domain
000000018b0ffc44 (__TEXT,__text) external _au_bsm_to_errno
000000018b0ffd18 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
000000018b0fb814 (__TEXT,__text) external _au_bsm_to_socket_type
000000018b0f3d38 (__TEXT,__text) external _au_close
000000018b0f3e00 (__TEXT,__text) external _au_close_buffer
000000018b0f3ee0 (__TEXT,__text) external _au_close_token
000000018b0f39a4 (__TEXT,__text) external _au_close_with_errors
00000001d93bb314 (__DATA,__bss) non-external _au_cond
000000018b0f530c (__TEXT,__text) external _au_domain_to_bsm
000000018b0ffc08 (__TEXT,__text) external _au_errno_to_bsm
000000018b0ffce0 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
000000018b0f1e78 (__TEXT,__text) external _au_fetch_tok
000000018b0f3784 (__TEXT,__text) external _au_free_token
000000018b0fb6cc (__TEXT,__text) external _au_get_state
000000018b0fb60c (__TEXT,__text) external _au_notify_initialize
000000018b0fb6a4 (__TEXT,__text) external _au_notify_terminate
000000018b0f37cc (__TEXT,__text) external _au_open
00000001d4877f48 (__DATA_CONST,__const) non-external _au_polstr
000000018b0f43b4 (__TEXT,__text) external _au_poltostr
000000018b0fb3e4 (__TEXT,__text) external _au_preselect
000000018b0f5dec (__TEXT,__text) external _au_print_flags_tok
000000018b0fa478 (__TEXT,__text) external _au_print_tok
000000018b0fa490 (__TEXT,__text) external _au_print_tok_xml
000000018b0f5c90 (__TEXT,__text) external _au_print_xml_footer
000000018b0f5c34 (__TEXT,__text) external _au_print_xml_header
000000018b0fa4ac (__TEXT,__text) external _au_read_rec
000000018b0ffbbc (__TEXT,__text) external _au_sdev_close
000000018b0ffc00 (__TEXT,__text) external _au_sdev_fd
000000018b0f1a1c (__TEXT,__text) external _au_sdev_open
000000018b0f1af0 (__TEXT,__text) external _au_sdev_read_aia
00000001d4878038 (__DATA_CONST,__const) non-external _au_sflagsstr
000000018b0f4574 (__TEXT,__text) external _au_sflagstostr
000000018b0fb7dc (__TEXT,__text) external _au_socket_type_to_bsm
000000018b0f4c48 (__TEXT,__text) non-external _au_spacetobytes
000000018b0ffc90 (__TEXT,__text) external _au_strerror
000000018b0f448c (__TEXT,__text) external _au_strtopol
000000018b0f464c (__TEXT,__text) external _au_strtosflags
000000018b0f3c7c (__TEXT,__text) non-external _au_teardown
000000018b0fb9fc (__TEXT,__text) external _au_to_arg
000000018b0fb81c (__TEXT,__text) external _au_to_arg32
000000018b0fb8fc (__TEXT,__text) external _au_to_arg64
000000018b0fd814 (__TEXT,__text) external _au_to_certificate_hash
000000018b0fba00 (__TEXT,__text) external _au_to_data
000000018b0fd6ec (__TEXT,__text) external _au_to_exec_args
000000018b0fd80c (__TEXT,__text) external _au_to_exec_env
000000018b0fbae4 (__TEXT,__text) external _au_to_exit
000000018b0fc018 (__TEXT,__text) external _au_to_file
000000018b0fbb8c (__TEXT,__text) external _au_to_groups
