00007ffb0bddedab (__TEXT,__text) non-external +[MGDaemon daemon]
00007ffb0bde30c5 (__TEXT,__text) non-external -[MGDaemon .cxx_destruct]
00007ffb0bde20fe (__TEXT,__text) non-external -[MGDaemon HomeKitAccessoryOfType:accessoryIdentifier:homeIdentifier:categoryType:name:completion:]
00007ffb0bddf634 (__TEXT,__text) non-external -[MGDaemon _ingestHomeKitHome:]
00007ffb0bde0728 (__TEXT,__text) non-external -[MGDaemon addHomeKitAccessory:fromHome:]
00007ffb0bddfe1f (__TEXT,__text) non-external -[MGDaemon addHomeKitHome:]
00007ffb0bde0650 (__TEXT,__text) non-external -[MGDaemon addHomeKitMediaSystem:]
00007ffb0bde0443 (__TEXT,__text) non-external -[MGDaemon addHomeKitMediaSystem:fromHome:]
00007ffb0bde0236 (__TEXT,__text) non-external -[MGDaemon addHomeKitRoom:fromHome:]
00007ffb0bde0029 (__TEXT,__text) non-external -[MGDaemon addHomeKitZone:fromHome:]
00007ffb0bde2800 (__TEXT,__text) non-external -[MGDaemon addMember:group:completion:]
00007ffb0bde308e (__TEXT,__text) non-external -[MGDaemon clients]
00007ffb0bde1240 (__TEXT,__text) non-external -[MGDaemon createGroupWithType:name:members:completion:]
00007ffb0bde1bd4 (__TEXT,__text) non-external -[MGDaemon deleteGroup:completion:]
00007ffb0bde3084 (__TEXT,__text) non-external -[MGDaemon dispatchQueue]
00007ffb0bde3098 (__TEXT,__text) non-external -[MGDaemon groupsMediator]
00007ffb0bddedbd (__TEXT,__text) non-external -[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]
00007ffb0bdde24a (__TEXT,__text) non-external -[MGDaemon initWithServiceListenerProvider:]
00007ffb0bdded43 (__TEXT,__text) non-external -[MGDaemon init]
00007ffb0bde0d5c (__TEXT,__text) non-external -[MGDaemon listener:shouldAcceptNewConnection:]
00007ffb0bde3070 (__TEXT,__text) non-external -[MGDaemon listenerProvider]
00007ffb0bde307a (__TEXT,__text) non-external -[MGDaemon listener]
00007ffb0bde30bb (__TEXT,__text) non-external -[MGDaemon queryAgent]
00007ffb0bde0ba7 (__TEXT,__text) non-external -[MGDaemon removeHomeKitAccessory:fromHome:]
00007ffb0bddfec6 (__TEXT,__text) non-external -[MGDaemon removeHomeKitHome:]
00007ffb0bde06bc (__TEXT,__text) non-external -[MGDaemon removeHomeKitMediaSystem:]
00007ffb0bde04ea (__TEXT,__text) non-external -[MGDaemon removeHomeKitMediaSystem:fromHome:]
00007ffb0bde02dd (__TEXT,__text) non-external -[MGDaemon removeHomeKitRoom:fromHome:]
00007ffb0bde00d0 (__TEXT,__text) non-external -[MGDaemon removeHomeKitZone:fromHome:]
00007ffb0bde28fb (__TEXT,__text) non-external -[MGDaemon removeMember:group:completion:]
00007ffb0bde2705 (__TEXT,__text) non-external -[MGDaemon setName:group:completion:]
00007ffb0bde30ac (__TEXT,__text) non-external -[MGDaemon setTopologyRequestHandler:]
00007ffb0bde29f6 (__TEXT,__text) non-external -[MGDaemon startQueryWithPredicate:completion:]
00007ffb0bde2e9a (__TEXT,__text) non-external -[MGDaemon stopQuery:completion:]
00007ffb0bde30a2 (__TEXT,__text) non-external -[MGDaemon topologyRequestHandler]
