                 (undefined) external _OBJC_CLASS_$_CATTransform (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_DEExecutor (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_DialogElement (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
                 (undefined) external _OBJC_CLASS_$_PatternExecutionDialog (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_SAUIAppPunchOut (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SKIDirectInvocation (from SiriKitInvocation)
                 (undefined) external _OBJC_CLASS_$_SKIDirectInvocationContext (from SiriKitInvocation)
                 (undefined) external _OBJC_CLASS_$_SKIDirectInvocationPayload (from SiriKitInvocation)
0000000299162e68 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$__TtC22SiriSuggestionsSupport30SiriSuggestionsServiceDelegate
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
0000000299162f48 (__DATA_DIRTY,__data) external _OBJC_METACLASS_$__TtC22SiriSuggestionsSupport30SiriSuggestionsServiceDelegate
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
000000026db3ed04 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026db44150 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026db4416c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026db4416c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026db441c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026db441c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026db44208 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026db49794 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026db4b540 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026db4b550 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026db4b550 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026db4b550 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026db4b550 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026db4d2a0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026db56b24 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026db68828 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026db757fc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026db90fb4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
