00000001830146c8 (__DATA,__data) external _NDR_record
0000000180ef7c6c (__TEXT,__text) non-external __Xexception_raise
0000000180ef7b54 (__TEXT,__text) non-external __Xexception_raise_state
0000000180ef79f4 (__TEXT,__text) non-external __Xexception_raise_state_identity
0000000180edf93c (__TEXT,__text) external _____sigwait_nocancel
0000000180f12098 (__TEXT,__const) external ____kernelVersionNumber
0000000180f12060 (__TEXT,__const) external ____kernelVersionString
0000000180edf968 (__TEXT,__text) external ___abort_with_payload
0000000180edf994 (__TEXT,__text) external ___accept
0000000180edf9c0 (__TEXT,__text) external ___accept_nocancel
0000000180edf9ec (__TEXT,__text) external ___access_extended
0000000180edfa18 (__TEXT,__text) external ___aio_suspend_nocancel
0000000180edfa44 (__TEXT,__text) external ___bind
0000000180edfa70 (__TEXT,__text) external ___bsdthread_create
0000000180edfa9c (__TEXT,__text) external ___bsdthread_ctl
0000000180edfac8 (__TEXT,__text) external ___bsdthread_register
0000000180edfaf4 (__TEXT,__text) external ___bsdthread_terminate
0000000180ef6be0 (__TEXT,__text) external ___carbon_delete
0000000180edfb20 (__TEXT,__text) external ___channel_get_info
0000000180edfb4c (__TEXT,__text) external ___channel_get_opt
0000000180edfb78 (__TEXT,__text) external ___channel_open
0000000180edfba4 (__TEXT,__text) external ___channel_set_opt
0000000180edfbd0 (__TEXT,__text) external ___channel_sync
0000000180edfbfc (__TEXT,__text) external ___chmod
0000000180edfc28 (__TEXT,__text) external ___chmod_extended
0000000180edfc54 (__TEXT,__text) external ___close_nocancel
0000000180edfc80 (__TEXT,__text) external ___coalition
0000000180edfcac (__TEXT,__text) external ___coalition_info
0000000180edfcd8 (__TEXT,__text) external ___coalition_ledger
0000000180ee7c74 (__TEXT,__text) external ___commpage_gettimeofday
0000000180ee7c7c (__TEXT,__text) non-external ___commpage_gettimeofday_internal
0000000180edfd04 (__TEXT,__text) external ___connect
0000000180edfd30 (__TEXT,__text) external ___connect_nocancel
0000000180edfd5c (__TEXT,__text) external ___copyfile
0000000180edfd88 (__TEXT,__text) external ___crossarch_trap
0000000180edfdb4 (__TEXT,__text) external ___csrctl
0000000180eee064 (__TEXT,__text) external ___darwin_check_fd_set_overflow
0000000180edfde0 (__TEXT,__text) external ___debug_syscall_reject
0000000180edfe0c (__TEXT,__text) external ___debug_syscall_reject_config
0000000180edfe38 (__TEXT,__text) external ___delete
0000000180edfe64 (__TEXT,__text) external ___disable_threadsignal
0000000180ee8414 (__TEXT,__text) external ___error
0000000180edfe90 (__TEXT,__text) external ___execve
0000000180edfebc (__TEXT,__text) external ___exit
0000000180edfee8 (__TEXT,__text) external ___fchmod
0000000180edff14 (__TEXT,__text) external ___fchmod_extended
0000000180edff40 (__TEXT,__text) external ___fcntl
0000000180edff6c (__TEXT,__text) external ___fcntl_nocancel
0000000180edff98 (__TEXT,__text) external ___fork
0000000180edffe4 (__TEXT,__text) external ___fs_snapshot
0000000180ee0010 (__TEXT,__text) external ___fstat64_extended
0000000180ee003c (__TEXT,__text) external ___fstat_extended
0000000180ee0068 (__TEXT,__text) external ___fsync_nocancel
0000000180ef462c (__TEXT,__text) external ___get_remove_counter
0000000180ee0094 (__TEXT,__text) external ___getattrlist
0000000180ee00c0 (__TEXT,__text) external ___getdirentries64
0000000180ee00ec (__TEXT,__text) external ___gethostuuid
0000000180ee0118 (__TEXT,__text) external ___getlogin
0000000180ee0144 (__TEXT,__text) external ___getpeername
0000000180ee0170 (__TEXT,__text) external ___getpid
0000000180ee01c0 (__TEXT,__text) external ___getrlimit
0000000180ee01ec (__TEXT,__text) external ___getsgroups
0000000180ee0218 (__TEXT,__text) external ___getsockname
0000000180ee0244 (__TEXT,__text) external ___gettid
0000000180ee029c (__TEXT,__text) external ___gettimeofday
0000000180ee0270 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
0000000180ee02cc (__TEXT,__text) external ___getwgroups
0000000180ee02f8 (__TEXT,__text) external ___guarded_open_dprotected_np
0000000180ee0324 (__TEXT,__text) external ___guarded_open_np
0000000180ee0350 (__TEXT,__text) external ___identitysvc
0000000180ef4640 (__TEXT,__text) external ___inc_remove_counter
0000000180ee037c (__TEXT,__text) external ___initgroups
0000000180ee03a8 (__TEXT,__text) external ___ioctl
0000000180ee03d4 (__TEXT,__text) external ___iopolicysys
0000000180ee0400 (__TEXT,__text) external ___kdebug_trace
0000000180ee042c (__TEXT,__text) external ___kdebug_trace64
0000000180ee0458 (__TEXT,__text) external ___kdebug_trace_string
0000000180ee0484 (__TEXT,__text) external ___kdebug_typefilter
0000000180f12108 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
0000000180f120d0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000180ee04b0 (__TEXT,__text) external ___kill
0000000180ee04dc (__TEXT,__text) external ___kqueue_workloop_ctl
0000000180ee0508 (__TEXT,__text) external ___lchown
0000000180ee4bd0 (__TEXT,__text) external ___libkernel_init
0000000180ee4c84 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
0000000180ee4c80 (__TEXT,__text) external ___libkernel_init_late
0000000180ee4a08 (__TEXT,__text) external ___libkernel_platform_init
0000000180ee4a40 (__TEXT,__text) external ___libkernel_voucher_init
0000000180ee0534 (__TEXT,__text) external ___listen
0000000180ee0560 (__TEXT,__text) external ___log_data
0000000180ee058c (__TEXT,__text) external ___lseek
0000000180ee05b8 (__TEXT,__text) external ___lstat64_extended
0000000180ee05e4 (__TEXT,__text) external ___lstat_extended
