000000018d296ec0 (__TEXT,__text) non-external _Annihilate
000000018d2d57b8 (__TEXT,__text) non-external _BlockSplitterAddSymbolCommand
000000018d2d5848 (__TEXT,__text) non-external _BlockSplitterAddSymbolDistance
000000018d2d5800 (__TEXT,__text) non-external _BlockSplitterAddSymbolLiteral
000000018d2d665c (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
000000018d2d6c44 (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
000000018d2d5890 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
000000018d296c34 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
000000018d2b6368 (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
000000018d28a84c (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
000000018d297384 (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
000000018d28aa24 (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
000000018d2d4328 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
000000018d2d4bc0 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
000000018d28ac78 (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
000000018d29e204 (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
000000018d2ad080 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
000000018d2adc44 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
000000018d2ac4bc (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
000000018d2ac7dc (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
000000018d2ad3a0 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
000000018d2abc18 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
000000018d29194c (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
000000018d292d94 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
000000018d294020 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
000000018d2952ac (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
000000018d291b08 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
000000018d2cb6ac (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
000000018d2cca14 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
000000018d2cd25c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
000000018d2cdaa4 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
000000018d2ce2ec (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
000000018d2ceb34 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
000000018d2cf37c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
000000018d2cfbc4 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
000000018d2d050c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
000000018d2cb984 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
000000018d2cc1cc (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
000000018d2a7210 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
000000018d2bd828 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
000000018d2b203c (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
000000018d2a6818 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
000000018d2b1edc (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
000000018d29c970 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
000000018d29ca90 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
000000018d29cbb0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
000000018d29ca30 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
000000018d2a0afc (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
000000018d2a0af4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
000000018d2a09a4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
000000018d2a2d38 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
000000018d2a0aa8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
000000018d2a0a88 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
000000018d29c91c (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
000000018d2a2cf4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
000000018d2a2c74 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
000000018d2a2b44 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
000000018d2a2c28 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
000000018d2a09dc (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
000000018d2a0b24 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
000000018d29c6a0 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
000000018d29c6a8 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
000000018d298464 (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
000000018d28b418 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
000000018d28cda0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
000000018d28b1f0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
000000018d28b308 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
000000018d28f8a4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
000000018d28db68 (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
000000018d28b3f0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
000000018d28b10c (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
000000018d28f8b4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
000000018d28f91c (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
