                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018c1e0e40 (__TEXT,__text) non-external _au_assemble
000000018c1e263c (__TEXT,__text) external _au_bsm_to_domain
000000018c1eec2c (__TEXT,__text) external _au_bsm_to_errno
000000018c1eed00 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
000000018c1ea8f0 (__TEXT,__text) external _au_bsm_to_socket_type
000000018c1e10d4 (__TEXT,__text) external _au_close
000000018c1e11a4 (__TEXT,__text) external _au_close_buffer
000000018c1e1288 (__TEXT,__text) external _au_close_token
000000018c1e0d58 (__TEXT,__text) external _au_close_with_errors
00000001d562b454 (__DATA,__bss) non-external _au_cond
000000018c1e2604 (__TEXT,__text) external _au_domain_to_bsm
000000018c1eebf0 (__TEXT,__text) external _au_errno_to_bsm
000000018c1eecc8 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
000000018c1e08e0 (__TEXT,__text) external _au_fetch_tok
000000018c1e0b30 (__TEXT,__text) external _au_free_token
000000018c1ea7a8 (__TEXT,__text) external _au_get_state
000000018c1ea6c4 (__TEXT,__text) external _au_notify_initialize
000000018c1ea780 (__TEXT,__text) external _au_notify_terminate
000000018c1e0b78 (__TEXT,__text) external _au_open
00000001d33ac460 (__DATA_CONST,__const) non-external _au_polstr
000000018c1e1740 (__TEXT,__text) external _au_poltostr
000000018c1ea4a4 (__TEXT,__text) external _au_preselect
000000018c1e4eb4 (__TEXT,__text) external _au_print_flags_tok
000000018c1e9544 (__TEXT,__text) external _au_print_tok
000000018c1e955c (__TEXT,__text) external _au_print_tok_xml
000000018c1e2f6c (__TEXT,__text) external _au_print_xml_footer
000000018c1e2f10 (__TEXT,__text) external _au_print_xml_header
000000018c1e9578 (__TEXT,__text) external _au_read_rec
000000018c1eeba4 (__TEXT,__text) external _au_sdev_close
000000018c1eebe8 (__TEXT,__text) external _au_sdev_fd
000000018c1e0498 (__TEXT,__text) external _au_sdev_open
000000018c1e056c (__TEXT,__text) external _au_sdev_read_aia
00000001d33ac550 (__DATA_CONST,__const) non-external _au_sflagsstr
000000018c1e1900 (__TEXT,__text) external _au_sflagstostr
000000018c1ea8b8 (__TEXT,__text) external _au_socket_type_to_bsm
000000018c1e1fd0 (__TEXT,__text) non-external _au_spacetobytes
000000018c1eec78 (__TEXT,__text) external _au_strerror
000000018c1e1818 (__TEXT,__text) external _au_strtopol
000000018c1e19d8 (__TEXT,__text) external _au_strtosflags
000000018c1e1018 (__TEXT,__text) non-external _au_teardown
000000018c1eaad8 (__TEXT,__text) external _au_to_arg
000000018c1ea8f8 (__TEXT,__text) external _au_to_arg32
000000018c1ea9d8 (__TEXT,__text) external _au_to_arg64
000000018c1ec910 (__TEXT,__text) external _au_to_certificate_hash
000000018c1eaadc (__TEXT,__text) external _au_to_data
000000018c1ec7e8 (__TEXT,__text) external _au_to_exec_args
000000018c1ec908 (__TEXT,__text) external _au_to_exec_env
000000018c1eabbc (__TEXT,__text) external _au_to_exit
000000018c1eb0f0 (__TEXT,__text) external _au_to_file
000000018c1eac64 (__TEXT,__text) external _au_to_groups
000000018c1ed0cc (__TEXT,__text) external _au_to_header
000000018c1ecfbc (__TEXT,__text) external _au_to_header32
000000018c1ecf08 (__TEXT,__text) external _au_to_header32_ex
000000018c1ecc4c (__TEXT,__text) external _au_to_header32_ex_tm
000000018c1ecb3c (__TEXT,__text) external _au_to_header32_tm
000000018c1ed044 (__TEXT,__text) external _au_to_header64
000000018c1ecdd4 (__TEXT,__text) external _au_to_header64_tm
000000018c1ed0d0 (__TEXT,__text) external _au_to_header_ex
000000018c1ec9cc (__TEXT,__text) external _au_to_identity
000000018c1ead24 (__TEXT,__text) external _au_to_in_addr
000000018c1ead90 (__TEXT,__text) external _au_to_in_addr_ex
000000018c1eae04 (__TEXT,__text) external _au_to_ip
000000018c1eae78 (__TEXT,__text) external _au_to_ipc
000000018c1eaf08 (__TEXT,__text) external _au_to_ipc_perm
000000018c1eafdc (__TEXT,__text) external _au_to_iport
000000018c1ed15c (__TEXT,__text) external _au_to_kevent
000000018c1ec918 (__TEXT,__text) external _au_to_krb5_principal
000000018c1ec740 (__TEXT,__text) external _au_to_me
000000018c1eac70 (__TEXT,__text) external _au_to_newgroups
000000018c1eb04c (__TEXT,__text) external _au_to_opaque
000000018c1eb2a8 (__TEXT,__text) external _au_to_path
000000018c1eb67c (__TEXT,__text) external _au_to_process
000000018c1eb354 (__TEXT,__text) external _au_to_process32
000000018c1eb680 (__TEXT,__text) external _au_to_process32_ex
000000018c1eb4c8 (__TEXT,__text) external _au_to_process64
000000018c1eb884 (__TEXT,__text) external _au_to_process64_ex
000000018c1ebac8 (__TEXT,__text) external _au_to_process_ex
000000018c1ebc0c (__TEXT,__text) external _au_to_return
000000018c1ebacc (__TEXT,__text) external _au_to_return32
000000018c1ebb5c (__TEXT,__text) external _au_to_return64
000000018c1ebc10 (__TEXT,__text) external _au_to_seq
000000018c1ebfbc (__TEXT,__text) external _au_to_sock_inet
000000018c1ebf38 (__TEXT,__text) external _au_to_sock_inet128
000000018c1ebebc (__TEXT,__text) external _au_to_sock_inet32
000000018c1ebe0c (__TEXT,__text) external _au_to_sock_unix
000000018c1ebc90 (__TEXT,__text) external _au_to_socket_ex
000000018c1ec7f0 (__TEXT,__text) non-external _au_to_strings
000000018c1ec2e8 (__TEXT,__text) external _au_to_subject
000000018c1ebfc0 (__TEXT,__text) external _au_to_subject32
000000018c1ec2ec (__TEXT,__text) external _au_to_subject32_ex
000000018c1ec134 (__TEXT,__text) external _au_to_subject64
000000018c1ec4f4 (__TEXT,__text) external _au_to_subject64_ex
000000018c1ec73c (__TEXT,__text) external _au_to_subject_ex
000000018c1eb1fc (__TEXT,__text) external _au_to_text
000000018c1ed0d4 (__TEXT,__text) external _au_to_trailer
000000018c1ec920 (__TEXT,__text) external _au_to_zonename
000000018c1ed4c4 (__TEXT,__text) external _au_user_mask
000000018c1e0cb8 (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00000001d562ad68 (__DATA,__bss) non-external _audit_free_q
000000018c1eeafc (__TEXT,__text) external _audit_get_car
000000018c1ee7a8 (__TEXT,__text) external _audit_get_class
000000018c1ed990 (__TEXT,__text) external _audit_get_cond
000000018c1eeb0c (__TEXT,__text) external _audit_get_ctlmode
000000018c1eeaec (__TEXT,__text) external _audit_get_cwd
000000018c1eeb58 (__TEXT,__text) external _audit_get_expire_after
000000018c1ee8d8 (__TEXT,__text) external _audit_get_fsize
000000018c1ee710 (__TEXT,__text) external _audit_get_kaudit
000000018c1ee840 (__TEXT,__text) external _audit_get_kmask
000000018c1ee9bc (__TEXT,__text) external _audit_get_pinfo
000000018c1eea08 (__TEXT,__text) external _audit_get_pinfo_addr
000000018c1ee420 (__TEXT,__text) external _audit_get_policy
000000018c1ee598 (__TEXT,__text) external _audit_get_qctrl
000000018c1ee510 (__TEXT,__text) external _audit_get_sflags
000000018c1ee550 (__TEXT,__text) external _audit_get_sflags_mask
000000018c1e0ae4 (__TEXT,__text) external _audit_get_sinfo_addr
000000018c1eea54 (__TEXT,__text) external _audit_get_stat
00000001d562ad60 (__DATA,__bss) non-external _audit_rec_count
000000018c1ee700 (__TEXT,__text) external _audit_send_trigger
000000018c1ee7f4 (__TEXT,__text) external _audit_set_class
000000018c1ee3a8 (__TEXT,__text) external _audit_set_cond
000000018c1ee924 (__TEXT,__text) external _audit_set_fsize
000000018c1ee75c (__TEXT,__text) external _audit_set_kaudit
000000018c1ee88c (__TEXT,__text) external _audit_set_kmask
000000018c1ee970 (__TEXT,__text) external _audit_set_pmask
000000018c1ee498 (__TEXT,__text) external _audit_set_policy
000000018c1ee64c (__TEXT,__text) external _audit_set_qctrl
