00007ff80daa7402 (__TEXT,__text) non-external _Annihilate
00007ff80daebfa5 (__TEXT,__text) non-external _BlockSplitterAddSymbolCommand
00007ff80daec019 (__TEXT,__text) non-external _BlockSplitterAddSymbolDistance
00007ff80daebfdf (__TEXT,__text) non-external _BlockSplitterAddSymbolLiteral
00007ff80daed452 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
00007ff80daedca5 (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00007ff80daec053 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00007ff80daa71fb (__TEXT,__text) non-external (was a private external) _BrotliAllocate
00007ff80daca2b7 (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00007ff80da98208 (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00007ff80daa74df (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00007ff80da9840b (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00007ff80daea957 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00007ff80daeb30f (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00007ff80da9867c (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00007ff80daaf1bc (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00007ff80dabf36e (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00007ff80dac0070 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
00007ff80dabe66c (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
00007ff80dabea6f (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
00007ff80dabf771 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
00007ff80dabdd6d (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00007ff80daa0d10 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
00007ff80daa255e (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00007ff80daa3c3c (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00007ff80daa531a (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
00007ff80daa0e80 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
00007ff80dae2340 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
00007ff80dae3694 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
00007ff80dae3f0c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
00007ff80dae4784 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
00007ff80dae4ffc (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00007ff80dae5874 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
00007ff80dae60ec (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
00007ff80dae6964 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
00007ff80dae728a (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00007ff80dae25a4 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
00007ff80dae2e1c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00007ff80dab8db2 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00007ff80dad2034 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00007ff80dac51de (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00007ff80dab8339 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00007ff80dac50b5 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00007ff80daad898 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00007ff80daad969 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00007ff80daada48 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
