00007ff808f9a120 (__TEXT,__const) non-external _A1_Table
00007ff8087b36a0 (__TEXT,__text) non-external _ARGB16UtoPlanar16U
00007ff8087b35a0 (__TEXT,__text) non-external _ARGB8888toPlanar16Q12
00007ff80848a420 (__TEXT,__text) non-external _ARGB8888toPlanar8
00007ff808492a60 (__TEXT,__text) non-external _ARGBFFFFtoPlanarF
00007ff80869d670 (__TEXT,__text) non-external (was a private external) _AccelerateGPULibraryCore
00007ff841d6cfa0 (__DATA,__bss) non-external _AccelerateGPULibraryCore.frameworkLibrary
00007ff840726710 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult
00007ff8085ee6a0 (__TEXT,__text) non-external (was a private external) _AccumulateResult_PlanarF
00007ff840726790 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult_perm
00007ff8087b4ed0 (__TEXT,__text) non-external _AddAlphaPass_Print16
00007ff8087b4e70 (__TEXT,__text) non-external _AddAlphaPass_Print8
00007ff8087b4f30 (__TEXT,__text) non-external _AddAlphaPass_PrintF
00007ff80879e7b0 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaFirst
00007ff80879e790 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaLast
00007ff80879e770 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaFirst
00007ff80879e750 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaLast
00007ff80879e800 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaFirst
00007ff80879e7d0 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaLast
00007ff808478710 (__TEXT,__text) non-external (was a private external) _AddPassesToList
00007ff808f9a1c0 (__TEXT,__const) non-external _Ainv
00007ff8087a60a0 (__TEXT,__text) non-external _Alpha8ConvertPass_Print
00007ff808f9d0b4 (__TEXT,__const) non-external _AlphaChannelIsFirst.AlphaChannelIsFirstTable
00007ff808f9d0ac (__TEXT,__const) non-external _AlphaChannelIsLast.AlphaChannelIsLastTable
00007ff840729fe0 (__DATA_CONST,__const) non-external _AlphaName.AlphaNameTable
00007ff80847b0e0 (__TEXT,__text) non-external _AnyToAnyBlock
00007ff80847b1b0 (__TEXT,__text) non-external _AnyToAnyBlockInternal
00007ff808f9a170 (__TEXT,__const) non-external _B
00007ff8084f6250 (__TEXT,__text) non-external _BoxConvolve16F_GCDWork
00007ff80859fca0 (__TEXT,__text) non-external _BoxConvolve8888_GCDWork
00007ff80859eea0 (__TEXT,__text) non-external _BoxConvolve8_GCDWork
00007ff80859f960 (__TEXT,__text) non-external (was a private external) _BoxConvolve_ARGB8888
00007ff841d6ccc0 (__DATA,__bss) non-external _BoxConvolve_ARGB8888.vBoxARGB8888_Int32Acc
00007ff80859eab0 (__TEXT,__text) non-external (was a private external) _BoxConvolve_Planar8
00007ff841d6ccb8 (__DATA,__bss) non-external _BoxConvolve_Planar8.vBoxPlanar8_Int32Acc
00007ff808478740 (__TEXT,__text) non-external _BringOddballFormatsToMainstream
00007ff84386ceb8 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_CopyToCVPixelBuffer
00007ff84386cdd8 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_GetSize
00007ff84386cdd0 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_Init
00007ff84386cec0 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitForCopyFromCVPixelBuffer
00007ff84386cec8 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitForCopyToCVPixelBuffer
00007ff84386cdf0 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitWithCGImage
00007ff84386ceb0 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitWithCVPixelBuffer
