                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
00007ff812171bcd (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
00007ff81216ea59 (__TEXT,__text) external _FSp_profile_init
00007ff81216ea66 (__TEXT,__text) external _FSp_profile_init_path
00007ff812171bd8 (__TEXT,__text) external _FSp_put_svc_key
00007ff812171be3 (__TEXT,__text) external _FSp_read_service_key
00007ff842675ac0 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00007ff842675ae0 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00007ff842675a90 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00007ff842675a70 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00007ff842675a30 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00007ff842675a50 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00007ff842675a10 (__DATA,__data) external _GSS_C_NT_USER_NAME
00007ff842675b70 (__DATA,__data) external _GSS_KRB5_MECHANISM
00007ff842675b38 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00007ff842675b00 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00007ff842675b48 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00007ff842675b28 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
00007ff812171d34 (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
00007ff812171d29 (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
00007ff812171ca9 (__TEXT,__text) external _KClientAddCredentialsDeprecated
