                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
00007ff813526107 (__TEXT,__text) external __cg_jcopy_block_row
00007ff8135260b1 (__TEXT,__text) external __cg_jcopy_sample_rows
00007ff813546292 (__TEXT,__text) external __cg_jinit_1pass_quantizer
00007ff81351c9ed (__TEXT,__text) external __cg_jinit_2pass_quantizer
00007ff813525238 (__TEXT,__text) external __cg_jinit_c_coef_controller
00007ff813526120 (__TEXT,__text) external __cg_jinit_c_main_controller
00007ff813531e55 (__TEXT,__text) external __cg_jinit_c_master_control
00007ff8135262f7 (__TEXT,__text) external __cg_jinit_c_prep_controller
00007ff81351bb40 (__TEXT,__text) external __cg_jinit_color_converter
00007ff8135246a0 (__TEXT,__text) external __cg_jinit_color_deconverter
00007ff81351ba29 (__TEXT,__text) external __cg_jinit_compress_master
00007ff813530c7f (__TEXT,__text) external __cg_jinit_d_coef_controller
00007ff8135336ad (__TEXT,__text) external __cg_jinit_d_main_controller
00007ff813534403 (__TEXT,__text) external __cg_jinit_d_post_controller
00007ff81353e4f5 (__TEXT,__text) external __cg_jinit_downsampler
00007ff813523cd3 (__TEXT,__text) external __cg_jinit_forward_dct
00007ff81353f911 (__TEXT,__text) external __cg_jinit_huff_decoder
00007ff81354384b (__TEXT,__text) external __cg_jinit_huff_encoder
00007ff8135274b7 (__TEXT,__text) external __cg_jinit_input_controller
00007ff81351c34a (__TEXT,__text) external __cg_jinit_inverse_dct
00007ff81351e1a6 (__TEXT,__text) external __cg_jinit_marker_reader
00007ff8135425d2 (__TEXT,__text) external __cg_jinit_marker_writer
00007ff8135331b8 (__TEXT,__text) external __cg_jinit_master_decompress
00007ff813547566 (__TEXT,__text) external __cg_jinit_memory_mgr
00007ff81353f287 (__TEXT,__text) external __cg_jinit_merged_upsampler
00007ff813533ebb (__TEXT,__text) external __cg_jinit_upsampler
00007ff81353e10f (__TEXT,__text) external __cg_jpeg_CreateCompress
00007ff8135269fc (__TEXT,__text) external __cg_jpeg_CreateDecompress
00007ff813520908 (__TEXT,__text) external __cg_jpeg_abort
00007ff81353e245 (__TEXT,__text) external __cg_jpeg_abort_compress
00007ff813526af5 (__TEXT,__text) external __cg_jpeg_abort_decompress
00007ff813530120 (__TEXT,__text) external __cg_jpeg_add_quant_table
00007ff813520995 (__TEXT,__text) external __cg_jpeg_alloc_huff_table
00007ff813520978 (__TEXT,__text) external __cg_jpeg_alloc_quant_table
00007ff813532eb1 (__TEXT,__text) external __cg_jpeg_calc_output_dimensions
00007ff813526b6e (__TEXT,__text) external __cg_jpeg_consume_input
00007ff81354200c (__TEXT,__text) external __cg_jpeg_copy_critical_parameters
00007ff8135304ee (__TEXT,__text) external __cg_jpeg_default_colorspace
00007ff81352094a (__TEXT,__text) external __cg_jpeg_destroy
00007ff81353e23b (__TEXT,__text) external __cg_jpeg_destroy_compress
00007ff813526aeb (__TEXT,__text) external __cg_jpeg_destroy_decompress
00007ff813546f4f (__TEXT,__text) external __cg_jpeg_fdct_float
00007ff813541b39 (__TEXT,__text) external __cg_jpeg_fdct_ifast
00007ff813534e6c (__TEXT,__text) external __cg_jpeg_fdct_islow
00007ff81353e2a2 (__TEXT,__text) external __cg_jpeg_finish_compress
00007ff813526e72 (__TEXT,__text) external __cg_jpeg_finish_decompress
00007ff8135437c1 (__TEXT,__text) external __cg_jpeg_finish_output
00007ff813521fdb (__TEXT,__text) external __cg_jpeg_free_large
00007ff813521fbc (__TEXT,__text) external __cg_jpeg_free_small
00007ff813521fc9 (__TEXT,__text) external __cg_jpeg_get_large
00007ff813521faa (__TEXT,__text) external __cg_jpeg_get_small
00007ff813526e35 (__TEXT,__text) external __cg_jpeg_has_multiple_scans
00007ff813529288 (__TEXT,__text) external __cg_jpeg_idct_1x1
00007ff8135291d4 (__TEXT,__text) external __cg_jpeg_idct_2x2
00007ff813528e8e (__TEXT,__text) external __cg_jpeg_idct_4x4
00007ff81353492c (__TEXT,__text) external __cg_jpeg_idct_float
00007ff8135237dd (__TEXT,__text) external __cg_jpeg_idct_ifast
00007ff813527f6b (__TEXT,__text) external __cg_jpeg_idct_islow
00007ff813526df8 (__TEXT,__text) external __cg_jpeg_input_complete
00007ff813521fe8 (__TEXT,__text) external __cg_jpeg_mem_available
00007ff81352221e (__TEXT,__text) external __cg_jpeg_mem_init
00007ff813522229 (__TEXT,__text) external __cg_jpeg_mem_term
00007ff813548cf0 (__TEXT,__const) external __cg_jpeg_natural_order
00007ff81353313e (__TEXT,__text) external __cg_jpeg_new_colormap
00007ff813521ff9 (__TEXT,__text) external __cg_jpeg_open_backing_store
00007ff8135302b2 (__TEXT,__text) external __cg_jpeg_quality_scaling
00007ff813534790 (__TEXT,__text) external __cg_jpeg_read_coefficients
00007ff813526aff (__TEXT,__text) external __cg_jpeg_read_header
00007ff81354369a (__TEXT,__text) external __cg_jpeg_read_raw_data
00007ff8135435eb (__TEXT,__text) external __cg_jpeg_read_scanlines
00007ff81351df30 (__TEXT,__text) external __cg_jpeg_resync_to_restart
00007ff81351fe34 (__TEXT,__text) external __cg_jpeg_save_markers
00007ff81353056c (__TEXT,__text) external __cg_jpeg_set_colorspace
00007ff813530369 (__TEXT,__text) external __cg_jpeg_set_defaults
00007ff813530268 (__TEXT,__text) external __cg_jpeg_set_linear_quality
00007ff8135201c7 (__TEXT,__text) external __cg_jpeg_set_marker_processor
00007ff8135302ea (__TEXT,__text) external __cg_jpeg_set_quality
00007ff813530910 (__TEXT,__text) external __cg_jpeg_simple_progression
00007ff81352ff0e (__TEXT,__text) external __cg_jpeg_start_compress
00007ff813543406 (__TEXT,__text) external __cg_jpeg_start_decompress
00007ff813543757 (__TEXT,__text) external __cg_jpeg_start_output
00007ff81353f001 (__TEXT,__text) external __cg_jpeg_std_error
00007ff8135209b2 (__TEXT,__text) external __cg_jpeg_std_huff_table
00007ff813548a80 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_chrominance
00007ff8135489b0 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_luminance
00007ff813548990 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_chrominance
00007ff813548970 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_luminance
00007ff813548aa0 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_chrominance
00007ff8135489d0 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_luminance
00007ff8135489a1 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_chrominance
00007ff813548981 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_luminance
00007ff8416718a0 (__DATA_CONST,__const) external __cg_jpeg_std_message_table
00007ff813547235 (__TEXT,__text) external __cg_jpeg_stdio_dest
00007ff81352222f (__TEXT,__text) external __cg_jpeg_stdio_src
00007ff81353e24f (__TEXT,__text) external __cg_jpeg_suppress_tables
00007ff813541e89 (__TEXT,__text) external __cg_jpeg_write_coefficients
00007ff81353e485 (__TEXT,__text) external __cg_jpeg_write_m_byte
00007ff81353e425 (__TEXT,__text) external __cg_jpeg_write_m_header
00007ff81353e391 (__TEXT,__text) external __cg_jpeg_write_marker
00007ff813530053 (__TEXT,__text) external __cg_jpeg_write_raw_data
00007ff81352ff8f (__TEXT,__text) external __cg_jpeg_write_scanlines
00007ff81353e497 (__TEXT,__text) external __cg_jpeg_write_tables
00007ff813526096 (__TEXT,__text) external __cg_jround_up
00007ff813525215 (__TEXT,__text) external __cg_switch_color_deconverter
00007ff813547ed6 (__TEXT,__text) non-external _access_virt_barray
00007ff813547d6a (__TEXT,__text) non-external _access_virt_sarray
00007ff813547976 (__TEXT,__text) non-external _alloc_barray
00007ff813546a1d (__TEXT,__text) non-external _alloc_fs_workspace
00007ff8135477da (__TEXT,__text) non-external _alloc_large
00007ff8135478ac (__TEXT,__text) non-external _alloc_sarray
