                 (undefined) external _AnalyticsSendEventLazy (from CoreAnalytics)
                 (undefined) external _CEMCreateStringByStrippingEmojiCharacters (from CoreEmoji)
00007ffc4197b4b0 (__DATA_CONST,__const) external _IAChannelCandidateBar
00007ffc4197b290 (__DATA_CONST,__const) external _IAChannelFeedbackService
00007ffc4197b598 (__DATA_CONST,__const) external _IAChannelGenmoji
00007ffc4197b590 (__DATA_CONST,__const) external _IAChannelGenmojiCreation
00007ffc4197bc70 (__DATA_CONST,__const) external _IAChannelImageGeneration
00007ffc4197bfb0 (__DATA_CONST,__const) external _IAChannelLegacyTextInputActions
00007ffc4197b388 (__DATA_CONST,__const) external _IAChannelMail
00007ffc4197c890 (__DATA_CONST,__const) external _IAChannelMessages
00007ffc4197cdd8 (__DATA_CONST,__const) external _IAChannelPencil
00007ffc4197cd40 (__DATA_CONST,__const) external _IAChannelSafari
00007ffc4197bfd8 (__DATA_CONST,__const) external _IAChannelSmartReplies
00007ffc4197c8a0 (__DATA_CONST,__const) external _IAChannelWritingTools
00007ffc119a7550 (__TEXT,__const) external _IADataStoreDaterangeDaysInMonth
00007ffc119a7548 (__TEXT,__const) external _IADataStoreDaterangeDaysInWeek
00007ffc119a75a0 (__TEXT,__const) external _IADataStoreDaterangeMonthEnd
00007ffc119a7598 (__TEXT,__const) external _IADataStoreDaterangeMonthStart
00007ffc119a7538 (__TEXT,__const) external _IADataStoreDaterangeToday
00007ffc119a7560 (__TEXT,__const) external _IADataStoreDaterangeWeek1End
00007ffc119a7558 (__TEXT,__const) external _IADataStoreDaterangeWeek1Start
00007ffc119a7570 (__TEXT,__const) external _IADataStoreDaterangeWeek2End
00007ffc119a7568 (__TEXT,__const) external _IADataStoreDaterangeWeek2Start
00007ffc119a7580 (__TEXT,__const) external _IADataStoreDaterangeWeek3End
00007ffc119a7578 (__TEXT,__const) external _IADataStoreDaterangeWeek3Start
00007ffc119a7590 (__TEXT,__const) external _IADataStoreDaterangeWeek4End
00007ffc119a7588 (__TEXT,__const) external _IADataStoreDaterangeWeek4Start
00007ffc119a7540 (__TEXT,__const) external _IADataStoreDaterangeYesterday
00007ffc4197c570 (__DATA_CONST,__const) external _IADataStoreObjectTypeBoolean
00007ffc4197c578 (__DATA_CONST,__const) external _IADataStoreObjectTypeCounter
00007ffc4197c580 (__DATA_CONST,__const) external _IADataStoreObjectTypeDaterange
00007ffc4197b2e0 (__DATA_CONST,__const) external _IAPayloadKeyFeedbackServiceGeneratedContent
00007ffc4197b2d8 (__DATA_CONST,__const) external _IAPayloadKeyFeedbackServiceOriginalContent
00007ffc4197b2c8 (__DATA_CONST,__const) external _IAPayloadKeyFeedbackServiceRequestingBundleID
00007ffc4197b2d0 (__DATA_CONST,__const) external _IAPayloadKeyFeedbackServiceRequestingSceneID
00007ffc4197b5b0 (__DATA_CONST,__const) external _IAPayloadKeyGenmojiBundleID
00007ffc4197b978 (__DATA_CONST,__const) external _IAPayloadKeyGenmojiCreationBlobIndex
00007ffc4197b9d8 (__DATA_CONST,__const) external _IAPayloadKeyGenmojiCreationBundleID
00007ffc4197b9a0 (__DATA_CONST,__const) external _IAPayloadKeyGenmojiCreationDescriptionString
00007ffc4197b9a8 (__DATA_CONST,__const) external _IAPayloadKeyGenmojiCreationDidPersonalize
00007ffc4197b938 (__DATA_CONST,__const) external _IAPayloadKeyGenmojiCreationErrorCode
00007ffc4197b970 (__DATA_CONST,__const) external _IAPayloadKeyGenmojiCreationErrorDescription
00007ffc4197b930 (__DATA_CONST,__const) external _IAPayloadKeyGenmojiCreationErrorDomain
00007ffc4197b9c0 (__DATA_CONST,__const) external _IAPayloadKeyGenmojiCreationFaceID
00007ffc4197b9b8 (__DATA_CONST,__const) external _IAPayloadKeyGenmojiCreationFaceIDList
00007ffc4197b928 (__DATA_CONST,__const) external _IAPayloadKeyGenmojiCreationFailReason
