00000001bf77abe0 (__TEXT,__text) non-external +[NFPromise new]
00000001bf77c768 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00000001bf77c51c (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00000001bf77c4a8 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00000001bf77c434 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00000001bf77c314 (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00000001bf77c3cc (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00000001bf77c35c (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00000001bf77db58 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00000001bf778ab8 (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00000001bf77a380 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00000001bf77a420 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00000001bf77a4cc (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00000001bf77a58c (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00000001bf77ca18 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00000001bf77c978 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00000001bf77f820 (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00000001bf7786d4 (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00000001bf778924 (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00000001bf7784b0 (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00000001bf777e68 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00000001bf7784a0 (__TEXT,__text) non-external -[NFEventManager events]
00000001bf777694 (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00000001bf77fa80 (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00000001bf77827c (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00000001bf777ffc (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00000001bf777610 (__TEXT,__text) non-external -[NFEventManager init]
00000001bf7778e0 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00000001bf77fbe8 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00000001bf777cd4 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
