
/Volumes/macOS Mojave/System/Library/Frameworks/Python.framework/Versions/2.7/Python (for architecture i386):
000acc04 (__TEXT,__text) external _AEDesc_Convert
000acb4c (__TEXT,__text) external _AEDesc_New
000acba8 (__TEXT,__text) external _AEDesc_NewBorrowed
000ad2d8 (__TEXT,__text) external _BMObj_Convert
000ad27c (__TEXT,__text) external _BMObj_New
000adac0 (__TEXT,__text) external _CFArrayRefObj_Convert
000adb1c (__TEXT,__text) external _CFArrayRefObj_New
000adc30 (__TEXT,__text) external _CFDictionaryRefObj_Convert
000adc8c (__TEXT,__text) external _CFDictionaryRefObj_New
000adb78 (__TEXT,__text) external _CFMutableArrayRefObj_Convert
000adbd4 (__TEXT,__text) external _CFMutableArrayRefObj_New
000adce8 (__TEXT,__text) external _CFMutableDictionaryRefObj_Convert
000add44 (__TEXT,__text) external _CFMutableDictionaryRefObj_New
000ada08 (__TEXT,__text) external _CFMutableStringRefObj_Convert
000ada64 (__TEXT,__text) external _CFMutableStringRefObj_New
000ad7e0 (__TEXT,__text) external _CFObj_Convert
000ad83c (__TEXT,__text) external _CFObj_New
000ad950 (__TEXT,__text) external _CFStringRefObj_Convert
000ad9ac (__TEXT,__text) external _CFStringRefObj_New
000ad898 (__TEXT,__text) external _CFTypeRefObj_Convert
000ad8f4 (__TEXT,__text) external _CFTypeRefObj_New
000adda0 (__TEXT,__text) external _CFURLRefObj_Convert
000ade58 (__TEXT,__text) external _CFURLRefObj_New
000acd74 (__TEXT,__text) external _CmpInstObj_Convert
000acd18 (__TEXT,__text) external _CmpInstObj_New
000accbc (__TEXT,__text) external _CmpObj_Convert
000acc60 (__TEXT,__text) external _CmpObj_New
000ace2c (__TEXT,__text) external _CtlObj_Convert
000acdd0 (__TEXT,__text) external _CtlObj_New
000acee4 (__TEXT,__text) external _DlgObj_Convert
000ace88 (__TEXT,__text) external _DlgObj_New
000acf40 (__TEXT,__text) external _DlgObj_WhichDialog
000acff8 (__TEXT,__text) external _DragObj_Convert
000acf9c (__TEXT,__text) external _DragObj_New
000ad448 (__TEXT,__text) external _GWorldObj_Convert
000ad3ec (__TEXT,__text) external _GWorldObj_New
000ad220 (__TEXT,__text) external _GrafObj_Convert
000ad1c4 (__TEXT,__text) external _GrafObj_New
000ad0b0 (__TEXT,__text) external _ListObj_Convert
000ad054 (__TEXT,__text) external _ListObj_New
000ad168 (__TEXT,__text) external _MenuObj_Convert
000ad10c (__TEXT,__text) external _MenuObj_New
000ad5b8 (__TEXT,__text) external _OptResObj_Convert
000ad55c (__TEXT,__text) external _OptResObj_New
000addfc (__TEXT,__text) external _OptionalCFURLRefObj_Convert
0006bd35 (__TEXT,__text) external _PyAST_Check
00087d19 (__TEXT,__text) external _PyAST_Compile
000750bc (__TEXT,__text) external _PyAST_FromNode
0006b663 (__TEXT,__text) external _PyAST_mod2obj
0006b794 (__TEXT,__text) external _PyAST_obj2mod
0009ca91 (__TEXT,__text) external _PyArena_AddPyObject
0009c9c1 (__TEXT,__text) external _PyArena_Free
0009ca01 (__TEXT,__text) external _PyArena_Malloc
0009c938 (__TEXT,__text) external _PyArena_New
0009051c (__TEXT,__text) external _PyArg_Parse
00090ae8 (__TEXT,__text) external _PyArg_ParseTuple
00090b78 (__TEXT,__text) external _PyArg_ParseTupleAndKeywords
0009120e (__TEXT,__text) external _PyArg_UnpackTuple
00090b30 (__TEXT,__text) external _PyArg_VaParse
00091102 (__TEXT,__text) external _PyArg_VaParseTupleAndKeywords
00101848 (__DATA,__data) external _PyBaseObject_Type
000fee64 (__DATA,__data) external _PyBaseString_Type
0000a8c9 (__TEXT,__text) external _PyBool_FromLong
000f121c (__DATA,__data) external _PyBool_Type
00007567 (__TEXT,__text) external _PyBuffer_FillContiguousStrides
000075a0 (__TEXT,__text) external _PyBuffer_FillInfo
0000713e (__TEXT,__text) external _PyBuffer_FromContiguous
0000ac22 (__TEXT,__text) external _PyBuffer_FromMemory
0000aae3 (__TEXT,__text) external _PyBuffer_FromObject
0000acdb (__TEXT,__text) external _PyBuffer_FromReadWriteMemory
0000abc7 (__TEXT,__text) external _PyBuffer_FromReadWriteObject
00006f6b (__TEXT,__text) external _PyBuffer_GetPointer
00006e5b (__TEXT,__text) external _PyBuffer_IsContiguous
0000acfa (__TEXT,__text) external _PyBuffer_New
00007520 (__TEXT,__text) external _PyBuffer_Release
00007013 (__TEXT,__text) external _PyBuffer_ToContiguous
000f12e8 (__DATA,__data) external _PyBuffer_Type
000f1b44 (__DATA,__data) external _PyByteArrayIter_Type
0000c25e (__TEXT,__text) external _PyByteArray_AsString
0000c346 (__TEXT,__text) external _PyByteArray_Concat
0000c164 (__TEXT,__text) external _PyByteArray_Fini
0000c171 (__TEXT,__text) external _PyByteArray_FromObject
0000c196 (__TEXT,__text) external _PyByteArray_FromStringAndSize
0000c169 (__TEXT,__text) external _PyByteArray_Init
0000c27d (__TEXT,__text) external _PyByteArray_Resize
0000c253 (__TEXT,__text) external _PyByteArray_Size
000f1a60 (__DATA,__data) external _PyByteArray_Type
00037ed6 (__TEXT,__text) external _PyCFunction_Call
0003850b (__TEXT,__text) external _PyCFunction_ClearFreeList
0003854b (__TEXT,__text) external _PyCFunction_Fini
00037e98 (__TEXT,__text) external _PyCFunction_GetFlags
00037e21 (__TEXT,__text) external _PyCFunction_GetFunction
00037e5e (__TEXT,__text) external _PyCFunction_GetSelf
00038554 (__TEXT,__text) external _PyCFunction_New
00037d70 (__TEXT,__text) external _PyCFunction_NewEx
000fd384 (__DATA,__data) external _PyCFunction_Type
0001654a (__TEXT,__text) external _PyCObject_AsVoidPtr
0001643d (__TEXT,__text) external _PyCObject_FromVoidPtr
000164b6 (__TEXT,__text) external _PyCObject_FromVoidPtrAndDesc
000165d7 (__TEXT,__text) external _PyCObject_GetDesc
0001663e (__TEXT,__text) external _PyCObject_Import
000166a3 (__TEXT,__text) external _PyCObject_SetVoidPtr
000f3c14 (__DATA,__data) external _PyCObject_Type
0002a190 (__TEXT,__text) external _PyCallIter_New
000fad94 (__DATA,__data) external _PyCallIter_Type
0003a36a (__TEXT,__text) external _PyCallable_Check
000118ad (__TEXT,__text) external _PyCapsule_GetContext
00011863 (__TEXT,__text) external _PyCapsule_GetDestructor
00011819 (__TEXT,__text) external _PyCapsule_GetName
0001179d (__TEXT,__text) external _PyCapsule_GetPointer
00011a4c (__TEXT,__text) external _PyCapsule_Import
0001174b (__TEXT,__text) external _PyCapsule_IsValid
000116da (__TEXT,__text) external _PyCapsule_New
000119fc (__TEXT,__text) external _PyCapsule_SetContext
000119ac (__TEXT,__text) external _PyCapsule_SetDestructor
0001195c (__TEXT,__text) external _PyCapsule_SetName
000118f7 (__TEXT,__text) external _PyCapsule_SetPointer
000f3368 (__DATA,__data) external _PyCapsule_Type
00011c7c (__TEXT,__text) external _PyCell_Get
00011c09 (__TEXT,__text) external _PyCell_New
00011cbf (__TEXT,__text) external _PyCell_Set
000f35f8 (__DATA,__data) external _PyCell_Type
0002812f (__TEXT,__text) external _PyClassMethod_New
000fa3a0 (__DATA,__data) external _PyClassMethod_Type
00012c06 (__TEXT,__text) external _PyClass_IsSubclass
00011ea3 (__TEXT,__text) external _PyClass_New
000f3750 (__DATA,__data) external _PyClass_Type
00017600 (__TEXT,__text) external _PyCode_Addr2Line
00016724 (__TEXT,__text) external _PyCode_New
00016ad6 (__TEXT,__text) external _PyCode_NewEmpty
0009bb08 (__TEXT,__text) external _PyCode_Optimize
000f3e10 (__DATA,__data) external _PyCode_Type
0008ee34 (__TEXT,__text) external _PyCodec_BackslashReplaceErrors
0008e3a3 (__TEXT,__text) external _PyCodec_Decode
0008e152 (__TEXT,__text) external _PyCodec_Decoder
0008e2a2 (__TEXT,__text) external _PyCodec_Encode
0008e10b (__TEXT,__text) external _PyCodec_Encoder
0008e79c (__TEXT,__text) external _PyCodec_IgnoreErrors
0008e1d0 (__TEXT,__text) external _PyCodec_IncrementalDecoder
0008e168 (__TEXT,__text) external _PyCodec_IncrementalEncoder
0008e6d3 (__TEXT,__text) external _PyCodec_LookupError
0008dc30 (__TEXT,__text) external _PyCodec_Register
0008e65c (__TEXT,__text) external _PyCodec_RegisterError
0008e90e (__TEXT,__text) external _PyCodec_ReplaceErrors
0008e1f5 (__TEXT,__text) external _PyCodec_StreamReader
0008e284 (__TEXT,__text) external _PyCodec_StreamWriter
0008e74c (__TEXT,__text) external _PyCodec_StrictErrors
0008eadd (__TEXT,__text) external _PyCodec_XMLCharRefReplaceErrors
00017cdd (__TEXT,__text) external _PyComplex_AsCComplex
00017beb (__TEXT,__text) external _PyComplex_FromCComplex
00017c4f (__TEXT,__text) external _PyComplex_FromDoubles
00017c97 (__TEXT,__text) external _PyComplex_ImagAsDouble
00017c58 (__TEXT,__text) external _PyComplex_RealAsDouble
000f40cc (__DATA,__data) external _PyComplex_Type
0001a150 (__TEXT,__text) external _PyDescr_NewClassMethod
0001a1ac (__TEXT,__text) external _PyDescr_NewGetSet
0001a17e (__TEXT,__text) external _PyDescr_NewMember
0001a0c9 (__TEXT,__text) external _PyDescr_NewMethod
0001a1da (__TEXT,__text) external _PyDescr_NewWrapper
000fc994 (__DATA,__data) external _PyDictItems_Type
000fc720 (__DATA,__data) external _PyDictIterItem_Type
000fc598 (__DATA,__data) external _PyDictIterKey_Type
000fc65c (__DATA,__data) external _PyDictIterValue_Type
000fc8a8 (__DATA,__data) external _PyDictKeys_Type
0001a33c (__TEXT,__text) external _PyDictProxy_New
000f497c (__DATA,__data) external _PyDictProxy_Type
000fca80 (__DATA,__data) external _PyDictValues_Type
00033e19 (__TEXT,__text) external _PyDict_Clear
0003486e (__TEXT,__text) external _PyDict_Contains
0003451d (__TEXT,__text) external _PyDict_Copy
00033c47 (__TEXT,__text) external _PyDict_DelItem
000352ac (__TEXT,__text) external _PyDict_DelItemString
000332f8 (__TEXT,__text) external _PyDict_Fini
000339fc (__TEXT,__text) external _PyDict_GetItem
00035207 (__TEXT,__text) external _PyDict_GetItemString
0003474a (__TEXT,__text) external _PyDict_Items
000345d6 (__TEXT,__text) external _PyDict_Keys
0003425b (__TEXT,__text) external _PyDict_Merge
0003405f (__TEXT,__text) external _PyDict_MergeFromSeq2
0003332d (__TEXT,__text) external _PyDict_New
00033f9b (__TEXT,__text) external _PyDict_Next
00033b40 (__TEXT,__text) external _PyDict_SetItem
0003524b (__TEXT,__text) external _PyDict_SetItemString
00034596 (__TEXT,__text) external _PyDict_Size
000fc1ac (__DATA,__data) external _PyDict_Type
00034240 (__TEXT,__text) external _PyDict_Update
00034691 (__TEXT,__text) external _PyDict_Values
000fe99c (__DATA,__data) external _PyEllipsis_Type
000f5230 (__DATA,__data) external _PyEnum_Type
0008f8cf (__TEXT,__text) external _PyErr_BadArgument
0008fadc (__TEXT,__text) external _PyErr_BadInternalCall
000b314f (__TEXT,__text) external _PyErr_CheckSignals
0008f84d (__TEXT,__text) external _PyErr_Clear
0009f0ad (__TEXT,__text) external _PyErr_Display
0008f612 (__TEXT,__text) external _PyErr_ExceptionMatches
0008f381 (__TEXT,__text) external _PyErr_Fetch
0008fa94 (__TEXT,__text) external _PyErr_Format
0008f22f (__TEXT,__text) external _PyErr_GivenExceptionMatches
000ac507 (__TEXT,__text) external _PyErr_Mac
0008fb04 (__TEXT,__text) external _PyErr_NewException
0008fc87 (__TEXT,__text) external _PyErr_NewExceptionWithDoc
0008f8fc (__TEXT,__text) external _PyErr_NoMemory
0008f639 (__TEXT,__text) external _PyErr_NormalizeException
0008f219 (__TEXT,__text) external _PyErr_Occurred
0009ddd9 (__TEXT,__text) external _PyErr_Print
0009ec86 (__TEXT,__text) external _PyErr_PrintEx
0008ff9f (__TEXT,__text) external _PyErr_ProgramText
0008f0fa (__TEXT,__text) external _PyErr_Restore
0008fa4c (__TEXT,__text) external _PyErr_SetFromErrno
0008f9f8 (__TEXT,__text) external _PyErr_SetFromErrnoWithFilename
0008f962 (__TEXT,__text) external _PyErr_SetFromErrnoWithFilenameObject
000b3227 (__TEXT,__text) external _PyErr_SetInterrupt
0008f1bc (__TEXT,__text) external _PyErr_SetNone
0008f193 (__TEXT,__text) external _PyErr_SetObject
0008f1dd (__TEXT,__text) external _PyErr_SetString
0008fd32 (__TEXT,__text) external _PyErr_SyntaxLocation
00066989 (__TEXT,__text) external _PyErr_Warn
000665db (__TEXT,__text) external _PyErr_WarnEx
000669a4 (__TEXT,__text) external _PyErr_WarnExplicit
0008f3bb (__TEXT,__text) external _PyErr_WriteUnraisable
0007e91c (__TEXT,__text) external _PyEval_AcquireLock
0007e95c (__TEXT,__text) external _PyEval_AcquireThread
0009abe1 (__TEXT,__text) external _PyEval_CallFunction
0009ac2e (__TEXT,__text) external _PyEval_CallMethod
00087362 (__TEXT,__text) external _PyEval_CallObjectWithKeywords
0007edc2 (__TEXT,__text) external _PyEval_EvalCode
0007ede7 (__TEXT,__text) external _PyEval_EvalCodeEx
0007f540 (__TEXT,__text) external _PyEval_EvalFrame
0007f558 (__TEXT,__text) external _PyEval_EvalFrameEx
00087604 (__TEXT,__text) external _PyEval_GetBuiltins
0007e8b4 (__TEXT,__text) external _PyEval_GetCallStats
000874f0 (__TEXT,__text) external _PyEval_GetFrame
000877f3 (__TEXT,__text) external _PyEval_GetFuncDesc
00087785 (__TEXT,__text) external _PyEval_GetFuncName
00087674 (__TEXT,__text) external _PyEval_GetGlobals
0008763b (__TEXT,__text) external _PyEval_GetLocals
000876a3 (__TEXT,__text) external _PyEval_GetRestricted
0007e8de (__TEXT,__text) external _PyEval_InitThreads
000876e4 (__TEXT,__text) external _PyEval_MergeCompilerFlags
0007ea0c (__TEXT,__text) external _PyEval_ReInitThreads
0007e93d (__TEXT,__text) external _PyEval_ReleaseLock
0007e9b6 (__TEXT,__text) external _PyEval_ReleaseThread
0007eb21 (__TEXT,__text) external _PyEval_RestoreThread
0007ead8 (__TEXT,__text) external _PyEval_SaveThread
00087514 (__TEXT,__text) external _PyEval_SetProfile
00087581 (__TEXT,__text) external _PyEval_SetTrace
0007e8c7 (__TEXT,__text) external _PyEval_ThreadsInitialized
000f6cb0 (__DATA,__data) external _PyExc_ArithmeticError
000f6be8 (__DATA,__data) external _PyExc_AssertionError
000f6288 (__DATA,__data) external _PyExc_AttributeError
000f5540 (__DATA,__data) external _PyExc_BaseException
000f7228 (__DATA,__data) external _PyExc_BufferError
000f79f8 (__DATA,__data) external _PyExc_BytesWarning
000f7480 (__DATA,__data) external _PyExc_DeprecationWarning
000f5ea0 (__DATA,__data) external _PyExc_EOFError
000f5c48 (__DATA,__data) external _PyExc_EnvironmentError
000f5608 (__DATA,__data) external _PyExc_Exception
000f6d78 (__DATA,__data) external _PyExc_FloatingPointError
000f77a0 (__DATA,__data) external _PyExc_FutureWarning
000f5928 (__DATA,__data) external _PyExc_GeneratorExit
000f5d10 (__DATA,__data) external _PyExc_IOError
000f5b80 (__DATA,__data) external _PyExc_ImportError
000f7868 (__DATA,__data) external _PyExc_ImportWarning
000f6418 (__DATA,__data) external _PyExc_IndentationError
000f6670 (__DATA,__data) external _PyExc_IndexError
000f6738 (__DATA,__data) external _PyExc_KeyError
000f5ab8 (__DATA,__data) external _PyExc_KeyboardInterrupt
000f65a8 (__DATA,__data) external _PyExc_LookupError
000f7160 (__DATA,__data) external _PyExc_MemoryError
00129d74 (__DATA,__common) external _PyExc_MemoryErrorInst
000f60f8 (__DATA,__data) external _PyExc_NameError
000f6030 (__DATA,__data) external _PyExc_NotImplementedError
000f5dd8 (__DATA,__data) external _PyExc_OSError
000f6e40 (__DATA,__data) external _PyExc_OverflowError
000f7548 (__DATA,__data) external _PyExc_PendingDeprecationWarning
00129d78 (__DATA,__common) external _PyExc_RecursionErrorInst
000f7098 (__DATA,__data) external _PyExc_ReferenceError
000f5f68 (__DATA,__data) external _PyExc_RuntimeError
