00007ff808f96120 (__TEXT,__const) non-external _A1_Table
00007ff8087af6a0 (__TEXT,__text) non-external _ARGB16UtoPlanar16U
00007ff8087af5a0 (__TEXT,__text) non-external _ARGB8888toPlanar16Q12
00007ff808486420 (__TEXT,__text) non-external _ARGB8888toPlanar8
00007ff80848ea60 (__TEXT,__text) non-external _ARGBFFFFtoPlanarF
00007ff808699670 (__TEXT,__text) non-external (was a private external) _AccelerateGPULibraryCore
00007ff841d6ce20 (__DATA,__bss) non-external _AccelerateGPULibraryCore.frameworkLibrary
00007ff8407266e0 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult
00007ff8085ea6a0 (__TEXT,__text) non-external (was a private external) _AccumulateResult_PlanarF
00007ff840726760 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult_perm
00007ff8087b0ed0 (__TEXT,__text) non-external _AddAlphaPass_Print16
00007ff8087b0e70 (__TEXT,__text) non-external _AddAlphaPass_Print8
00007ff8087b0f30 (__TEXT,__text) non-external _AddAlphaPass_PrintF
00007ff80879a7b0 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaFirst
00007ff80879a790 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaLast
00007ff80879a770 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaFirst
00007ff80879a750 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaLast
00007ff80879a800 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaFirst
00007ff80879a7d0 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaLast
00007ff808474710 (__TEXT,__text) non-external (was a private external) _AddPassesToList
00007ff808f961c0 (__TEXT,__const) non-external _Ainv
00007ff8087a20a0 (__TEXT,__text) non-external _Alpha8ConvertPass_Print
00007ff808f990b4 (__TEXT,__const) non-external _AlphaChannelIsFirst.AlphaChannelIsFirstTable
00007ff808f990ac (__TEXT,__const) non-external _AlphaChannelIsLast.AlphaChannelIsLastTable
00007ff840729fb0 (__DATA_CONST,__const) non-external _AlphaName.AlphaNameTable
00007ff8084770e0 (__TEXT,__text) non-external _AnyToAnyBlock
00007ff8084771b0 (__TEXT,__text) non-external _AnyToAnyBlockInternal
00007ff808f96170 (__TEXT,__const) non-external _B
00007ff8084f2250 (__TEXT,__text) non-external _BoxConvolve16F_GCDWork
00007ff80859bca0 (__TEXT,__text) non-external _BoxConvolve8888_GCDWork
00007ff80859aea0 (__TEXT,__text) non-external _BoxConvolve8_GCDWork
00007ff80859b960 (__TEXT,__text) non-external (was a private external) _BoxConvolve_ARGB8888
00007ff841d6cb40 (__DATA,__bss) non-external _BoxConvolve_ARGB8888.vBoxARGB8888_Int32Acc
00007ff80859aab0 (__TEXT,__text) non-external (was a private external) _BoxConvolve_Planar8
00007ff841d6cb38 (__DATA,__bss) non-external _BoxConvolve_Planar8.vBoxPlanar8_Int32Acc
00007ff808474740 (__TEXT,__text) non-external _BringOddballFormatsToMainstream
00007ff84386a0b8 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_CopyToCVPixelBuffer
00007ff843869fd8 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_GetSize
00007ff843869fd0 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_Init
00007ff84386a0c0 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitForCopyFromCVPixelBuffer
00007ff84386a0c8 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitForCopyToCVPixelBuffer
00007ff843869ff0 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitWithCGImage
00007ff84386a0b0 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitWithCVPixelBuffer
00007ff840729ff0 (__DATA_CONST,__const) non-external _ByteOrderName.ByteOrderNameTable
00007ff808473710 (__TEXT,__text) non-external _CGBitmapInfoIsValid
00007ff843869fe0 (__DATA_DIRTY,__data) non-external (was a private external) _CGImageFormat_GetComponentCount
00007ff843869fe8 (__DATA_DIRTY,__data) non-external (was a private external) _CGImageFormat_IsEqual
00007ff841d6d160 (__DATA,__bss) non-external _CGInterfacesLibraryCore.frameworkLibrary
00007ff8086fa5a0 (__TEXT,__text) non-external (was a private external) _CVConvertPass_Print
