00007ffb1ac8a7f1 (__TEXT,__text) external _LLVMExtraCreateBinary
00007ffb1ac8a8ec (__TEXT,__text) external _LLVMExtraDisposeBinary
00007ffb1ac8a79f (__TEXT,__text) external _LLVMExtraDisposeSharedModule
00007ffb1ac8a9d8 (__TEXT,__text) external _LLVMExtraGetSymbolImplAddress
00007ffb1ac8ac84 (__TEXT,__text) external _LLVMExtraGetSymbolImplName
00007ffb1ac8ab2e (__TEXT,__text) external _LLVMExtraGetSymbolImplSize
00007ffb1ac8a8fe (__TEXT,__text) external _LLVMExtraMachOUniversalBinaryCopyIRForArch
00007ffb1ac8a746 (__TEXT,__text) external _LLVMExtraMakeSharedModule
00007ffb1ac8960a (__TEXT,__text) external _MTLArchiveAddMember
00007ffb1ac89537 (__TEXT,__text) external _MTLArchiveCreate
00007ffb1ac895be (__TEXT,__text) external _MTLArchiveDestroy
00007ffb1ac8e9d9 (__TEXT,__text) external _MTLArchiveGetAsObject
00007ffb1ac896f1 (__TEXT,__text) external _MTLArchiveGetMemberNo
00007ffb1ac896a7 (__TEXT,__text) external _MTLArchiveGetMembersCount
00007ffb1ac8eb64 (__TEXT,__text) external _MTLCreateScript
00007ffb1ac8ed87 (__TEXT,__text) external _MTLDestroyScript
00007ffb1ac8c9e3 (__TEXT,__text) external _MTLDisposeSharedMetalModule
00007ffb1ac81e3d (__TEXT,__text) external _MTLDowngradeAIRModule
00007ffb1ac81e00 (__TEXT,__text) external _MTLEnablePrettyStackTrace
00007ffb1ac86268 (__TEXT,__text) external _MTLFunctionGroupCreate
00007ffb1ac8647a (__TEXT,__text) external _MTLFunctionGroupDestroy
00007ffb1ac8654f (__TEXT,__text) external _MTLFunctionGroupGetFunctionAtIndex
00007ffb1ac86513 (__TEXT,__text) external _MTLFunctionGroupGetFunctionsCount
00007ffb1ac864d5 (__TEXT,__text) external _MTLFunctionGroupGetName
00007ffb1ac80b58 (__TEXT,__text) external _MTLGPUArchiverAddDescriptor
00007ffb1ac80800 (__TEXT,__text) external _MTLGPUArchiverAddLinkedModules
00007ffb1ac80916 (__TEXT,__text) external _MTLGPUArchiverAddLinkedModulesWithReferences
00007ffb1ac80a2c (__TEXT,__text) external _MTLGPUArchiverAddPipeline
00007ffb1ac81424 (__TEXT,__text) external _MTLGPUArchiverAddTool
00007ffb1ac80592 (__TEXT,__text) external _MTLGPUArchiverAddUnit
00007ffb1ac806c9 (__TEXT,__text) external _MTLGPUArchiverAddUnitWithReference
00007ffb1ac81677 (__TEXT,__text) external _MTLGPUArchiverBuildToBuffer
00007ffb1ac81785 (__TEXT,__text) external _MTLGPUArchiverBuildToFD
00007ffb1ac7fe3b (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriter
00007ffb1ac801ce (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriterWithId
00007ffb1ac7ff6c (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriter
00007ffb1ac802ff (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriterWithId
00007ffb1ac7fd0a (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriter
00007ffb1ac8009d (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriterWithId
00007ffb1ac80430 (__TEXT,__text) external _MTLGPUArchiverDeleteWithId
00007ffb1ac80546 (__TEXT,__text) external _MTLGPUArchiverDestroy
00007ffb1ac819bc (__TEXT,__text) external _MTLGPUArchiverDumpStateToBuffer
00007ffb1ac81aca (__TEXT,__text) external _MTLGPUArchiverDumpStateToFD
00007ffb1ac818ba (__TEXT,__text) external _MTLGPUArchiverFlush
00007ffb1ac81c5e (__TEXT,__text) external _MTLGPUArchiverFromId
00007ffb1ac81322 (__TEXT,__text) external _MTLGPUArchiverKeepPackingSymbols
00007ffb1ac81575 (__TEXT,__text) external _MTLGPUArchiverPackUnits
00007ffb1ac81221 (__TEXT,__text) external _MTLGPUArchiverSetActivePlatform
