                 (undefined) external _DNSServiceCreateConnection (from libsystem_dnssd)
                 (undefined) external _DNSServiceProcessResult (from libsystem_dnssd)
                 (undefined) external _DNSServiceQueryRecordWithAttribute (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefDeallocate (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefSockFD (from libsystem_dnssd)
                 (undefined) external _DarwinDirectoryGetGeneration (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApply (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApplyWithFilter (from libsystem_darwindirectory)
00000001804e01e4 (__TEXT,__text) non-external _LI_get_thread_info
00000001804f6278 (__TEXT,__text) external _LI_get_thread_item
00000001804ea744 (__TEXT,__text) external _LI_get_thread_list
00000001804df5b4 (__TEXT,__text) external _LI_ils_create
00000001804e01ac (__TEXT,__text) external _LI_set_thread_item
00000001804e4d48 (__TEXT,__text) external _LI_set_thread_list
00000001804f2850 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001804f5afc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001804f7a7c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001804fd800 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001804f2864 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001804f5b08 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001804fd818 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001804fd8d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
00000001804fd8f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
00000001804fd904 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
00000001804f5b24 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001804fd838 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001804fd854 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001804f5afc (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001804fd860 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001804fd86c (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
00000001804fd88c (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
00000001804fd8ac (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
00000001804fd8b8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __DefaultRuneLocale (from libsystem_c)
