000000019f8f8858 (__TEXT,__text) non-external +[Calculate _lock]
000000019f8f895c (__TEXT,__text) non-external +[Calculate _resetGlobals]
000000019f8f8800 (__TEXT,__text) non-external +[Calculate _unlock]
000000019f8ebf08 (__TEXT,__text) non-external +[Calculate evaluate:options:]
000000019f8ec6f4 (__TEXT,__text) non-external +[Calculate evaluate:options:needsUpdate:]
000000019f8ebf5c (__TEXT,__text) non-external +[Calculate evaluate:options:resultHandler:]
000000019f8ec660 (__TEXT,__text) non-external +[CalculateRequest _lock]
000000019f8ec654 (__TEXT,__text) non-external +[CalculateRequest _unlock]
000000019f8ec5bc (__TEXT,__text) non-external +[CalculateRequest serialQueue]
000000019f8f867c (__TEXT,__text) non-external +[CalculateResult decimalNumberWithDecimal128:]
000000019f8f8734 (__TEXT,__text) non-external +[CalculateResult defaultNumberFormatter]
000000019f8f8124 (__TEXT,__text) non-external +[CalculateResult preferMeasurementSystemsForLocale:preferred:fallback:]
000000019f8f81f8 (__TEXT,__text) non-external +[CalculateResult resultWithResultTree:parseTree:locales:numberFormatter:unitsInfo:unitType:unitExponent:expression:isTrivial:localizeUnit:unitFormat:autoScientificNotation:flexibleFractionDigits:hasStaleCurrencyData:]
000000019f8f3fc4 (__TEXT,__text) non-external +[CalculateTerm termWithValue:units:result:]
000000019f8f9000 (__TEXT,__text) non-external +[CalculateToken tokenWithType:range:text:ranks:]
000000019f8fc698 (__TEXT,__text) non-external +[CalculateTokenizer displayNameExponent:]
000000019f8fc788 (__TEXT,__text) non-external +[CalculateTokenizer prepareString:]
000000019f8fc728 (__TEXT,__text) non-external +[CalculateTokenizer tokenizerWithUnits:]
000000019f8f76ac (__TEXT,__text) non-external +[CalculateUnit unitWithID:unitsInfo:exponent:]
000000019f90146c (__TEXT,__text) non-external +[Converter currencyCacheLastRefreshDate]
000000019f9014cc (__TEXT,__text) non-external +[Converter dispatchQueue]
000000019f901568 (__TEXT,__text) non-external +[Converter initialize]
000000019f901424 (__TEXT,__text) non-external +[Converter needsRefresh]
000000019f901394 (__TEXT,__text) non-external +[Converter refreshCurrencyCacheIfNeeded]
000000019f9013dc (__TEXT,__text) non-external +[Converter refreshCurrencyCache]
000000019f8d6520 (__TEXT,__text) non-external +[CurrencyCache shared]
000000019f8e8520 (__TEXT,__text) non-external +[Localize availableLocaleNames]
000000019f8e812c (__TEXT,__text) non-external +[Localize formatString:withExponent:formatter:]
000000019f8e83e8 (__TEXT,__text) non-external +[Localize localizationForLocale:]
000000019f8e804c (__TEXT,__text) non-external +[Localize localizedStringForKey:value:table:localization:]
000000019f8e7fac (__TEXT,__text) non-external +[Localize localizedStringsForTable:localization:]
000000019f8e8580 (__TEXT,__text) non-external +[Localize mainBundle]
000000019f8e8748 (__TEXT,__text) non-external +[Localize systemLocale]
000000019f8e85c0 (__TEXT,__text) non-external +[Localize systemLocales]
000000019f8ebd74 (__TEXT,__text) non-external +[Trie enumerateCharactersInKey:range:usingBlock:]
000000019f8eb4c8 (__TEXT,__text) non-external +[TrieNode nodeWithTrie:node:offset:]
000000019f8e907c (__TEXT,__text) non-external +[UnitRanks unitRanksWithUnitsInfo:]
000000019f8eb100 (__TEXT,__text) non-external +[UnitsInfo shouldSkipUnitName:]
000000019f8eb0a0 (__TEXT,__text) non-external +[UnitsInfo unitsInfoWithDictionary:]
000000019f8ec0bc (__TEXT,__text) non-external -[CalculateRequest .cxx_destruct]
000000019f8ec24c (__TEXT,__text) non-external -[CalculateRequest cancel]
000000019f8ec16c (__TEXT,__text) non-external -[CalculateRequest expression]
000000019f8ec174 (__TEXT,__text) non-external -[CalculateRequest finish]
000000019f8ec130 (__TEXT,__text) non-external -[CalculateRequest isCanceled]
000000019f8ec158 (__TEXT,__text) non-external -[CalculateRequest options]
000000019f8ec120 (__TEXT,__text) non-external -[CalculateRequest resultHandler]
000000019f8ec144 (__TEXT,__text) non-external -[CalculateRequest result]
000000019f8ec160 (__TEXT,__text) non-external -[CalculateRequest setExpression:]
000000019f8ec128 (__TEXT,__text) non-external -[CalculateRequest setIsCanceled:]
000000019f8ec14c (__TEXT,__text) non-external -[CalculateRequest setOptions:]
000000019f8ec138 (__TEXT,__text) non-external -[CalculateRequest setResult:]
000000019f8ec118 (__TEXT,__text) non-external -[CalculateRequest setResultHandler:]
000000019f8ec318 (__TEXT,__text) non-external -[CalculateRequest update]
000000019f8f4a0c (__TEXT,__text) non-external -[CalculateResult .cxx_destruct]
000000019f8f7ffc (__TEXT,__text) non-external -[CalculateResult _setConversions:]
000000019f8f7f84 (__TEXT,__text) non-external -[CalculateResult _setExpression:]
000000019f8f7f90 (__TEXT,__text) non-external -[CalculateResult _setInputValueAndUnit:]
000000019f8f7e50 (__TEXT,__text) non-external -[CalculateResult _setTerms:]
000000019f8f4bb0 (__TEXT,__text) non-external -[CalculateResult autoScientificNotation]
000000019f8f5a78 (__TEXT,__text) non-external -[CalculateResult availableConversions]
000000019f8f5b40 (__TEXT,__text) non-external -[CalculateResult bestConversion]
000000019f8f7b40 (__TEXT,__text) non-external -[CalculateResult compare:]
000000019f8f68b4 (__TEXT,__text) non-external -[CalculateResult conversionsForMetric:US:UK:]
000000019f8f4b68 (__TEXT,__text) non-external -[CalculateResult conversions]
000000019f8f4c88 (__TEXT,__text) non-external -[CalculateResult convertedTo:]
000000019f8f500c (__TEXT,__text) non-external -[CalculateResult convertedTree:needsUpdate:]
000000019f8f7d50 (__TEXT,__text) non-external -[CalculateResult dealloc]
000000019f8f4be8 (__TEXT,__text) non-external -[CalculateResult description]
000000019f8f77f8 (__TEXT,__text) non-external -[CalculateResult enableMeasurementSystemsForLocale:metric:US:UK:]
000000019f8f4be0 (__TEXT,__text) non-external -[CalculateResult expression]
000000019f8f4ba0 (__TEXT,__text) non-external -[CalculateResult flexibleFractionDigits]
000000019f8f7acc (__TEXT,__text) non-external -[CalculateResult formattedExpression]
000000019f8f7960 (__TEXT,__text) non-external -[CalculateResult formattedResult]
000000019f8f4b60 (__TEXT,__text) non-external -[CalculateResult hasStaleCurrencyData]
000000019f8f7dd8 (__TEXT,__text) non-external -[CalculateResult init]
000000019f8f4b70 (__TEXT,__text) non-external -[CalculateResult inputValueAndUnit]
000000019f8f674c (__TEXT,__text) non-external -[CalculateResult isAcceptableConversion:]
000000019f8f7ad0 (__TEXT,__text) non-external -[CalculateResult isEqual:]
000000019f8f4b90 (__TEXT,__text) non-external -[CalculateResult isTrivial]
000000019f8f4bc4 (__TEXT,__text) non-external -[CalculateResult locales]
000000019f8f4af0 (__TEXT,__text) non-external -[CalculateResult localizeUnit]
000000019f8f5214 (__TEXT,__text) non-external -[CalculateResult localizedConversions]
000000019f8f6ca4 (__TEXT,__text) non-external -[CalculateResult newUnit:]
000000019f8f4bd8 (__TEXT,__text) non-external -[CalculateResult numberFormatter]
000000019f8f4b24 (__TEXT,__text) non-external -[CalculateResult parent]
000000019f8f4b10 (__TEXT,__text) non-external -[CalculateResult parseTree]
000000019f8f4b00 (__TEXT,__text) non-external -[CalculateResult resultTree]
000000019f8f4ba8 (__TEXT,__text) non-external -[CalculateResult setAutoScientificNotation:]
000000019f8f4b98 (__TEXT,__text) non-external -[CalculateResult setFlexibleFractionDigits:]
000000019f8f4bb8 (__TEXT,__text) non-external -[CalculateResult setLocales:]
000000019f8f4ae8 (__TEXT,__text) non-external -[CalculateResult setLocalizeUnit:]
000000019f8f4bcc (__TEXT,__text) non-external -[CalculateResult setNumberFormatter:]
000000019f8f4b18 (__TEXT,__text) non-external -[CalculateResult setParent:]
000000019f8f4b08 (__TEXT,__text) non-external -[CalculateResult setParseTree:]
000000019f8f4af8 (__TEXT,__text) non-external -[CalculateResult setResultTree:]
000000019f8f4aa0 (__TEXT,__text) non-external -[CalculateResult setSingleUnitID:]
000000019f8f4b50 (__TEXT,__text) non-external -[CalculateResult setSynchronous:]
000000019f8f4ab0 (__TEXT,__text) non-external -[CalculateResult setTypeInfo:]
000000019f8f4ad8 (__TEXT,__text) non-external -[CalculateResult setUnitFormat:]
000000019f8f4ac4 (__TEXT,__text) non-external -[CalculateResult setUnitsInfo:]
000000019f8f4aa8 (__TEXT,__text) non-external -[CalculateResult singleUnitID]
000000019f8f4b58 (__TEXT,__text) non-external -[CalculateResult synchronous]
000000019f8f4b78 (__TEXT,__text) non-external -[CalculateResult terms]
000000019f8f4abc (__TEXT,__text) non-external -[CalculateResult typeInfo]
000000019f8f4b80 (__TEXT,__text) non-external -[CalculateResult unitExponent]
000000019f8f4ae0 (__TEXT,__text) non-external -[CalculateResult unitFormat]
000000019f8f4b88 (__TEXT,__text) non-external -[CalculateResult unitType]
000000019f8f4ad0 (__TEXT,__text) non-external -[CalculateResult unitsInfo]
000000019f8f2234 (__TEXT,__text) non-external -[CalculateTerm .cxx_destruct]
000000019f8f3f2c (__TEXT,__text) non-external -[CalculateTerm _setDecimalValue:]
000000019f8f2fa8 (__TEXT,__text) non-external -[CalculateTerm _valueWithoutIrrelevantDecimals]
000000019f8f2350 (__TEXT,__text) non-external -[CalculateTerm compare:]
000000019f8f2288 (__TEXT,__text) non-external -[CalculateTerm decimalValue]
000000019f8f22dc (__TEXT,__text) non-external -[CalculateTerm description]
000000019f8f2f48 (__TEXT,__text) non-external -[CalculateTerm emptyNumeratorString]
000000019f8f2528 (__TEXT,__text) non-external -[CalculateTerm formattedResult]
000000019f8f289c (__TEXT,__text) non-external -[CalculateTerm formattedUnitReplacingFirstNumerator:]
000000019f8f2ddc (__TEXT,__text) non-external -[CalculateTerm formattedUnit]
000000019f8f3224 (__TEXT,__text) non-external -[CalculateTerm formattedValue]
000000019f8f3bbc (__TEXT,__text) non-external -[CalculateTerm getMaximumFractionDigits:minimumFractionDigits:]
000000019f8f3824 (__TEXT,__text) non-external -[CalculateTerm getMaximumFractionDigits:minimumFractionDigits:forValue:]
000000019f8f3f80 (__TEXT,__text) non-external -[CalculateTerm init]
000000019f8f3c14 (__TEXT,__text) non-external -[CalculateTerm isCurrency]
000000019f8f22e0 (__TEXT,__text) non-external -[CalculateTerm isEqual:]
000000019f8f3cb0 (__TEXT,__text) non-external -[CalculateTerm locale]
000000019f8f3ddc (__TEXT,__text) non-external -[CalculateTerm numberFormatter]
000000019f8f2de4 (__TEXT,__text) non-external -[CalculateTerm primaryUnit]
000000019f8f3e8c (__TEXT,__text) non-external -[CalculateTerm resultContainingNumberFormatter]
000000019f8f22a0 (__TEXT,__text) non-external -[CalculateTerm result]
000000019f8f2280 (__TEXT,__text) non-external -[CalculateTerm setDecimalValue:]
000000019f8f2294 (__TEXT,__text) non-external -[CalculateTerm setResult:]
000000019f8f22cc (__TEXT,__text) non-external -[CalculateTerm units]
000000019f8f22d4 (__TEXT,__text) non-external -[CalculateTerm value]
000000019f8f8e34 (__TEXT,__text) non-external -[CalculateToken .cxx_destruct]
000000019f8f8f3c (__TEXT,__text) non-external -[CalculateToken initWithType:range:text:ranks:]
000000019f8f8e9c (__TEXT,__text) non-external -[CalculateToken isEqual:]
000000019f8f8e90 (__TEXT,__text) non-external -[CalculateToken range]
000000019f8f8e78 (__TEXT,__text) non-external -[CalculateToken ranks]
000000019f8f8e80 (__TEXT,__text) non-external -[CalculateToken text]
000000019f8f8e88 (__TEXT,__text) non-external -[CalculateToken tokenType]
000000019f8f90a4 (__TEXT,__text) non-external -[CalculateTokenizer .cxx_destruct]
000000019f8f9318 (__TEXT,__text) non-external -[CalculateTokenizer _findTokens]
000000019f8fb190 (__TEXT,__text) non-external -[CalculateTokenizer _loadIfNeeded]
000000019f8f91c8 (__TEXT,__text) non-external -[CalculateTokenizer index]
000000019f8fc5dc (__TEXT,__text) non-external -[CalculateTokenizer initWithUnits:]
000000019f8f9154 (__TEXT,__text) non-external -[CalculateTokenizer lastToken]
000000019f8f91b8 (__TEXT,__text) non-external -[CalculateTokenizer locales]
000000019f8f9298 (__TEXT,__text) non-external -[CalculateTokenizer nextToken]
000000019f8f9178 (__TEXT,__text) non-external -[CalculateTokenizer peekIndex]
000000019f8f91d0 (__TEXT,__text) non-external -[CalculateTokenizer peekToken]
000000019f8f9168 (__TEXT,__text) non-external -[CalculateTokenizer peekTokens]
000000019f8fb114 (__TEXT,__text) non-external -[CalculateTokenizer reset]
000000019f8f9148 (__TEXT,__text) non-external -[CalculateTokenizer setLastToken:]
000000019f8faaf8 (__TEXT,__text) non-external -[CalculateTokenizer setLocales:]
000000019f8f9170 (__TEXT,__text) non-external -[CalculateTokenizer setPeekIndex:]
000000019f8f915c (__TEXT,__text) non-external -[CalculateTokenizer setPeekTokens:]
000000019f8fab3c (__TEXT,__text) non-external -[CalculateTokenizer setString:]
000000019f8f9180 (__TEXT,__text) non-external -[CalculateTokenizer setStringLength:]
000000019f8f9190 (__TEXT,__text) non-external -[CalculateTokenizer setTrie:]
000000019f8f91a4 (__TEXT,__text) non-external -[CalculateTokenizer setUnitsInfo:]
000000019f8f9134 (__TEXT,__text) non-external -[CalculateTokenizer setWordBreakIndices:]
000000019f8f9124 (__TEXT,__text) non-external -[CalculateTokenizer setWordBreakIndicesIndex:]
000000019f8f9188 (__TEXT,__text) non-external -[CalculateTokenizer stringLength]
000000019f8f91c0 (__TEXT,__text) non-external -[CalculateTokenizer string]
000000019f8f919c (__TEXT,__text) non-external -[CalculateTokenizer trie]
000000019f8f91b0 (__TEXT,__text) non-external -[CalculateTokenizer unitsInfo]
000000019f8f912c (__TEXT,__text) non-external -[CalculateTokenizer wordBreakIndicesIndex]
000000019f8f9140 (__TEXT,__text) non-external -[CalculateTokenizer wordBreakIndices]
000000019f8f6d28 (__TEXT,__text) non-external -[CalculateUnit .cxx_destruct]
000000019f8f7490 (__TEXT,__text) non-external -[CalculateUnit compactNameForLocalization:]
000000019f8f6ed4 (__TEXT,__text) non-external -[CalculateUnit compare:]
000000019f8f6db0 (__TEXT,__text) non-external -[CalculateUnit description]
000000019f8f6da0 (__TEXT,__text) non-external -[CalculateUnit exponent]
000000019f8f7510 (__TEXT,__text) non-external -[CalculateUnit formatNextSmallest]
000000019f8f7670 (__TEXT,__text) non-external -[CalculateUnit isDenominator]
000000019f8f6e64 (__TEXT,__text) non-external -[CalculateUnit isEqual:]
000000019f8f768c (__TEXT,__text) non-external -[CalculateUnit isNumerator]
000000019f8f6f58 (__TEXT,__text) non-external -[CalculateUnit localizedNameForValue:localization:retainingFormat:]
000000019f8f6da8 (__TEXT,__text) non-external -[CalculateUnit name]
000000019f8f7518 (__TEXT,__text) non-external -[CalculateUnit nextSmallest]
000000019f8f6d8c (__TEXT,__text) non-external -[CalculateUnit setNextSmallest:]
000000019f8f6d78 (__TEXT,__text) non-external -[CalculateUnit setUnitInfo:]
000000019f8f6d84 (__TEXT,__text) non-external -[CalculateUnit unitInfo]
000000019f8f6d98 (__TEXT,__text) non-external -[CalculateUnit unitType]
000000019f8fc790 (__TEXT,__text) non-external -[Converter .cxx_destruct]
000000019f8ff49c (__TEXT,__text) non-external -[Converter _calculate:]
000000019f8fd9d0 (__TEXT,__text) non-external -[Converter _doubleWithoutUnrelevantDecimalsForNumber:]
000000019f8fc938 (__TEXT,__text) non-external -[Converter _localizedPluralizedStringsforNumber:unit:]
000000019f8fed08 (__TEXT,__text) non-external -[Converter _normalizedUnitNamesForName:]
000000019f8fda5c (__TEXT,__text) non-external -[Converter _operateConversionForOutputUnit:]
000000019f8ff614 (__TEXT,__text) non-external -[Converter _parseInputQuery]
000000019f8fe1a0 (__TEXT,__text) non-external -[Converter _performUnitPluralization]
000000019f8ff57c (__TEXT,__text) non-external -[Converter _safe_subStringOf:withRange:]
000000019f8fe9d0 (__TEXT,__text) non-external -[Converter _standardizeInputAndOutputUnits]
000000019f8fe6c4 (__TEXT,__text) non-external -[Converter _unitInfoForNormalizedName:]
000000019f8fee90 (__TEXT,__text) non-external -[Converter _updateInputValueFromMatch:]
000000019f8fc860 (__TEXT,__text) non-external -[Converter additionalResults]
000000019f8fc84c (__TEXT,__text) non-external -[Converter conversionType]
000000019f8fc870 (__TEXT,__text) non-external -[Converter currencyUpdateTimeOut]
000000019f90128c (__TEXT,__text) non-external -[Converter initWithInput:]
000000019f8fc930 (__TEXT,__text) non-external -[Converter inputString]
000000019f8fc91c (__TEXT,__text) non-external -[Converter inputUnit]
000000019f8fc908 (__TEXT,__text) non-external -[Converter inputValue]
000000019f8fc878 (__TEXT,__text) non-external -[Converter isCurrency]
000000019f8fc8cc (__TEXT,__text) non-external -[Converter localizedInputValueAndUnit]
000000019f8fc890 (__TEXT,__text) non-external -[Converter localizedOutputUnit]
000000019f8fc8b8 (__TEXT,__text) non-external -[Converter localizedOutputValueAndUnit]
000000019f8fc8a4 (__TEXT,__text) non-external -[Converter localizedOutputValue]
000000019f8fc8f4 (__TEXT,__text) non-external -[Converter outputUnit]
000000019f8fc8e0 (__TEXT,__text) non-external -[Converter outputValue]
000000019f8ffefc (__TEXT,__text) non-external -[Converter processConversionWithCompletion:]
000000019f8fc854 (__TEXT,__text) non-external -[Converter setAdditionalResults:]
000000019f8fc840 (__TEXT,__text) non-external -[Converter setConversionType:]
000000019f8fc868 (__TEXT,__text) non-external -[Converter setCurrencyUpdateTimeOut:]
000000019f8fc924 (__TEXT,__text) non-external -[Converter setInputString:]
000000019f8fc910 (__TEXT,__text) non-external -[Converter setInputUnit:]
