00007ff84003e328 (__DATA,__bss) non-external _GlobalMajor
00007ff84003e32c (__DATA,__bss) non-external _GlobalMinor
00007ff84003e330 (__DATA,__bss) non-external _GlobalSubminor
00007ff84003e320 (__DATA,__bss) non-external _OSOnceCounter
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff800210a42 (__TEXT,__text) external ___absvdi2
00007ff800210a75 (__TEXT,__text) external ___absvsi2
00007ff800210a9e (__TEXT,__text) external ___absvti2
00007ff800210ade (__TEXT,__text) external ___addvdi3
00007ff800210b24 (__TEXT,__text) external ___addvsi3
00007ff800210b66 (__TEXT,__text) external ___addvti3
00007ff800210bc3 (__TEXT,__text) external ___ashldi3
00007ff800210bef (__TEXT,__text) external ___ashlti3
00007ff800210c17 (__TEXT,__text) external ___ashrdi3
00007ff800210c48 (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff800210ef0 (__TEXT,__text) external ___atomic_compare_exchange
00007ff800211448 (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff800211494 (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff8002114e0 (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff80021152c (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff800211134 (__TEXT,__text) external ___atomic_exchange
00007ff80021137a (__TEXT,__text) external ___atomic_exchange_1
00007ff8002113b0 (__TEXT,__text) external ___atomic_exchange_2
00007ff8002113e4 (__TEXT,__text) external ___atomic_exchange_4
00007ff800211414 (__TEXT,__text) external ___atomic_exchange_8
00007ff800211578 (__TEXT,__text) external ___atomic_fetch_add_1
00007ff8002115b0 (__TEXT,__text) external ___atomic_fetch_add_2
00007ff8002115e4 (__TEXT,__text) external ___atomic_fetch_add_4
00007ff800211618 (__TEXT,__text) external ___atomic_fetch_add_8
00007ff800211728 (__TEXT,__text) external ___atomic_fetch_and_1
00007ff8002117a0 (__TEXT,__text) external ___atomic_fetch_and_2
00007ff800211820 (__TEXT,__text) external ___atomic_fetch_and_4
00007ff800211890 (__TEXT,__text) external ___atomic_fetch_and_8
00007ff800211914 (__TEXT,__text) external ___atomic_fetch_or_1
00007ff80021198c (__TEXT,__text) external ___atomic_fetch_or_2
00007ff800211a0c (__TEXT,__text) external ___atomic_fetch_or_4
00007ff800211a7c (__TEXT,__text) external ___atomic_fetch_or_8
00007ff80021164c (__TEXT,__text) external ___atomic_fetch_sub_1
00007ff800211684 (__TEXT,__text) external ___atomic_fetch_sub_2
00007ff8002116bc (__TEXT,__text) external ___atomic_fetch_sub_4
00007ff8002116f0 (__TEXT,__text) external ___atomic_fetch_sub_8
00007ff800211b00 (__TEXT,__text) external ___atomic_fetch_xor_1
00007ff800211b78 (__TEXT,__text) external ___atomic_fetch_xor_2
00007ff800211bf8 (__TEXT,__text) external ___atomic_fetch_xor_4
00007ff800211c68 (__TEXT,__text) external ___atomic_fetch_xor_8
00007ff800210c78 (__TEXT,__text) external ___atomic_is_lock_free
00007ff800210ccc (__TEXT,__text) external ___atomic_load
00007ff8002112f4 (__TEXT,__text) external ___atomic_load_1
00007ff800211305 (__TEXT,__text) external ___atomic_load_2
00007ff800211317 (__TEXT,__text) external ___atomic_load_4
00007ff800211325 (__TEXT,__text) external ___atomic_load_8
00007ff800210dcc (__TEXT,__text) external ___atomic_store
00007ff800211334 (__TEXT,__text) external ___atomic_store_1
00007ff800211346 (__TEXT,__text) external ___atomic_store_2
00007ff800211358 (__TEXT,__text) external ___atomic_store_4
00007ff800211368 (__TEXT,__text) external ___atomic_store_8
                 (indirect) external ___chkstk_darwin (for ____chkstk_darwin)
00007ff800211d9c (__TEXT,__text) external ___clzdi2
00007ff800211db7 (__TEXT,__text) external ___clzsi2
00007ff800211e26 (__TEXT,__text) external ___clzti2
00007ff800211e3f (__TEXT,__text) external ___cmpdi2
00007ff800211e6b (__TEXT,__text) external ___cmpti2
00007ff800213d78 (__TEXT,__text) non-external (was a private external) ___compilerrt_abort_impl
00007ff800211e8c (__TEXT,__text) external ___ctzdi2
00007ff800211ea6 (__TEXT,__text) external ___ctzsi2
00007ff800211f05 (__TEXT,__text) external ___ctzti2
00007ff800211f1b (__TEXT,__text) external ___divdc3
00007ff800212573 (__TEXT,__text) external ___divdi3
00007ff8002125ae (__TEXT,__text) external ___divsc3
00007ff800212b4e (__TEXT,__text) external ___divti3
00007ff800212b9e (__TEXT,__text) external ___divxc3
00007ff800212eeb (__TEXT,__text) external ___extendhfsf2
00007ff800212f59 (__TEXT,__text) external ___ffsdi2
00007ff800212f75 (__TEXT,__text) external ___ffsti2
