                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringGetBytes (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFURLCreateWithBytes (from CoreFoundation)
00007ff80e271f55 (__TEXT,__text) external _CMCloneProfileRef
00007ff842709300 (__DATA,__bss) non-external _CMCloneProfileRef.func
00007ff80e271f11 (__TEXT,__text) external _CMCloseProfile
00007ff8427092f8 (__DATA,__bss) non-external _CMCloseProfile.func
00007ff80e271e9d (__TEXT,__text) external _CMConvertDoubleXYZToD50
00007ff8427092f0 (__DATA,__bss) non-external _CMConvertDoubleXYZToD50.func
00007ff80e271e56 (__TEXT,__text) external _CMConvertRGBFloatBitmap
00007ff8427092e8 (__DATA,__bss) non-external _CMConvertRGBFloatBitmap.func
00007ff80e271de2 (__TEXT,__text) external _CMConvertXYZFloatBitmap
00007ff8427092e0 (__DATA,__bss) non-external _CMConvertXYZFloatBitmap.func
00007ff80e271d28 (__TEXT,__text) external _CMCopyProfile
00007ff8427092d8 (__DATA,__bss) non-external _CMCopyProfile.func
00007ff80e271c76 (__TEXT,__text) external _CMCopyProfileDescriptionString
00007ff8427092d0 (__DATA,__bss) non-external _CMCopyProfileDescriptionString.func
00007ff80e271ba1 (__TEXT,__text) external _CMCopyProfileLocalizedString
00007ff8427092c8 (__DATA,__bss) non-external _CMCopyProfileLocalizedString.func
00007ff80e271aea (__TEXT,__text) external _CMCopyProfileLocalizedStringDictionary
00007ff8427092c0 (__DATA,__bss) non-external _CMCopyProfileLocalizedStringDictionary.func
00007ff80e271a38 (__TEXT,__text) external _CMCountProfileElements
00007ff8427092b8 (__DATA,__bss) non-external _CMCountProfileElements.func
00007ff80e27199b (__TEXT,__text) external _CMFloatBitmapMakeChunky
00007ff8427092b0 (__DATA,__bss) non-external _CMFloatBitmapMakeChunky.func
00007ff80e271957 (__TEXT,__text) external _CMGetColorSyncVersion
00007ff8427092a8 (__DATA,__bss) non-external _CMGetColorSyncVersion.func
00007ff80e271912 (__TEXT,__text) external _CMGetDefaultDevice
00007ff8427092a0 (__DATA,__bss) non-external _CMGetDefaultDevice.func
00007ff80e2718cd (__TEXT,__text) external _CMGetDefaultProfileBySpace
00007ff842709298 (__DATA,__bss) non-external _CMGetDefaultProfileBySpace.func
00007ff80e271888 (__TEXT,__text) external _CMGetDefaultProfileByUse
00007ff842709290 (__DATA,__bss) non-external _CMGetDefaultProfileByUse.func
00007ff80e27182e (__TEXT,__text) external _CMGetDeviceDefaultProfileID
00007ff842709288 (__DATA,__bss) non-external _CMGetDeviceDefaultProfileID.func
00007ff80e2717bc (__TEXT,__text) external _CMGetDeviceFactoryProfiles
00007ff842709280 (__DATA,__bss) non-external _CMGetDeviceFactoryProfiles.func
00007ff80e271762 (__TEXT,__text) external _CMGetDeviceInfo
00007ff842709278 (__DATA,__bss) non-external _CMGetDeviceInfo.func
00007ff80e271705 (__TEXT,__text) external _CMGetDeviceProfile
00007ff842709270 (__DATA,__bss) non-external _CMGetDeviceProfile.func
00007ff80e2716ab (__TEXT,__text) external _CMGetDeviceState
00007ff842709268 (__DATA,__bss) non-external _CMGetDeviceState.func
