000000018c007e9c (__TEXT,__const) non-external _DOWNCASE_TBL
000000018c00769c (__TEXT,__const) non-external _SF_BYTESEQ_CHARS
000000018c006e9c (__TEXT,__const) non-external _SF_DQUOTE_CHARS
000000018c007a9c (__TEXT,__const) non-external _SF_KEY_CHARS
000000018c00729c (__TEXT,__const) non-external _SF_TOKEN_CHARS
000000018c00899c (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
000000018c00849c (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
000000018c007f9c (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
000000018c00889c (__TEXT,__const) non-external _VALID_METHOD_CHARS
000000018c00839c (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018bff5464 (__TEXT,__text) non-external _active_outbound_item_reset
000000018bffa2f4 (__TEXT,__text) non-external _add_hd_table_incremental
000000018bffdcf0 (__TEXT,__text) non-external _bubble_down
000000018bffdc74 (__TEXT,__text) non-external _bubble_up
000000018bff538c (__TEXT,__text) non-external _buf_chain_new
000000018bffdedc (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
000000018bff5240 (__TEXT,__text) non-external _default_calloc
000000018bff5600 (__TEXT,__text) non-external _default_free
000000018bff52dc (__TEXT,__text) non-external _default_malloc
000000018bff5460 (__TEXT,__text) non-external _default_realloc
000000018bff9d58 (__TEXT,__text) non-external _emit_indname_block
000000018bff9ee4 (__TEXT,__text) non-external _emit_string
000000018bffcb68 (__TEXT,__text) non-external _emit_table_size
000000018c000008 (__TEXT,__text) non-external _find_stream_on_goaway_func
000000018bffa628 (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
000000018bfff5cc (__TEXT,__text) non-external _free_streams
000000018c000788 (__TEXT,__text) non-external _get_error_code_from_lib_error_code
000000018bffc9c0 (__TEXT,__text) non-external _hd_context_free
000000018bffaeec (__TEXT,__text) non-external _hd_context_shrink_table_size
000000018bffdb48 (__TEXT,__text) non-external _hd_get_table_entry
000000018bffbe00 (__TEXT,__text) non-external _hd_inflate_commit_indname
000000018bffbec0 (__TEXT,__text) non-external _hd_inflate_commit_newname
000000018bffbd1c (__TEXT,__text) non-external _hd_inflate_read_huff
000000018bffbc08 (__TEXT,__text) non-external _hd_inflate_read_len
000000018bffca50 (__TEXT,__text) non-external _hd_ringbuf_get
000000018c002e58 (__TEXT,__const) non-external _huff_decode_table
000000018c002650 (__TEXT,__const) non-external _huff_sym_table
000000018bff85a8 (__TEXT,__text) non-external _insert
000000018bffd0ac (__TEXT,__text) non-external _insert_link_dep
000000018bff8f0c (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc (from libSystem)
00000001db99a738 (__AUTH,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
000000018bff5eac (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
000000018bff574c (__TEXT,__text) non-external _nghttp2_bufs_add
000000018bffa5c8 (__TEXT,__text) non-external _nghttp2_bufs_addb
000000018bffcafc (__TEXT,__text) non-external _nghttp2_bufs_free
000000018c002498 (__TEXT,__text) external _nghttp2_check_authority
000000018bff4984 (__TEXT,__text) external _nghttp2_check_header_name
000000018bff49d0 (__TEXT,__text) external _nghttp2_check_header_value
000000018c0023b0 (__TEXT,__text) external _nghttp2_check_header_value_rfc9113
000000018c002430 (__TEXT,__text) external _nghttp2_check_method
000000018c002464 (__TEXT,__text) external _nghttp2_check_path
000000018bffa7d4 (__TEXT,__text) non-external _nghttp2_frame_add_pad
000000018bffd394 (__TEXT,__text) non-external _nghttp2_frame_pack_altsvc
000000018bff877c (__TEXT,__text) non-external _nghttp2_frame_pack_headers
000000018bffd2b4 (__TEXT,__text) non-external _nghttp2_frame_pack_push_promise
000000018bff874c (__TEXT,__text) external _nghttp2_hd_deflate_bound
000000018bffaea4 (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
000000018bffd97c (__TEXT,__text) external _nghttp2_hd_deflate_del
000000018bffdba4 (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
000000018bffdbac (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
000000018bffdb38 (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
000000018bffdb44 (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
000000018bffd64c (__TEXT,__text) external _nghttp2_hd_deflate_hd
000000018bff88a0 (__TEXT,__text) non-external _nghttp2_hd_deflate_hd_bufs
000000018bffd754 (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec
000000018bff5244 (__TEXT,__text) non-external _nghttp2_hd_deflate_init2
000000018bffd8ec (__TEXT,__text) external _nghttp2_hd_deflate_new
000000018bffd8f4 (__TEXT,__text) external _nghttp2_hd_deflate_new2
000000018bffd544 (__TEXT,__text) external _nghttp2_hd_inflate_change_table_size
000000018bffdaf4 (__TEXT,__text) external _nghttp2_hd_inflate_del
000000018bffbf68 (__TEXT,__text) external _nghttp2_hd_inflate_end_headers
000000018bffcaa4 (__TEXT,__text) non-external _nghttp2_hd_inflate_free
000000018bffdbc4 (__TEXT,__text) external _nghttp2_hd_inflate_get_dynamic_table_size
000000018bffdbcc (__TEXT,__text) external _nghttp2_hd_inflate_get_max_dynamic_table_size
000000018bffdbb4 (__TEXT,__text) external _nghttp2_hd_inflate_get_num_table_entries
000000018bffdbc0 (__TEXT,__text) external _nghttp2_hd_inflate_get_table_entry
000000018bffd9c0 (__TEXT,__text) external _nghttp2_hd_inflate_hd
000000018bffd9c4 (__TEXT,__text) external _nghttp2_hd_inflate_hd2
000000018bffb584 (__TEXT,__text) non-external _nghttp2_hd_inflate_hd_nv
000000018bff52e0 (__TEXT,__text) non-external _nghttp2_hd_inflate_init
000000018bffda6c (__TEXT,__text) external _nghttp2_hd_inflate_new
000000018bffda74 (__TEXT,__text) external _nghttp2_hd_inflate_new2
000000018bffa1c4 (__TEXT,__text) non-external _nghttp2_hd_table_get
000000018c0024cc (__TEXT,__text) external _nghttp2_http2_strerror
000000018bffe81c (__TEXT,__text) non-external _nghttp2_http_on_request_headers
000000018bffbfa8 (__TEXT,__text) non-external _nghttp2_http_on_response_headers
000000018bffdff4 (__TEXT,__text) non-external _nghttp2_http_parse_priority
000000018bff8650 (__TEXT,__text) non-external _nghttp2_http_record_request_method
000000018c002024 (__TEXT,__text) non-external _nghttp2_increase_local_window_size
000000018bfff2b0 (__TEXT,__text) external _nghttp2_is_fatal
000000018bff5b40 (__TEXT,__text) non-external _nghttp2_iv_check
000000018bff5e20 (__TEXT,__text) non-external _nghttp2_map_find
000000018bff6250 (__TEXT,__text) non-external _nghttp2_nv_array_copy
000000018bffd4b4 (__TEXT,__text) external _nghttp2_nv_compare_name
000000018bff157c (__TEXT,__text) external _nghttp2_option_del
000000018bff1488 (__TEXT,__text) external _nghttp2_option_new
000000018bffce14 (__TEXT,__text) external _nghttp2_option_set_builtin_recv_extension_type
000000018bffce84 (__TEXT,__text) external _nghttp2_option_set_max_deflate_dynamic_table_size
000000018bffce98 (__TEXT,__text) external _nghttp2_option_set_max_outbound_ack
000000018bffcdc8 (__TEXT,__text) external _nghttp2_option_set_max_reserved_remote_streams
000000018bffce70 (__TEXT,__text) external _nghttp2_option_set_max_send_header_block_length
000000018bffceac (__TEXT,__text) external _nghttp2_option_set_max_settings
000000018bffce5c (__TEXT,__text) external _nghttp2_option_set_no_auto_ping_ack
000000018bff14c4 (__TEXT,__text) external _nghttp2_option_set_no_auto_window_update
000000018bff1510 (__TEXT,__text) external _nghttp2_option_set_no_closed_streams
000000018bff14e8 (__TEXT,__text) external _nghttp2_option_set_no_http_messaging
000000018bff14fc (__TEXT,__text) external _nghttp2_option_set_no_http_semantics
000000018bffcdb4 (__TEXT,__text) external _nghttp2_option_set_no_recv_client_magic
000000018bffced4 (__TEXT,__text) external _nghttp2_option_set_no_rfc9113_leading_and_trailing_ws_validation
000000018bff14d8 (__TEXT,__text) external _nghttp2_option_set_peer_max_concurrent_streams
000000018bffcec0 (__TEXT,__text) external _nghttp2_option_set_server_fallback_rfc7540_priorities
000000018bffcddc (__TEXT,__text) external _nghttp2_option_set_user_recv_extension_type
000000018bff5530 (__TEXT,__text) non-external _nghttp2_outbound_item_free
000000018bfff14c (__TEXT,__text) external _nghttp2_pack_settings_payload
000000018bffdbd4 (__TEXT,__text) non-external _nghttp2_pq_push
000000018bffdd9c (__TEXT,__text) non-external _nghttp2_pq_remove
000000018bffdeb0 (__TEXT,__text) external _nghttp2_priority_spec_check_default
000000018bff623c (__TEXT,__text) external _nghttp2_priority_spec_default_init
000000018bff4cbc (__TEXT,__text) external _nghttp2_priority_spec_init
000000018bff4438 (__TEXT,__text) external _nghttp2_rcbuf_decref
000000018bffe8d0 (__TEXT,__text) external _nghttp2_rcbuf_get_buf
000000018bffa25c (__TEXT,__text) external _nghttp2_rcbuf_incref
000000018bffe8dc (__TEXT,__text) external _nghttp2_rcbuf_is_static
000000018bffa274 (__TEXT,__text) non-external _nghttp2_rcbuf_new
000000018bffcc44 (__TEXT,__text) external _nghttp2_select_next_protocol
000000018bffc724 (__TEXT,__text) non-external _nghttp2_session_add_goaway
000000018bff5bd4 (__TEXT,__text) non-external _nghttp2_session_add_item
000000018c000928 (__TEXT,__text) non-external _nghttp2_session_add_ping
000000018bfff9e8 (__TEXT,__text) non-external _nghttp2_session_add_rst_stream
000000018bff57dc (__TEXT,__text) non-external _nghttp2_session_add_settings
000000018bff5fa4 (__TEXT,__text) non-external _nghttp2_session_add_window_update
000000018bfffcb4 (__TEXT,__text) non-external _nghttp2_session_adjust_closed_stream
000000018bff7828 (__TEXT,__text) non-external _nghttp2_session_adjust_idle_stream
000000018bff1578 (__TEXT,__text) external _nghttp2_session_callbacks_del
000000018bff1400 (__TEXT,__text) external _nghttp2_session_callbacks_new
000000018bff143c (__TEXT,__text) external _nghttp2_session_callbacks_set_before_frame_send_callback
000000018bffcd84 (__TEXT,__text) external _nghttp2_session_callbacks_set_data_source_read_length_callback
000000018bffcdac (__TEXT,__text) external _nghttp2_session_callbacks_set_error_callback
000000018bff4620 (__TEXT,__text) external _nghttp2_session_callbacks_set_error_callback2
000000018bffcd8c (__TEXT,__text) external _nghttp2_session_callbacks_set_on_begin_frame_callback
000000018bff144c (__TEXT,__text) external _nghttp2_session_callbacks_set_on_begin_headers_callback
000000018bff145c (__TEXT,__text) external _nghttp2_session_callbacks_set_on_data_chunk_recv_callback
000000018bffcda4 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_extension_chunk_recv_callback
000000018bff4610 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_not_send_callback
000000018bff1454 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_recv_callback
000000018bff146c (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_send_callback
000000018bff1444 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_header_callback
000000018bffcd6c (__TEXT,__text) external _nghttp2_session_callbacks_set_on_header_callback2
000000018bff4608 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_frame_recv_callback
000000018bff4618 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_header_callback
000000018bffcd74 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_header_callback2
000000018bff1464 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_stream_close_callback
000000018bffcd94 (__TEXT,__text) external _nghttp2_session_callbacks_set_pack_extension_callback
000000018bff4600 (__TEXT,__text) external _nghttp2_session_callbacks_set_recv_callback
000000018bffcd7c (__TEXT,__text) external _nghttp2_session_callbacks_set_select_padding_callback
000000018bff1474 (__TEXT,__text) external _nghttp2_session_callbacks_set_send_callback
000000018bff147c (__TEXT,__text) external _nghttp2_session_callbacks_set_send_data_callback
000000018bffcd9c (__TEXT,__text) external _nghttp2_session_callbacks_set_unpack_extension_callback
000000018c001f68 (__TEXT,__text) external _nghttp2_session_change_extpri_stream_priority
000000018c001dac (__TEXT,__text) external _nghttp2_session_change_stream_priority
000000018bfffd6c (__TEXT,__text) external _nghttp2_session_check_request_allowed
000000018c001da4 (__TEXT,__text) external _nghttp2_session_check_server_session
000000018bfff3d0 (__TEXT,__text) external _nghttp2_session_client_new
000000018bff1524 (__TEXT,__text) external _nghttp2_session_client_new2
000000018bfff47c (__TEXT,__text) external _nghttp2_session_client_new3
000000018bffc15c (__TEXT,__text) non-external _nghttp2_session_close_stream
000000018c00169c (__TEXT,__text) external _nghttp2_session_consume
000000018bff434c (__TEXT,__text) external _nghttp2_session_consume_connection
000000018bff4570 (__TEXT,__text) external _nghttp2_session_consume_stream
000000018c001e58 (__TEXT,__text) external _nghttp2_session_create_idle_stream
000000018bff4af8 (__TEXT,__text) external _nghttp2_session_del
000000018bffc338 (__TEXT,__text) non-external _nghttp2_session_destroy_stream
000000018c001d8c (__TEXT,__text) external _nghttp2_session_find_stream
000000018c001858 (__TEXT,__text) external _nghttp2_session_get_effective_local_window_size
000000018c001848 (__TEXT,__text) external _nghttp2_session_get_effective_recv_data_length
000000018c001f58 (__TEXT,__text) external _nghttp2_session_get_hd_deflate_dynamic_table_size
000000018c001f50 (__TEXT,__text) external _nghttp2_session_get_hd_inflate_dynamic_table_size
000000018c001d84 (__TEXT,__text) external _nghttp2_session_get_last_proc_stream_id
000000018c001934 (__TEXT,__text) external _nghttp2_session_get_local_settings
000000018c001860 (__TEXT,__text) external _nghttp2_session_get_local_window_size
000000018bff4728 (__TEXT,__text) external _nghttp2_session_get_next_stream_id
000000018c001764 (__TEXT,__text) external _nghttp2_session_get_outbound_queue_size
000000018c001870 (__TEXT,__text) external _nghttp2_session_get_remote_settings
000000018bff17c4 (__TEXT,__text) external _nghttp2_session_get_remote_window_size
000000018c001d9c (__TEXT,__text) external _nghttp2_session_get_root_stream
000000018c0017c0 (__TEXT,__text) external _nghttp2_session_get_stream_effective_local_window_size
000000018c00177c (__TEXT,__text) external _nghttp2_session_get_stream_effective_recv_data_length
000000018c001d04 (__TEXT,__text) external _nghttp2_session_get_stream_local_close
000000018c0017fc (__TEXT,__text) external _nghttp2_session_get_stream_local_window_size
000000018c001d44 (__TEXT,__text) external _nghttp2_session_get_stream_remote_close
000000018bff1780 (__TEXT,__text) external _nghttp2_session_get_stream_remote_window_size
000000018bff4808 (__TEXT,__text) external _nghttp2_session_get_stream_user_data
000000018bff1874 (__TEXT,__text) external _nghttp2_session_mem_recv
000000018bfffdac (__TEXT,__text) external _nghttp2_session_mem_send
000000018bff6428 (__TEXT,__text) non-external _nghttp2_session_mem_send_internal
000000018bffc050 (__TEXT,__text) non-external _nghttp2_session_on_data_received
000000018bffa8c4 (__TEXT,__text) non-external _nghttp2_session_on_settings_received
000000018bff7f20 (__TEXT,__text) non-external _nghttp2_session_open_stream
000000018c00021c (__TEXT,__text) non-external _nghttp2_session_pack_data
000000018c0000d4 (__TEXT,__text) non-external _nghttp2_session_predicate_data_send
000000018bff487c (__TEXT,__text) external _nghttp2_session_recv
000000018bfff658 (__TEXT,__text) non-external _nghttp2_session_reprioritize_stream
000000018bff4c4c (__TEXT,__text) external _nghttp2_session_resume_data
000000018bff17cc (__TEXT,__text) external _nghttp2_session_send
000000018bfff4d0 (__TEXT,__text) external _nghttp2_session_server_new
000000018bfff578 (__TEXT,__text) external _nghttp2_session_server_new2
000000018bfff524 (__TEXT,__text) external _nghttp2_session_server_new3
000000018bff1588 (__TEXT,__text) external _nghttp2_session_set_local_window_size
000000018bff4730 (__TEXT,__text) external _nghttp2_session_set_next_stream_id
000000018bff4a04 (__TEXT,__text) external _nghttp2_session_set_stream_user_data
000000018c001f60 (__TEXT,__text) external _nghttp2_session_set_user_data
000000018bff4ae8 (__TEXT,__text) external _nghttp2_session_terminate_session
000000018bfff3c8 (__TEXT,__text) external _nghttp2_session_terminate_session2
000000018bfffe90 (__TEXT,__text) non-external _nghttp2_session_update_recv_connection_window_size
000000018bffff4c (__TEXT,__text) non-external _nghttp2_session_update_recv_stream_window_size
000000018c0019f8 (__TEXT,__text) external _nghttp2_session_upgrade
000000018c001c70 (__TEXT,__text) external _nghttp2_session_upgrade2
000000018c001a78 (__TEXT,__text) non-external _nghttp2_session_upgrade_internal
000000018bff4844 (__TEXT,__text) external _nghttp2_session_want_read
000000018bff1708 (__TEXT,__text) external _nghttp2_session_want_write
000000018bff1484 (__TEXT,__text) external _nghttp2_set_debug_vprintf_callback
000000018bffd100 (__TEXT,__text) non-external _nghttp2_stream_dep_add_subtree
000000018bffc4c8 (__TEXT,__text) non-external _nghttp2_stream_dep_remove
000000018bffd184 (__TEXT,__text) non-external _nghttp2_stream_dep_remove_subtree
000000018bffd294 (__TEXT,__text) external _nghttp2_stream_get_first_child
000000018bffd284 (__TEXT,__text) external _nghttp2_stream_get_next_sibling
000000018bffd27c (__TEXT,__text) external _nghttp2_stream_get_parent
000000018bffd28c (__TEXT,__text) external _nghttp2_stream_get_previous_sibling
000000018bffd220 (__TEXT,__text) external _nghttp2_stream_get_state
000000018bffd2ac (__TEXT,__text) external _nghttp2_stream_get_stream_id
000000018bffd2a4 (__TEXT,__text) external _nghttp2_stream_get_sum_dependency_weight
000000018bffd29c (__TEXT,__text) external _nghttp2_stream_get_weight
000000018c0020b8 (__TEXT,__text) external _nghttp2_strerror
000000018bffec1c (__TEXT,__text) external _nghttp2_submit_altsvc
000000018bff44ac (__TEXT,__text) external _nghttp2_submit_data
000000018bfff1e0 (__TEXT,__text) external _nghttp2_submit_extension
000000018bffea5c (__TEXT,__text) external _nghttp2_submit_goaway
000000018bff4394 (__TEXT,__text) external _nghttp2_submit_headers
000000018bffedb0 (__TEXT,__text) external _nghttp2_submit_origin
000000018bffe938 (__TEXT,__text) external _nghttp2_submit_ping
000000018bffe940 (__TEXT,__text) external _nghttp2_submit_priority
000000018bffefa4 (__TEXT,__text) external _nghttp2_submit_priority_update
000000018bffeabc (__TEXT,__text) external _nghttp2_submit_push_promise
000000018bff476c (__TEXT,__text) external _nghttp2_submit_request
000000018bfff0f8 (__TEXT,__text) external _nghttp2_submit_response
000000018bffea44 (__TEXT,__text) external _nghttp2_submit_rst_stream
000000018bff1580 (__TEXT,__text) external _nghttp2_submit_settings
000000018bffea84 (__TEXT,__text) external _nghttp2_submit_shutdown_notice
000000018bffe908 (__TEXT,__text) external _nghttp2_submit_trailer
000000018bff4628 (__TEXT,__text) external _nghttp2_submit_window_update
