00007ffb1d30c4bc (__TEXT,__text) non-external _Done_iODBC
00007ffb1d32a2b0 (__TEXT,__const) non-external _FunctionNumbers
00007ffb1d32928b (__TEXT,__text) non-external _GetPrivateProfileString
00007ffb1d30c39e (__TEXT,__text) non-external _Init_iODBC
00007ffb42bfde9c (__DATA,__common) non-external _ODBCSharedTraceFlag
00007ffb1d30aa2f (__TEXT,__text) external _SQLAllocConnect
00007ffb1d30a924 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007ffb1d30c329 (__TEXT,__text) external _SQLAllocEnv
00007ffb1d30c17b (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007ffb1d316a48 (__TEXT,__text) external _SQLAllocHandle
00007ffb1d316b3d (__TEXT,__text) non-external _SQLAllocHandleStd
00007ffb1d3167bc (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007ffb1d30f4dd (__TEXT,__text) external _SQLAllocStmt
00007ffb1d30ef51 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007ffb1d31464d (__TEXT,__text) external _SQLBindCol
00007ffb1d31cb58 (__TEXT,__text) external _SQLBindParam
00007ffb1d31391b (__TEXT,__text) external _SQLBindParameter
00007ffb1d307802 (__TEXT,__text) external _SQLBrowseConnect
00007ffb1d30796d (__TEXT,__text) external _SQLBrowseConnectA
00007ffb1d307ad8 (__TEXT,__text) external _SQLBrowseConnectW
00007ffb1d30718f (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007ffb1d31c633 (__TEXT,__text) external _SQLBulkOperations
00007ffb1d310404 (__TEXT,__text) external _SQLCancel
00007ffb1d31cb84 (__TEXT,__text) external _SQLCloseCursor
00007ffb1d31c004 (__TEXT,__text) external _SQLColAttribute
00007ffb1d31c1d7 (__TEXT,__text) external _SQLColAttributeA
00007ffb1d31c3aa (__TEXT,__text) external _SQLColAttributeW
00007ffb1d31b861 (__TEXT,__text) non-external _SQLColAttribute_Internal
00007ffb1d316243 (__TEXT,__text) external _SQLColAttributes
00007ffb1d316416 (__TEXT,__text) external _SQLColAttributesA
00007ffb1d3165e9 (__TEXT,__text) external _SQLColAttributesW
00007ffb1d315d96 (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffb1d2ffb2b (__TEXT,__text) external _SQLColumnPrivileges
00007ffb1d2ffd17 (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffb1d2fff03 (__TEXT,__text) external _SQLColumnPrivilegesW
00007ffb1d2ff874 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007ffb1d3003a6 (__TEXT,__text) external _SQLColumns
00007ffb1d300592 (__TEXT,__text) external _SQLColumnsA
00007ffb1d30077e (__TEXT,__text) external _SQLColumnsW
00007ffb1d3000ef (__TEXT,__text) non-external _SQLColumns_Internal
00007ffb1d30440f (__TEXT,__text) external _SQLConnect
00007ffb1d304db4 (__TEXT,__text) external _SQLConnectA
00007ffb1d304f40 (__TEXT,__text) external _SQLConnectW
00007ffb1d30459b (__TEXT,__text) non-external _SQLConnect_Internal
00007ffb1d329ff4 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffb1d31b6df (__TEXT,__text) external _SQLCopyDesc
00007ffb1d310eef (__TEXT,__text) external _SQLDataSources
00007ffb1d311015 (__TEXT,__text) external _SQLDataSourcesA
00007ffb1d31113b (__TEXT,__text) external _SQLDataSourcesW
00007ffb1d310ab0 (__TEXT,__text) non-external _SQLDataSources_Internal
00007ffb42bfde20 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffb42bfde40 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffb42bfde48 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffb1d3157c6 (__TEXT,__text) external _SQLDescribeCol
00007ffb1d3159b6 (__TEXT,__text) external _SQLDescribeColA
00007ffb1d315ba6 (__TEXT,__text) external _SQLDescribeColW
00007ffb1d315505 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffb1d30979e (__TEXT,__text) external _SQLDescribeParam
00007ffb1d307c43 (__TEXT,__text) external _SQLDisconnect
00007ffb1d306cf4 (__TEXT,__text) external _SQLDriverConnect
00007ffb1d306e7d (__TEXT,__text) external _SQLDriverConnectA
00007ffb1d307006 (__TEXT,__text) external _SQLDriverConnectW
