00000001dbaa5f04 (__TEXT,__text) external _CGLGetCurrentContext
00000001dbaa5ee4 (__TEXT,__text) external _CGLSetCurrentContext
00000001dba9c860 (__TEXT,__text) external _glAccum
00000001dbaa24b4 (__TEXT,__text) external _glActiveShaderProgram
00000001dbaa498c (__TEXT,__text) external _glActiveStencilFaceEXT
00000001dba9f2bc (__TEXT,__text) external _glActiveTexture
00000001dbaa37a8 (__TEXT,__text) external _glActiveTextureARB
00000001dba9c874 (__TEXT,__text) external _glAlphaFunc
00000001dba9c88c (__TEXT,__text) external _glAreTexturesResident
00000001dba9c8ac (__TEXT,__text) external _glArrayElement
00000001dbaa4258 (__TEXT,__text) external _glAttachObjectARB
00000001dbaa0568 (__TEXT,__text) external _glAttachShader
00000001dba9c8c4 (__TEXT,__text) external _glBegin
00000001dbaa10c8 (__TEXT,__text) external _glBeginConditionalRender
00000001dbaa5e24 (__TEXT,__text) external _glBeginConditionalRenderNV
00000001dba9fdc4 (__TEXT,__text) external _glBeginQuery
00000001dbaa3fc4 (__TEXT,__text) external _glBeginQueryARB
00000001dbaa22a8 (__TEXT,__text) external _glBeginQueryIndexed
00000001dbaa0fe4 (__TEXT,__text) external _glBeginTransformFeedback
00000001dbaa5130 (__TEXT,__text) external _glBeginTransformFeedbackEXT
00000001dbaa09f0 (__TEXT,__text) external _glBindAttribLocation
00000001dbaa4648 (__TEXT,__text) external _glBindAttribLocationARB
00000001dba9fe58 (__TEXT,__text) external _glBindBuffer
00000001dbaa4058 (__TEXT,__text) external _glBindBufferARB
00000001dbaa1038 (__TEXT,__text) external _glBindBufferBase
00000001dbaa5110 (__TEXT,__text) external _glBindBufferBaseEXT
00000001dbaa50ec (__TEXT,__text) external _glBindBufferOffsetEXT
00000001dbaa1010 (__TEXT,__text) external _glBindBufferRange
00000001dbaa50c4 (__TEXT,__text) external _glBindBufferRangeEXT
00000001dbaa13e0 (__TEXT,__text) external _glBindFragDataLocation
00000001dbaa5638 (__TEXT,__text) external _glBindFragDataLocationEXT
00000001dbaa1a7c (__TEXT,__text) external _glBindFragDataLocationIndexed
00000001dbaa0c88 (__TEXT,__text) external _glBindFramebuffer
00000001dbaa4e64 (__TEXT,__text) external _glBindFramebufferEXT
00000001dbaa2f1c (__TEXT,__text) external _glBindProgramARB
00000001dbaa24f0 (__TEXT,__text) external _glBindProgramPipeline
00000001dbaa0bd8 (__TEXT,__text) external _glBindRenderbuffer
00000001dbaa4db4 (__TEXT,__text) external _glBindRenderbufferEXT
00000001dbaa1b0c (__TEXT,__text) external _glBindSampler
00000001dba9c8dc (__TEXT,__text) external _glBindTexture
00000001dbaa21d8 (__TEXT,__text) external _glBindTransformFeedback
00000001dbaa0ec0 (__TEXT,__text) external _glBindVertexArray
00000001dbaa5b10 (__TEXT,__text) external _glBindVertexArrayAPPLE
00000001dba9c8f8 (__TEXT,__text) external _glBitmap
00000001dba9ecac (__TEXT,__text) external _glBlendColor
00000001dbaa4d54 (__TEXT,__text) external _glBlendColorEXT
00000001dba9ecc0 (__TEXT,__text) external _glBlendEquation
00000001dbaa4d68 (__TEXT,__text) external _glBlendEquationEXT
00000001dbaa0acc (__TEXT,__text) external _glBlendEquationSeparate
00000001dbaa5db0 (__TEXT,__text) external _glBlendEquationSeparateATI
00000001dbaa4d80 (__TEXT,__text) external _glBlendEquationSeparateEXT
00000001dbaa2338 (__TEXT,__text) external _glBlendEquationSeparatei
00000001dbaa4784 (__TEXT,__text) external _glBlendEquationSeparateiARB
00000001dbaa231c (__TEXT,__text) external _glBlendEquationi
00000001dbaa4768 (__TEXT,__text) external _glBlendEquationiARB
00000001dba9c918 (__TEXT,__text) external _glBlendFunc
00000001dba9fb7c (__TEXT,__text) external _glBlendFuncSeparate
00000001dbaa4ce4 (__TEXT,__text) external _glBlendFuncSeparateEXT
00000001dbaa2378 (__TEXT,__text) external _glBlendFuncSeparatei
00000001dbaa47c4 (__TEXT,__text) external _glBlendFuncSeparateiARB
00000001dbaa2358 (__TEXT,__text) external _glBlendFunci
00000001dbaa47a4 (__TEXT,__text) external _glBlendFunciARB
00000001dbaa0dd0 (__TEXT,__text) external _glBlitFramebuffer
00000001dbaa4fac (__TEXT,__text) external _glBlitFramebufferEXT
00000001dba9fec4 (__TEXT,__text) external _glBufferData
00000001dbaa40c4 (__TEXT,__text) external _glBufferDataARB
00000001dbaa5c68 (__TEXT,__text) external _glBufferParameteriAPPLE
00000001dba9fee8 (__TEXT,__text) external _glBufferSubData
00000001dbaa40e8 (__TEXT,__text) external _glBufferSubDataARB
00000001dba9c934 (__TEXT,__text) external _glCallList
00000001dba9c94c (__TEXT,__text) external _glCallLists
00000001dbaa0cdc (__TEXT,__text) external _glCheckFramebufferStatus
00000001dbaa4eb8 (__TEXT,__text) external _glCheckFramebufferStatusEXT
00000001dbaa10ac (__TEXT,__text) external _glClampColor
00000001dbaa46d0 (__TEXT,__text) external _glClampColorARB
00000001dba9c96c (__TEXT,__text) external _glClear
00000001dba9c984 (__TEXT,__text) external _glClearAccum
00000001dbaa1604 (__TEXT,__text) external _glClearBufferfi
00000001dbaa15e4 (__TEXT,__text) external _glClearBufferfv
00000001dbaa15a4 (__TEXT,__text) external _glClearBufferiv
00000001dbaa15c4 (__TEXT,__text) external _glClearBufferuiv
00000001dba9c998 (__TEXT,__text) external _glClearColor
00000001dbaa5674 (__TEXT,__text) external _glClearColorIiEXT
00000001dbaa5698 (__TEXT,__text) external _glClearColorIuiEXT
00000001dba9c9ac (__TEXT,__text) external _glClearDepth
00000001dbaa2414 (__TEXT,__text) external _glClearDepthf
00000001dba9c9c0 (__TEXT,__text) external _glClearIndex
00000001dba9c9d4 (__TEXT,__text) external _glClearStencil
00000001dba9f2a4 (__TEXT,__text) external _glClientActiveTexture
00000001dbaa3790 (__TEXT,__text) external _glClientActiveTextureARB
00000001dbaa18fc (__TEXT,__text) external _glClientWaitSync
00000001dba9c9ec (__TEXT,__text) external _glClipPlane
00000001dba9ca08 (__TEXT,__text) external _glColor3b
00000001dba9ca28 (__TEXT,__text) external _glColor3bv
00000001dba9ca40 (__TEXT,__text) external _glColor3d
00000001dba9ca54 (__TEXT,__text) external _glColor3dv
00000001dba9ca6c (__TEXT,__text) external _glColor3f
00000001dba9ca80 (__TEXT,__text) external _glColor3fv
00000001dba9ca98 (__TEXT,__text) external _glColor3i
00000001dba9cab8 (__TEXT,__text) external _glColor3iv
00000001dba9cad0 (__TEXT,__text) external _glColor3s
00000001dba9caf0 (__TEXT,__text) external _glColor3sv
00000001dba9cb08 (__TEXT,__text) external _glColor3ub
00000001dba9cb28 (__TEXT,__text) external _glColor3ubv
00000001dba9cb40 (__TEXT,__text) external _glColor3ui
00000001dba9cb60 (__TEXT,__text) external _glColor3uiv
00000001dba9cb78 (__TEXT,__text) external _glColor3us
00000001dba9cb98 (__TEXT,__text) external _glColor3usv
00000001dba9cbb0 (__TEXT,__text) external _glColor4b
00000001dba9cbd4 (__TEXT,__text) external _glColor4bv
00000001dba9cbec (__TEXT,__text) external _glColor4d
00000001dba9cc00 (__TEXT,__text) external _glColor4dv
00000001dba9cc18 (__TEXT,__text) external _glColor4f
00000001dba9cc2c (__TEXT,__text) external _glColor4fv
00000001dba9cc44 (__TEXT,__text) external _glColor4i
00000001dba9cc68 (__TEXT,__text) external _glColor4iv
00000001dba9cc80 (__TEXT,__text) external _glColor4s
00000001dba9cca4 (__TEXT,__text) external _glColor4sv
00000001dba9ccbc (__TEXT,__text) external _glColor4ub
00000001dba9cce0 (__TEXT,__text) external _glColor4ubv
00000001dba9ccf8 (__TEXT,__text) external _glColor4ui
00000001dba9cd1c (__TEXT,__text) external _glColor4uiv
00000001dba9cd34 (__TEXT,__text) external _glColor4us
00000001dba9cd58 (__TEXT,__text) external _glColor4usv
00000001dba9cd70 (__TEXT,__text) external _glColorMask
00000001dbaa573c (__TEXT,__text) external _glColorMaskIndexedEXT
00000001dbaa0f28 (__TEXT,__text) external _glColorMaski
00000001dba9cd94 (__TEXT,__text) external _glColorMaterial
00000001dba9cdb0 (__TEXT,__text) external _glColorPointer
00000001dba9eefc (__TEXT,__text) external _glColorSubTable
00000001dbaa49e4 (__TEXT,__text) external _glColorSubTableEXT
00000001dba9ee04 (__TEXT,__text) external _glColorTable
