00007ff81b64d805 (__TEXT,__text) non-external +[CalAlarm alarm]
00007ff81b65304c (__TEXT,__text) non-external +[CalCalendar calendar]
00007ff81b658153 (__TEXT,__text) non-external +[CalCalendarItem sortedAlarms:]
00007ff81b652c39 (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportEventsErrorWithCalendarName:]
00007ff81b652e2d (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportTasksErrorWithCalendarName:]
00007ff81b652a39 (__TEXT,__text) non-external +[CalCalendarStore _calendarNotEditableErrorWithCalendarName:isEvent:]
00007ff81b6527c6 (__TEXT,__text) non-external +[CalCalendarStore _calendarNotFoundWithCalendarName:isEvent:]
00007ff81b651ddd (__TEXT,__text) non-external +[CalCalendarStore _dateFromPotentialNSCalendarDate:]
00007ff81b64f210 (__TEXT,__text) non-external +[CalCalendarStore allocWithZone:]
00007ff81b64ce20 (__TEXT,__text) non-external +[CalCalendarStore defaultCalendarStore]
00007ff81b65207f (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:UID:calendars:]
00007ff81b651e50 (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:calendars:]
00007ff81b64f05c (__TEXT,__text) non-external +[CalCalendarStore requestAccessForEntityType:eventStore:]
00007ff81b64ef7b (__TEXT,__text) non-external +[CalCalendarStore setDefaultCalendarStore:]
00007ff81b652308 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithCalendars:]
00007ff81b652423 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithTasksCompletedSince:calendars:]
00007ff81b652565 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasks:]
00007ff81b652684 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasksDueBefore:calendars:]
00007ff81b651c32 (__TEXT,__text) non-external +[CalCalendarStore toEKCalendarsFromCalCalendars:]
00007ff81b65414e (__TEXT,__text) non-external +[CalEvent event]
00007ff81b65494e (__TEXT,__text) non-external +[CalEvent sortedAttendees:]
00007ff81b656b93 (__TEXT,__text) non-external +[CalNthWeekDay nthWeekDayWithDayOfTheWeek:weekNumber:]
00007ff81b656c48 (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithEndDate:]
00007ff81b656c95 (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithOccurrenceCount:]
