00000001830079e8 (__DATA,__data) non-external _C
0000000183014370 (__DATA,__bss) non-external _EMSG
0000000183014371 (__DATA,__bss) non-external _EMSG
00000001830096c8 (__DATA,__bss) non-external _NXArgc_pointer
00000001830096c0 (__DATA,__bss) non-external _NXArgv_pointer
0000000180e77f4c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180eb5a9c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180e8ec3c (__TEXT,__text) non-external (was a private external) __BIG5_init
0000000180e8ec8c (__TEXT,__text) non-external __BIG5_mbrtowc
0000000180e8edb0 (__TEXT,__text) non-external __BIG5_mbsinit
0000000180e8ed58 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
0000000180fe7928 (__DATA_CONST,__const) non-external __C_messages_locale
0000000180fe7948 (__DATA_CONST,__const) non-external __C_monetary_locale
0000000180fe79f0 (__DATA_CONST,__const) non-external __C_numeric_locale
0000000180fe7c00 (__DATA_CONST,__const) non-external __C_time_locale
0000000183008268 (__DATA,__data) external __CurrentRuneLocale
00000001830088b8 (__DATA,__constrw) external __DefaultRuneLocale
000000018302daf8 (__AUTH,__constrw) non-external (was a private external) __DefaultRuneXLocale
0000000180e9132c (__TEXT,__text) non-external (was a private external) __EUC_CN_init
0000000180e913b0 (__TEXT,__text) non-external __EUC_CN_mbrtowc
0000000180e913f8 (__TEXT,__text) non-external __EUC_CN_mbsnrtowcs
0000000180e913e4 (__TEXT,__text) non-external __EUC_CN_wcrtomb
0000000180e913fc (__TEXT,__text) non-external __EUC_CN_wcsnrtombs
0000000180e914f0 (__TEXT,__text) non-external (was a private external) __EUC_JP_init
0000000180e91574 (__TEXT,__text) non-external __EUC_JP_mbrtowc
0000000180e915bc (__TEXT,__text) non-external __EUC_JP_mbsnrtowcs
0000000180e915a8 (__TEXT,__text) non-external __EUC_JP_wcrtomb
0000000180e915c0 (__TEXT,__text) non-external __EUC_JP_wcsnrtombs
0000000180e9141c (__TEXT,__text) non-external (was a private external) __EUC_KR_init
0000000180e914a0 (__TEXT,__text) non-external __EUC_KR_mbrtowc
0000000180e914e8 (__TEXT,__text) non-external __EUC_KR_mbsnrtowcs
0000000180e914d4 (__TEXT,__text) non-external __EUC_KR_wcrtomb
0000000180e914ec (__TEXT,__text) non-external __EUC_KR_wcsnrtombs
0000000180e91648 (__TEXT,__text) non-external (was a private external) __EUC_TW_init
0000000180e916cc (__TEXT,__text) non-external __EUC_TW_mbrtowc
0000000180e91714 (__TEXT,__text) non-external __EUC_TW_mbsnrtowcs
0000000180e91700 (__TEXT,__text) non-external __EUC_TW_wcrtomb
0000000180e91718 (__TEXT,__text) non-external __EUC_TW_wcsnrtombs
0000000180e915c4 (__TEXT,__text) non-external (was a private external) __EUC_init
0000000180e9171c (__TEXT,__text) non-external __EUC_mbrtowc_impl
0000000180e91400 (__TEXT,__text) non-external __EUC_mbsinit
0000000180e91858 (__TEXT,__text) non-external __EUC_wcrtomb_impl
0000000180eb630c (__TEXT,__text) external __Exit
0000000180e91a50 (__TEXT,__text) non-external (was a private external) __GB18030_init
0000000180e91aa0 (__TEXT,__text) non-external __GB18030_mbrtowc
0000000180e91d14 (__TEXT,__text) non-external __GB18030_mbsinit
0000000180e91c0c (__TEXT,__text) non-external __GB18030_wcrtomb
0000000180e91d30 (__TEXT,__text) non-external (was a private external) __GB2312_init
0000000180e91d80 (__TEXT,__text) non-external __GB2312_mbrtowc
0000000180e91ef0 (__TEXT,__text) non-external __GB2312_mbsinit
0000000180e91e98 (__TEXT,__text) non-external __GB2312_wcrtomb
0000000180e91f0c (__TEXT,__text) non-external (was a private external) __GBK_init
0000000180e91f5c (__TEXT,__text) non-external __GBK_mbrtowc
0000000180e92080 (__TEXT,__text) non-external __GBK_mbsinit
0000000180e92028 (__TEXT,__text) non-external __GBK_wcrtomb
0000000180e935b8 (__TEXT,__text) non-external (was a private external) __MSKanji_init
0000000180e93608 (__TEXT,__text) non-external __MSKanji_mbrtowc
0000000180e93808 (__TEXT,__text) non-external __MSKanji_mbsinit
0000000180e936e0 (__TEXT,__text) non-external __MSKanji_wcrtomb
0000000180e773b0 (__TEXT,__text) external __NSGetArgc
0000000180e773a4 (__TEXT,__text) external __NSGetArgv
0000000180e773bc (__TEXT,__text) external __NSGetEnviron
0000000180e773d4 (__TEXT,__text) external __NSGetMachExecuteHeader
0000000180e773c8 (__TEXT,__text) external __NSGetProgname
0000000183014468 (__DATA,__common) external __PathLocale
0000000180ebf8bc (__TEXT,__text) external __Read_RuneMagi
0000000180eb5ac4 (__TEXT,__text) non-external (was a private external) __UTF2_init
0000000180eb5b3c (__TEXT,__text) non-external __UTF2_mbrtowc
0000000180eb5d34 (__TEXT,__text) non-external __UTF2_mbsinit
