0000000182fa1300 (__TEXT,__text) external _CreateLSTMBreakEngine
0000000182fa12c4 (__TEXT,__text) external _CreateLSTMData
0000000182fa1170 (__TEXT,__text) external _CreateLSTMDataForScript
0000000182fa14b4 (__TEXT,__text) external _DeleteLSTMData
0000000182fa1500 (__TEXT,__text) external _LSTMDataName
0000000182f802d4 (__TEXT,__text) external _T_CString_int64ToString
0000000182f80204 (__TEXT,__text) external _T_CString_integerToString
0000000182f803a8 (__TEXT,__text) external _T_CString_stringToInteger
0000000182f801ac (__TEXT,__text) external _T_CString_toLowerCase
0000000182f801d8 (__TEXT,__text) external _T_CString_toUpperCase
0000000182fecb28 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
0000000182fec884 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
0000000182fec754 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
0000000182fec9cc (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
0000000182fed0a0 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
0000000182fed048 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
0000000182fec880 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
0000000182fed06c (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
                 (undefined) external __DefaultRuneLocale (from libSystem)
000000018303a71c (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
00000001831ad87c (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
0000000182f77660 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
0000000182f7757c (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
0000000182f77718 (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
0000000182f77710 (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
0000000182f77578 (__TEXT,__text) external __ZN3icu10AppendableD0Ev
0000000182f77574 (__TEXT,__text) external __ZN3icu10AppendableD1Ev
0000000182f77570 (__TEXT,__text) external __ZN3icu10AppendableD2Ev
0000000183065eb0 (__TEXT,__text) external __ZN3icu10CECalendar6ceToJDEiiii
0000000183065ff0 (__TEXT,__text) external __ZN3icu10CECalendar6jdToCEEiiRiS1_S1_
0000000183065d5c (__TEXT,__text) external __ZN3icu10CECalendarC2ERKNS_6LocaleER10UErrorCode
0000000183065dd8 (__TEXT,__text) external __ZN3icu10CECalendarC2ERKS0_
0000000183065e14 (__TEXT,__text) external __ZN3icu10CECalendarD0Ev
0000000183065e10 (__TEXT,__text) external __ZN3icu10CECalendarD1Ev
0000000183065e0c (__TEXT,__text) external __ZN3icu10CECalendarD2Ev
0000000183065e18 (__TEXT,__text) external __ZN3icu10CECalendaraSERKS0_
0000000182f7fa10 (__TEXT,__text) external __ZN3icu10CharString12appendNumberEiR10UErrorCode
0000000182f7fca4 (__TEXT,__text) external __ZN3icu10CharString14appendPathPartENS_11StringPieceER10UErrorCode
0000000182f7f5c4 (__TEXT,__text) external __ZN3icu10CharString14ensureCapacityEiiR10UErrorCode
0000000182f7fb10 (__TEXT,__text) external __ZN3icu10CharString15getAppendBufferEiiRiR10UErrorCode
0000000182f7fbf4 (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsEPKDsiR10UErrorCode
0000000182f7fba8 (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsERKNS_13UnicodeStringER10UErrorCode
0000000182f7fd34 (__TEXT,__text) external __ZN3icu10CharString27ensureEndsWithFileSeparatorER10UErrorCode
0000000182f7f864 (__TEXT,__text) external __ZN3icu10CharString6appendEPKciR10UErrorCode
0000000182f7f804 (__TEXT,__text) external __ZN3icu10CharString6appendEcR10UErrorCode
0000000182f7f558 (__TEXT,__text) external __ZN3icu10CharString8copyFromERKS0_R10UErrorCode
0000000182f7f7e4 (__TEXT,__text) external __ZN3icu10CharString8truncateEi
0000000182f7f3a8 (__TEXT,__text) external __ZN3icu10CharStringC1EOS0_
0000000182f7f328 (__TEXT,__text) external __ZN3icu10CharStringC2EOS0_
0000000182f7f3ac (__TEXT,__text) external __ZN3icu10CharStringaSEOS0_
000000018308e074 (__TEXT,__text) external __ZN3icu10DateFormat10setContextE15UDisplayContextR10UErrorCode
000000018308defc (__TEXT,__text) external __ZN3icu10DateFormat10setLenientEa
000000018308dcac (__TEXT,__text) external __ZN3icu10DateFormat11setCalendarERKNS_8CalendarE
000000018308dedc (__TEXT,__text) external __ZN3icu10DateFormat11setTimeZoneERKNS_8TimeZoneE
000000018308dc58 (__TEXT,__text) external __ZN3icu10DateFormat13adoptCalendarEPNS_8CalendarE
000000018308decc (__TEXT,__text) external __ZN3icu10DateFormat13adoptTimeZoneEPNS_8TimeZoneE
000000018308d750 (__TEXT,__text) external __ZN3icu10DateFormat14createInstanceEv
000000018308d784 (__TEXT,__text) external __ZN3icu10DateFormat14getBestPatternERKNS_6LocaleERKNS_13UnicodeStringER10UErrorCode
000000018308de34 (__TEXT,__text) external __ZN3icu10DateFormat15setNumberFormatERKNS_12NumberFormatE
000000018308dd7c (__TEXT,__text) external __ZN3icu10DateFormat17adoptNumberFormatEPNS_12NumberFormatE
000000018308d5d8 (__TEXT,__text) external __ZN3icu10DateFormat18createDateInstanceENS0_6EStyleERKNS_6LocaleE
000000018308d5b4 (__TEXT,__text) external __ZN3icu10DateFormat18createTimeInstanceENS0_6EStyleERKNS_6LocaleE
000000018308e054 (__TEXT,__text) external __ZN3icu10DateFormat18setCalendarLenientEa
000000018308dc54 (__TEXT,__text) external __ZN3icu10DateFormat19getAvailableLocalesERi
000000018308e0d8 (__TEXT,__text) external __ZN3icu10DateFormat19setBooleanAttributeE27UDateFormatBooleanAttributeaR10UErrorCode
000000018308d5c0 (__TEXT,__text) external __ZN3icu10DateFormat22createDateTimeInstanceENS0_6EStyleES1_RKNS_6LocaleE
000000018308d970 (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonEPNS_8CalendarERKNS_13UnicodeStringERKNS_6LocaleER10UErrorCode
000000018308dc10 (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonERKNS_13UnicodeStringER10UErrorCode
000000018308db04 (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonERKNS_13UnicodeStringERKNS_6LocaleER10UErrorCode
000000018308d5f0 (__TEXT,__text) external __ZN3icu10DateFormat6createENS0_6EStyleES1_RKNS_6LocaleE
000000018308cd68 (__TEXT,__text) external __ZN3icu10DateFormatC2ERKS0_
000000018308cd28 (__TEXT,__text) external __ZN3icu10DateFormatC2Ev
000000018308cf64 (__TEXT,__text) external __ZN3icu10DateFormatD0Ev
000000018308cf60 (__TEXT,__text) external __ZN3icu10DateFormatD1Ev
000000018308ceb8 (__TEXT,__text) external __ZN3icu10DateFormatD2Ev
000000018308cdc8 (__TEXT,__text) external __ZN3icu10DateFormataSERKS0_
00000001830c8884 (__TEXT,__text) external __ZN3icu10GenderInfo11getInstanceERKNS_6LocaleER10UErrorCode
00000001830c89f4 (__TEXT,__text) external __ZN3icu10GenderInfo12loadInstanceERKNS_6LocaleER10UErrorCode
00000001830c8d34 (__TEXT,__text) external __ZN3icu10GenderInfo18getNeutralInstanceEv
00000001830c8d50 (__TEXT,__text) external __ZN3icu10GenderInfo21getMaleTaintsInstanceEv
00000001830c8d40 (__TEXT,__text) external __ZN3icu10GenderInfo23getMixedNeutralInstanceEv
00000001830c8814 (__TEXT,__text) external __ZN3icu10GenderInfoC1Ev
00000001830c8838 (__TEXT,__text) external __ZN3icu10GenderInfoC2Ev
