000000027e121350 (__TEXT,__text) external _AAAFSCGetMetadata
000000027e121718 (__TEXT,__text) external _AAAFSCSetMetadata
000000027e1207a4 (__TEXT,__text) external _AAAFSCStreamOpen
000000027e120e80 (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
000000027e120fbc (__TEXT,__text) external _AAAFSCStreamOpenWithState
000000027e0aeebc (__TEXT,__text) external _AAArchiveStreamCancel
000000027e0aee68 (__TEXT,__text) external _AAArchiveStreamClose
000000027e0c39e8 (__TEXT,__text) external _AAArchiveStreamProcess
000000027e0aee18 (__TEXT,__text) external _AAArchiveStreamReadBlob
000000027e0aee00 (__TEXT,__text) external _AAArchiveStreamReadHeader
000000027e0aee4c (__TEXT,__text) external _AAArchiveStreamWriteBlob
000000027e0aee34 (__TEXT,__text) external _AAArchiveStreamWriteHeader
000000027e0b0050 (__TEXT,__text) external _AAArchiveStreamWritePathList
000000027e0b374c (__TEXT,__text) external _AAAssetBuilderAddFilter
000000027e0b366c (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
000000027e0b35b8 (__TEXT,__text) external _AAAssetBuilderCreate
000000027e0b3660 (__TEXT,__text) external _AAAssetBuilderDestroy
000000027e115f54 (__TEXT,__text) external _AAAssetBuilderGenerate
000000027e0b381c (__TEXT,__text) external _AAAssetBuilderGetParameter
000000027e0b3754 (__TEXT,__text) external _AAAssetBuilderSetParameter
000000027e0b3e3c (__TEXT,__text) external _AAAssetExtractorCreate
000000027e0b4354 (__TEXT,__text) external _AAAssetExtractorDestroy
000000027e0b4d3c (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
000000027e0b4cb0 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
000000027e0b4814 (__TEXT,__text) external _AAAssetExtractorWrite
000000027e128b34 (__TEXT,__text) external _AAAsyncByteStreamCancel
000000027e128b48 (__TEXT,__text) external _AAAsyncByteStreamClose
000000027e1285b4 (__TEXT,__text) external _AAAsyncByteStreamGetRange
000000027e1289b4 (__TEXT,__text) external _AAAsyncByteStreamProcess
000000027e0e3150 (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
000000027e0c49b8 (__TEXT,__text) external _AAByteRangeAdd
000000027e0c48ac (__TEXT,__text) external _AAByteRangeClone
000000027e0c47e4 (__TEXT,__text) external _AAByteRangeCreate
000000027e0c4868 (__TEXT,__text) external _AAByteRangeDestroy
000000027e0c4bac (__TEXT,__text) external _AAByteRangeFirst
000000027e0c4cf8 (__TEXT,__text) external _AAByteRangeNext
000000027e0c4b44 (__TEXT,__text) external _AAByteRangeOffsetAtSize
000000027e0c4ac8 (__TEXT,__text) external _AAByteRangeSizeAtOffset
000000027e0c4a44 (__TEXT,__text) external _AAByteRangeSub
000000027e11f68c (__TEXT,__text) external _AAByteStreamCancel
000000027e11f6a0 (__TEXT,__text) external _AAByteStreamClose
000000027e11f6f4 (__TEXT,__text) external _AAByteStreamCloseWithState
