00007ffb083b65c3 (__TEXT,__text) external _CGLGetCurrentContext
00007ffb083b65a6 (__TEXT,__text) external _CGLSetCurrentContext
00007ffb083ac450 (__TEXT,__text) external _glAccum
00007ffb083b279a (__TEXT,__text) external _glActiveShaderProgram
00007ffb083b4eac (__TEXT,__text) external _glActiveStencilFaceEXT
00007ffb083af29f (__TEXT,__text) external _glActiveTexture
00007ffb083b3baf (__TEXT,__text) external _glActiveTextureARB
00007ffb083ac469 (__TEXT,__text) external _glAlphaFunc
00007ffb083ac482 (__TEXT,__text) external _glAreTexturesResident
00007ffb083ac4a1 (__TEXT,__text) external _glArrayElement
00007ffb083b4702 (__TEXT,__text) external _glAttachObjectARB
00007ffb083b0693 (__TEXT,__text) external _glAttachShader
00007ffb083ac4ba (__TEXT,__text) external _glBegin
00007ffb083b127c (__TEXT,__text) external _glBeginConditionalRender
00007ffb083b64b7 (__TEXT,__text) external _glBeginConditionalRenderNV
00007ffb083afe60 (__TEXT,__text) external _glBeginQuery
00007ffb083b442b (__TEXT,__text) external _glBeginQueryARB
00007ffb083b256f (__TEXT,__text) external _glBeginQueryIndexed
00007ffb083b118e (__TEXT,__text) external _glBeginTransformFeedback
00007ffb083b56f2 (__TEXT,__text) external _glBeginTransformFeedbackEXT
00007ffb083b0b5c (__TEXT,__text) external _glBindAttribLocation
00007ffb083b4b3e (__TEXT,__text) external _glBindAttribLocationARB
00007ffb083aff00 (__TEXT,__text) external _glBindBuffer
00007ffb083b44cb (__TEXT,__text) external _glBindBufferARB
00007ffb083b11e8 (__TEXT,__text) external _glBindBufferBase
00007ffb083b56d1 (__TEXT,__text) external _glBindBufferBaseEXT
00007ffb083b56ad (__TEXT,__text) external _glBindBufferOffsetEXT
00007ffb083b11c1 (__TEXT,__text) external _glBindBufferRange
00007ffb083b5686 (__TEXT,__text) external _glBindBufferRangeEXT
00007ffb083b15c6 (__TEXT,__text) external _glBindFragDataLocation
00007ffb083b5c42 (__TEXT,__text) external _glBindFragDataLocationEXT
00007ffb083b1cc9 (__TEXT,__text) external _glBindFragDataLocationIndexed
00007ffb083b0e0c (__TEXT,__text) external _glBindFramebuffer
00007ffb083b541c (__TEXT,__text) external _glBindFramebufferEXT
00007ffb083b325d (__TEXT,__text) external _glBindProgramARB
00007ffb083b27da (__TEXT,__text) external _glBindProgramPipeline
00007ffb083b0d4e (__TEXT,__text) external _glBindRenderbuffer
00007ffb083b535e (__TEXT,__text) external _glBindRenderbufferEXT
00007ffb083b1d66 (__TEXT,__text) external _glBindSampler
00007ffb083ac4d3 (__TEXT,__text) external _glBindTexture
00007ffb083b248a (__TEXT,__text) external _glBindTransformFeedback
