                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff812cc8a86 (__TEXT,__text) external ___absvdi2
00007ff812cc8aaf (__TEXT,__text) external ___absvsi2
00007ff812cc8ad4 (__TEXT,__text) external ___absvti2
00007ff812cc8b14 (__TEXT,__text) external ___addvdi3
00007ff812cc8b5a (__TEXT,__text) external ___addvsi3
00007ff812cc8b9c (__TEXT,__text) external ___addvti3
00007ff812cc8bf9 (__TEXT,__text) external ___ashldi3
00007ff812cc8c25 (__TEXT,__text) external ___ashlti3
00007ff812cc8c4d (__TEXT,__text) external ___ashrdi3
00007ff812cc8c7e (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff812cc8f14 (__TEXT,__text) external ___atomic_compare_exchange
00007ff812cc9454 (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff812cc94a0 (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff812cc94ec (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff812cc9538 (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff812cc9154 (__TEXT,__text) external ___atomic_exchange
00007ff812cc9386 (__TEXT,__text) external ___atomic_exchange_1
00007ff812cc93bc (__TEXT,__text) external ___atomic_exchange_2
00007ff812cc93f0 (__TEXT,__text) external ___atomic_exchange_4
00007ff812cc9420 (__TEXT,__text) external ___atomic_exchange_8
00007ff812cc9584 (__TEXT,__text) external ___atomic_fetch_add_1
00007ff812cc95bc (__TEXT,__text) external ___atomic_fetch_add_2
00007ff812cc95f0 (__TEXT,__text) external ___atomic_fetch_add_4
00007ff812cc9624 (__TEXT,__text) external ___atomic_fetch_add_8
00007ff812cc9734 (__TEXT,__text) external ___atomic_fetch_and_1
00007ff812cc97ac (__TEXT,__text) external ___atomic_fetch_and_2
00007ff812cc982c (__TEXT,__text) external ___atomic_fetch_and_4
00007ff812cc989c (__TEXT,__text) external ___atomic_fetch_and_8
00007ff812cc9920 (__TEXT,__text) external ___atomic_fetch_or_1
00007ff812cc9998 (__TEXT,__text) external ___atomic_fetch_or_2
00007ff812cc9a18 (__TEXT,__text) external ___atomic_fetch_or_4
00007ff812cc9a88 (__TEXT,__text) external ___atomic_fetch_or_8
00007ff812cc9658 (__TEXT,__text) external ___atomic_fetch_sub_1
00007ff812cc9690 (__TEXT,__text) external ___atomic_fetch_sub_2
00007ff812cc96c8 (__TEXT,__text) external ___atomic_fetch_sub_4
00007ff812cc96fc (__TEXT,__text) external ___atomic_fetch_sub_8
00007ff812cc9b0c (__TEXT,__text) external ___atomic_fetch_xor_1
00007ff812cc9b84 (__TEXT,__text) external ___atomic_fetch_xor_2
00007ff812cc9c04 (__TEXT,__text) external ___atomic_fetch_xor_4
00007ff812cc9c74 (__TEXT,__text) external ___atomic_fetch_xor_8
00007ff812cc8cac (__TEXT,__text) external ___atomic_is_lock_free
00007ff812cc8d00 (__TEXT,__text) external ___atomic_load
00007ff812cc9300 (__TEXT,__text) external ___atomic_load_1
00007ff812cc9311 (__TEXT,__text) external ___atomic_load_2
00007ff812cc9323 (__TEXT,__text) external ___atomic_load_4
00007ff812cc9331 (__TEXT,__text) external ___atomic_load_8
00007ff812cc8dfc (__TEXT,__text) external ___atomic_store
00007ff812cc9340 (__TEXT,__text) external ___atomic_store_1
00007ff812cc9352 (__TEXT,__text) external ___atomic_store_2
00007ff812cc9364 (__TEXT,__text) external ___atomic_store_4
00007ff812cc9374 (__TEXT,__text) external ___atomic_store_8
                 (indirect) external ___chkstk_darwin (for ____chkstk_darwin)
00007ff812cc9da8 (__TEXT,__text) external ___clear_cache
00007ff812cc9da9 (__TEXT,__text) external ___clzdi2
00007ff812cc9dd9 (__TEXT,__text) external ___clzsi2
00007ff812cc9e49 (__TEXT,__text) external ___clzti2
00007ff812cc9e67 (__TEXT,__text) external ___cmpdi2
00007ff812cc9e93 (__TEXT,__text) external ___cmpti2
00007ff812ccc01c (__TEXT,__text) non-external (was a private external) ___compilerrt_abort_impl
00007ff812cc9eb4 (__TEXT,__text) external ___ctzdi2
00007ff812cc9ed2 (__TEXT,__text) external ___ctzsi2
00007ff812cc9f36 (__TEXT,__text) external ___ctzti2
00007ff812cc9f51 (__TEXT,__text) external ___divdc3
00007ff812cc89fb (__TEXT,__text) external ___divdi3
00007ff812cca585 (__TEXT,__text) external ___divsc3
00007ff812cc8a36 (__TEXT,__text) external ___divti3
00007ff812ccab36 (__TEXT,__text) external ___divxc3
00007ff812ccb002 (__TEXT,__text) external ___enable_execute_stack
00007ff812ccb023 (__TEXT,__text) external ___extendhfsf2
00007ff812ccb091 (__TEXT,__text) external ___ffsdi2
00007ff812ccb0ab (__TEXT,__text) external ___ffsti2
00007ff812ccb0c7 (__TEXT,__text) external ___fixdfdi
00007ff812ccb0e8 (__TEXT,__text) external ___fixdfti
00007ff812ccb19d (__TEXT,__text) external ___fixsfdi
00007ff812ccb1bb (__TEXT,__text) external ___fixsfti
00007ff812cc88e8 (__TEXT,__text) external ___fixunsdfdi
00007ff812ccb25d (__TEXT,__text) external ___fixunsdfsi
00007ff812ccb2b2 (__TEXT,__text) external ___fixunsdfti
00007ff812ccb335 (__TEXT,__text) external ___fixunssfdi
00007ff812ccb37a (__TEXT,__text) external ___fixunssfsi
00007ff812ccb3d0 (__TEXT,__text) external ___fixunssfti
00007ff812cc892b (__TEXT,__text) external ___fixunsxfdi
00007ff812ccb449 (__TEXT,__text) external ___fixunsxfsi
00007ff812ccb4c4 (__TEXT,__text) external ___fixunsxfti
00007ff812ccb57c (__TEXT,__text) external ___fixxfdi
00007ff812ccb616 (__TEXT,__text) external ___fixxfti
