                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
000000020c4cbb48 (__TEXT,__text) external __crypt_blowfish_rn
000000020c4cdf0c (__TEXT,__text) external __crypt_gensalt_blowfish_rn
000000020c4cbaf4 (__TEXT,__text) external __crypt_output_magic
                 (undefined) external _abort (from libSystem)
                 (undefined) external _apr_allocator_alloc (from libapr-1)
                 (undefined) external _apr_allocator_free (from libapr-1)
                 (undefined) external _apr_array_make (from libapr-1)
                 (undefined) external _apr_array_push (from libapr-1)
                 (undefined) external _apr_atoi64 (from libapr-1)
                 (undefined) external _apr_atomic_dec32 (from libapr-1)
                 (undefined) external _apr_atomic_inc32 (from libapr-1)
                 (undefined) external _apr_atomic_read32 (from libapr-1)
                 (undefined) external _apr_atomic_set32 (from libapr-1)
000000020c4d0934 (__TEXT,__text) external _apr_base64_decode
000000020c4d095c (__TEXT,__text) external _apr_base64_decode_binary
000000020c4d08f0 (__TEXT,__text) external _apr_base64_decode_len
000000020c4d0ab0 (__TEXT,__text) external _apr_base64_encode
000000020c4d0ab4 (__TEXT,__text) external _apr_base64_encode_binary
000000020c4d0a88 (__TEXT,__text) external _apr_base64_encode_len
000000020c4caa54 (__TEXT,__text) external _apr_bcrypt_encode
000000020c4c666c (__TEXT,__text) external _apr_brigade_cleanup
000000020c4c6740 (__TEXT,__text) external _apr_brigade_create
000000020c4c66dc (__TEXT,__text) external _apr_brigade_destroy
000000020c4c6a9c (__TEXT,__text) external _apr_brigade_flatten
000000020c4c75ec (__TEXT,__text) external _apr_brigade_insert_file
000000020c4c69e8 (__TEXT,__text) external _apr_brigade_length
000000020c4c68bc (__TEXT,__text) external _apr_brigade_partition
000000020c4c6b74 (__TEXT,__text) external _apr_brigade_pflatten
000000020c4c7490 (__TEXT,__text) external _apr_brigade_printf
000000020c4c73d8 (__TEXT,__text) external _apr_brigade_putc
000000020c4c7404 (__TEXT,__text) external _apr_brigade_puts
000000020c4c7464 (__TEXT,__text) external _apr_brigade_putstrs
000000020c4c68b4 (__TEXT,__text) external _apr_brigade_split
000000020c4c67bc (__TEXT,__text) external _apr_brigade_split_ex
000000020c4c6bf0 (__TEXT,__text) external _apr_brigade_split_line
000000020c4c6f34 (__TEXT,__text) external _apr_brigade_to_iovec
000000020c4c74bc (__TEXT,__text) external _apr_brigade_vprintf
000000020c4c6fe0 (__TEXT,__text) external _apr_brigade_vputstrs
000000020c4c6d80 (__TEXT,__text) external _apr_brigade_write
000000020c4c70dc (__TEXT,__text) external _apr_brigade_writev
000000020c4c77c0 (__TEXT,__text) external _apr_bucket_alloc
000000020c4c7674 (__TEXT,__text) external _apr_bucket_alloc_create
000000020c4c76fc (__TEXT,__text) external _apr_bucket_alloc_create_ex
000000020c4c7768 (__TEXT,__text) external _apr_bucket_alloc_destroy
000000020c4c7664 (__TEXT,__text) external _apr_bucket_copy_notimpl
000000020c4c7670 (__TEXT,__text) external _apr_bucket_destroy_noop
000000020c4c78bc (__TEXT,__text) external _apr_bucket_eos_create
000000020c4c78a8 (__TEXT,__text) external _apr_bucket_eos_make
000000020c4c7998 (__TEXT,__text) external _apr_bucket_file_create
000000020c4c7a38 (__TEXT,__text) external _apr_bucket_file_enable_mmap
000000020c4c7920 (__TEXT,__text) external _apr_bucket_file_make
000000020c4c7d94 (__TEXT,__text) external _apr_bucket_flush_create
000000020c4c7d80 (__TEXT,__text) external _apr_bucket_flush_make
000000020c4c7878 (__TEXT,__text) external _apr_bucket_free
000000020c4c7eb8 (__TEXT,__text) external _apr_bucket_heap_create
000000020c4c7df8 (__TEXT,__text) external _apr_bucket_heap_make
000000020c4c8830 (__TEXT,__text) external _apr_bucket_immortal_create
000000020c4c881c (__TEXT,__text) external _apr_bucket_immortal_make
000000020c4c8048 (__TEXT,__text) external _apr_bucket_mmap_create
000000020c4c7fa0 (__TEXT,__text) external _apr_bucket_mmap_make
000000020c4c8248 (__TEXT,__text) external _apr_bucket_pipe_create
000000020c4c8230 (__TEXT,__text) external _apr_bucket_pipe_make
000000020c4c854c (__TEXT,__text) external _apr_bucket_pool_create
000000020c4c8448 (__TEXT,__text) external _apr_bucket_pool_make
000000020c4c7644 (__TEXT,__text) external _apr_bucket_setaside_noop
000000020c4c764c (__TEXT,__text) external _apr_bucket_setaside_notimpl
000000020c4c86d0 (__TEXT,__text) external _apr_bucket_shared_copy
000000020c4c8704 (__TEXT,__text) external _apr_bucket_shared_destroy
000000020c4c8718 (__TEXT,__text) external _apr_bucket_shared_make
000000020c4c869c (__TEXT,__text) external _apr_bucket_shared_split
000000020c4c872c (__TEXT,__text) external _apr_bucket_simple_copy
