00007ffb0ac7c9f0 (__TEXT,__text) external _ARMCompilationCallback
00007ffb0ac7ca00 (__TEXT,__text) external _ARMCompilationCallbackC
00007ffb0b3ad050 (__TEXT,__text) external _ConvertUTF16toUTF32
00007ffb0b3ad130 (__TEXT,__text) external _ConvertUTF16toUTF8
00007ffb0b3acf60 (__TEXT,__text) external _ConvertUTF32toUTF16
00007ffb0b3ad2c0 (__TEXT,__text) external _ConvertUTF32toUTF8
00007ffb0b3ad5f0 (__TEXT,__text) external _ConvertUTF8toUTF16
00007ffb0b3ad9e0 (__TEXT,__text) external _ConvertUTF8toUTF32
00007ffb0b3ad800 (__TEXT,__text) non-external _ConvertUTF8toUTF32Impl
00007ffb0b3ad7f0 (__TEXT,__text) external _ConvertUTF8toUTF32Partial
00007ffb43d9c878 (__DATA,__common) external _EnableARMEHABI
00007ffb43d9c5b8 (__DATA,__common) external _EnableARMLongCalls
00007ffb43d9c340 (__DATA,__common) external _ForceStackAlign
00007ffb0b1b1060 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffb0b1b1010 (__TEXT,__text) external _LLVMABISizeOfType
00007ffb0afffe60 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffb0b1e7480 (__TEXT,__text) external _LLVMAddAlias
00007ffb0a9912f0 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffb0b1b4760 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffb0a991200 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffb0b1e7b20 (__TEXT,__text) external _LLVMAddAttribute
00007ffb0a9c0bb0 (__TEXT,__text) external _LLVMAddBBVectorizePass
00007ffb0b000450 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffb0afffe90 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffb0b1e8f50 (__TEXT,__text) external _LLVMAddCase
00007ffb0b1e8f70 (__TEXT,__text) external _LLVMAddClause
00007ffb0a991230 (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffb0b000330 (__TEXT,__text) external _LLVMAddConstantPropagationPass
00007ffb0b0003c0 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007ffb0a991260 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007ffb0afffec0 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00007ffb0b000360 (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00007ffb0b1e8f60 (__TEXT,__text) external _LLVMAddDestination
00007ffb0b0003f0 (__TEXT,__text) external _LLVMAddEarlyCSEPass
00007ffb0b1e74f0 (__TEXT,__text) external _LLVMAddFunction
00007ffb0b1e76b0 (__TEXT,__text) external _LLVMAddFunctionAttr
00007ffb0a991290 (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00007ffb0a9912c0 (__TEXT,__text) external _LLVMAddFunctionInliningPass
00007ffb0affff20 (__TEXT,__text) external _LLVMAddGVNPass
00007ffb0b1e7180 (__TEXT,__text) external _LLVMAddGlobal
00007ffb0a991320 (__TEXT,__text) external _LLVMAddGlobalDCEPass
00007ffb0b1e7200 (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
00007ffb0aa49ad0 (__TEXT,__text) external _LLVMAddGlobalMapping
00007ffb0a991350 (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
00007ffb0a991380 (__TEXT,__text) external _LLVMAddIPConstantPropagationPass
00007ffb0a9913e0 (__TEXT,__text) external _LLVMAddIPSCCPPass
00007ffb0b1e8480 (__TEXT,__text) external _LLVMAddIncoming
