                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
000000018cf84ec8 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
000000018cf816a0 (__TEXT,__text) external _FSp_profile_init
000000018cf816a8 (__TEXT,__text) external _FSp_profile_init_path
000000018cf84ed0 (__TEXT,__text) external _FSp_put_svc_key
000000018cf84ed8 (__TEXT,__text) external _FSp_read_service_key
00000001dfa19c28 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00000001dfa19c40 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00000001dfa19c00 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00000001dfa19be8 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00000001dfa19bb8 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00000001dfa19bd0 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00000001dfa19ba0 (__DATA,__data) external _GSS_C_NT_USER_NAME
00000001dfa19cc8 (__DATA,__data) external _GSS_KRB5_MECHANISM
00000001dfa19c98 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00000001dfa19c60 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00000001dfa19ca8 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00000001dfa19c88 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
000000018cf85000 (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
000000018cf84ff8 (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
000000018cf84f68 (__TEXT,__text) external _KClientAddCredentialsDeprecated
000000018cf84f00 (__TEXT,__text) external _KClientAddRealmMapDeprecated
000000018cf84f20 (__TEXT,__text) external _KClientAddServerMapDeprecated
000000018cf85168 (__TEXT,__text) external _KClientAddServiceKey
000000018cf84ee0 (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
000000018cf851b0 (__TEXT,__text) external _KClientDecrypt
000000018cf85060 (__TEXT,__text) external _KClientDecryptCompat
000000018cf84f70 (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
000000018cf84f08 (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
000000018cf84f28 (__TEXT,__text) external _KClientDeleteServerMapDeprecated
000000018cf84f58 (__TEXT,__text) external _KClientDeleteSessionDeprecated
000000018cf851e8 (__TEXT,__text) external _KClientDisposePrincipal
000000018cf850e0 (__TEXT,__text) external _KClientDisposeSession
000000018cf85018 (__TEXT,__text) external _KClientDisposeSessionCompat
000000018cf851a8 (__TEXT,__text) external _KClientEncrypt
000000018cf85058 (__TEXT,__text) external _KClientEncryptCompat
000000018cf85178 (__TEXT,__text) external _KClientGetAuthenticatorForService
000000018cf851c8 (__TEXT,__text) external _KClientGetCCacheReference
000000018cf850e8 (__TEXT,__text) external _KClientGetClientPrincipal
000000018cf84f60 (__TEXT,__text) external _KClientGetCredentialsDeprecated
000000018cf85198 (__TEXT,__text) external _KClientGetEncryptedServiceReply
000000018cf84f90 (__TEXT,__text) external _KClientGetErrorTextDeprecated
000000018cf85130 (__TEXT,__text) external _KClientGetExpirationTime
000000018cf85108 (__TEXT,__text) external _KClientGetLocalAddress
000000018cf84ee8 (__TEXT,__text) external _KClientGetLocalRealmDeprecated
000000018cf84f80 (__TEXT,__text) external _KClientGetNthCredentialDeprecated
000000018cf84f10 (__TEXT,__text) external _KClientGetNthRealmMapDeprecated
000000018cf84f18 (__TEXT,__text) external _KClientGetNthServerDeprecated
000000018cf84f30 (__TEXT,__text) external _KClientGetNthServerMapDeprecated
000000018cf84f38 (__TEXT,__text) external _KClientGetNthServerPortDeprecated
000000018cf84f50 (__TEXT,__text) external _KClientGetNthSessionDeprecated
000000018cf84f78 (__TEXT,__text) external _KClientGetNumCredentialsDeprecated
