                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff81b9519cb (__TEXT,__text) external _pcre_assign_jit_stack
00007ff843e73a48 (__DATA,__common) external _pcre_callout
00007ff81b92e813 (__TEXT,__text) external _pcre_compile
00007ff81b92e828 (__TEXT,__text) external _pcre_compile2
00007ff81b9390dc (__TEXT,__text) external _pcre_config
00007ff81b9516f6 (__TEXT,__text) external _pcre_copy_named_substring
00007ff81b95169c (__TEXT,__text) external _pcre_copy_substring
00007ff81b939180 (__TEXT,__text) external _pcre_dfa_exec
00007ff81b940500 (__TEXT,__text) external _pcre_exec
00007ff843e73a30 (__DATA,__data) external _pcre_free
00007ff81b9536d8 (__TEXT,__text) external _pcre_free_study
00007ff81b9519af (__TEXT,__text) external _pcre_free_substring
00007ff81b9518c8 (__TEXT,__text) external _pcre_free_substring_list
00007ff81b951164 (__TEXT,__text) external _pcre_fullinfo
00007ff81b951968 (__TEXT,__text) external _pcre_get_named_substring
00007ff81b951400 (__TEXT,__text) external _pcre_get_stringnumber
00007ff81b9514f0 (__TEXT,__text) external _pcre_get_stringtable_entries
00007ff81b9518d6 (__TEXT,__text) external _pcre_get_substring
00007ff81b9517ce (__TEXT,__text) external _pcre_get_substring_list
00007ff81b9519d1 (__TEXT,__text) external _pcre_jit_free_unused_memory
00007ff81b9519bd (__TEXT,__text) external _pcre_jit_stack_alloc
00007ff81b9519c5 (__TEXT,__text) external _pcre_jit_stack_free
00007ff81b9519d7 (__TEXT,__text) external _pcre_maketables
00007ff843e73a28 (__DATA,__data) external _pcre_malloc
00007ff81b92e610 (__TEXT,__text) external _pcre_pattern_to_host_byte_order
00007ff81b9522ac (__TEXT,__text) external _pcre_refcount
00007ff843e73a40 (__DATA,__data) external _pcre_stack_free
00007ff843e73a50 (__DATA,__common) external _pcre_stack_guard
00007ff843e73a38 (__DATA,__data) external _pcre_stack_malloc
00007ff81b9522fc (__TEXT,__text) external _pcre_study
00007ff81b953c8c (__TEXT,__text) external _pcre_version
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
