000000010010b120 (__TEXT,__text) external _ConvertUTF16toUTF8
                 (undefined) external __DefaultRuneLocale (from libSystem)
00000001000155e0 (__TEXT,__text) non-external __GLOBAL__sub_I_BitcodeWriter.cpp
0000000100109b00 (__TEXT,__text) non-external __GLOBAL__sub_I_CommandLine.cpp
000000010005a000 (__TEXT,__text) non-external __GLOBAL__sub_I_DependenceAnalysis.cpp
0000000100091d90 (__TEXT,__text) non-external __GLOBAL__sub_I_Dominators.cpp
00000001000da1f0 (__TEXT,__text) non-external __GLOBAL__sub_I_LegacyPassManager.cpp
000000010005a0d0 (__TEXT,__text) non-external __GLOBAL__sub_I_LoopInfo.cpp
000000010011e1c0 (__TEXT,__text) non-external __GLOBAL__sub_I_Process.cpp
000000010005a1a0 (__TEXT,__text) non-external __GLOBAL__sub_I_ScalarEvolution.cpp
000000010011f130 (__TEXT,__text) non-external __GLOBAL__sub_I_Signals.cpp
0000000100058be0 (__TEXT,__text) non-external __GLOBAL__sub_I_SimplifyCFG.cpp
0000000100119110 (__TEXT,__text) non-external __GLOBAL__sub_I_Timer.cpp
00000001000f31a0 (__TEXT,__text) non-external __GLOBAL__sub_I_Verifier.cpp
0000000100005e90 (__TEXT,__text) non-external __GLOBAL__sub_I_llvm_link.cpp
000000010015d5e0 (__DATA,__bss) non-external __ZGVZL15getOpenFileImpliPKcRN4llvm9OwningPtrINS1_12MemoryBufferEEEyyxbbE8PageSize
000000010015d800 (__DATA,__bss) non-external __ZGVZL18getElapsedWallTimevE9StartTime
000000010015c740 (__DATA,__bss) non-external __ZGVZN4llvm13BitcodeReader20BitcodeErrorCategoryEvE1O
000000010015e230 (__DATA,__bss) non-external __ZGVZN4llvm15system_categoryEvE1s
000000010015e220 (__DATA,__bss) non-external __ZGVZN4llvm16generic_categoryEvE1s
000000010015d600 (__DATA,__bss) non-external __ZGVZN4llvm22EnablePrettyStackTraceEvE17HandlerRegistered
000000010015d7e0 (__DATA,__bss) non-external __ZGVZN4llvm3sys7process8get_selfEvE2SP
000000010015d7d0 (__DATA,__bss) non-external __ZGVZN4llvm4errsEvE1S
000000010015d790 (__DATA,__bss) non-external __ZGVZN4llvm4outsEvE1S
000000010015c3d0 (__DATA,__data) non-external (was a private external) __ZGVZN4llvm7hashing6detail18get_execution_seedEvE4seed
000000010015cb10 (__DATA,__bss) non-external __ZL10GCNamePool
000000010015d850 (__DATA,__bss) non-external __ZL10IntSigsEnd
000000010015ce98 (__DATA,__bss) non-external __ZL10PrintAfter
000000010010eb80 (__TEXT,__text) non-external __ZL10PrintStackPKN4llvm21PrettyStackTraceEntryERNS_11raw_ostreamE
