                 (undefined) external _APP_SANDBOX_READ (from libsystem_sandbox)
00007ff842119228 (__DATA,__data) external _CMFSSEAM_DEFAULT
00007ff80aed0368 (__TEXT,__const) external _CONTAINER_CURRENT_MOBILE_UID
00007ff80aed0370 (__TEXT,__const) external _CONTAINER_INSTALLATION_UID
00007ff8421187c8 (__DATA,__const) external _CONTAINER_NOTIFY_USER_INVALIDATED
00007ff8421187d8 (__DATA,__const) external _CONTAINER_PERSONA_CURRENT
00007ff80aed035e (__TEXT,__const) non-external _CONTAINER_PERSONA_DEFAULT
00007ff8421187d0 (__DATA,__const) external _CONTAINER_PERSONA_PRIMARY
00007ff80aed036c (__TEXT,__const) external _CONTAINER_SYSTEM_UID
00007ff8421196e0 (__DATA,__bss) non-external _MAX_APP_GROUP_CACHE_ENTRIES_PER_PERSONA_block_invoke.cache
00007ff8421196e8 (__DATA,__bss) non-external _MAX_APP_GROUP_CACHE_ENTRIES_PER_PERSONA_block_invoke.lock
00007ff8421196f0 (__DATA,__bss) non-external _MAX_APP_GROUP_CACHE_ENTRIES_PER_PERSONA_block_invoke.once_token
00007ff80aed0374 (__TEXT,__const) non-external _MAX_APP_GROUP_CACHE_ENTRIES_PER_PERSONA_block_invoke.persona_name_default
                 (undefined) external _SANDBOX_CHECK_NO_REPORT (from libsystem_sandbox)
                 (undefined) external _SANDBOX_EXTENSION_DEFAULT (from libsystem_sandbox)
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff842118430 (__DATA,__const) non-external __CONTAINER_NAMES
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff80aec230c (__TEXT,__text) non-external _____initialize_container_sandbox_extensions_block_invoke
00007ff80aec23f7 (__TEXT,__text) non-external _____initialize_container_sandbox_extensions_block_invoke_2
00007ff80aec273f (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke
00007ff80aec27c2 (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke.10
00007ff80aec2767 (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke.7
00007ff80aec27e6 (__TEXT,__text) non-external _____locked_clear_per_persona_data_block_invoke
00007ff80aec22e8 (__TEXT,__text) non-external _____locked_revoke_block_invoke
00007ff80aecaf9d (__TEXT,__text) non-external ____container_async_reclaim_disk_space_block_invoke
00007ff80aecaf53 (__TEXT,__text) non-external ____container_async_reclaim_disk_space_block_invoke_2
00007ff80aec9e87 (__TEXT,__text) non-external ____container_legacy_lookup_multiple_block_invoke
00007ff80aebd80e (__TEXT,__text) non-external ____container_log_replication_enable_to_uid_relative_path_block_invoke
00007ff80aebd82c (__TEXT,__text) non-external ____container_log_replication_enable_to_uid_relative_path_block_invoke_2
00007ff80aeb6457 (__TEXT,__text) non-external ____container_paths_chown_component_block_invoke
00007ff80aebb89b (__TEXT,__text) non-external ____container_xpc_default_sender_block_invoke
00007ff80aeb8cab (__TEXT,__text) non-external ____container_xpc_invalidate_shared_connection_after_timeout_block_invoke
00007ff80aeb8a77 (__TEXT,__text) non-external ____container_xpc_invalidate_shared_connection_after_timeout_block_invoke.13
00007ff80aebba93 (__TEXT,__text) non-external ____container_xpc_pthread_key_for_client_context_block_invoke
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff8421173b0 (__DATA,__const) non-external ___block_descriptor_tmp
00007ff842117970 (__DATA,__const) non-external ___block_descriptor_tmp.1
00007ff842117dc0 (__DATA,__const) non-external ___block_descriptor_tmp.1.251
00007ff842117f30 (__DATA,__const) non-external ___block_descriptor_tmp.1.318
00007ff842118080 (__DATA,__const) non-external ___block_descriptor_tmp.1.376
00007ff842118310 (__DATA,__const) non-external ___block_descriptor_tmp.1.531
00007ff842118778 (__DATA,__const) non-external ___block_descriptor_tmp.1.719
00007ff842117e20 (__DATA,__const) non-external ___block_descriptor_tmp.10
00007ff842117eb0 (__DATA,__const) non-external ___block_descriptor_tmp.10.305
00007ff842118130 (__DATA,__const) non-external ___block_descriptor_tmp.10.372
00007ff842118930 (__DATA,__const) non-external ___block_descriptor_tmp.10.765
00007ff842119150 (__DATA,__const) non-external ___block_descriptor_tmp.108
00007ff842119180 (__DATA,__const) non-external ___block_descriptor_tmp.109
00007ff842118960 (__DATA,__const) non-external ___block_descriptor_tmp.11
00007ff8421191c0 (__DATA,__const) non-external ___block_descriptor_tmp.112
00007ff842118650 (__DATA,__const) non-external ___block_descriptor_tmp.12
00007ff842118990 (__DATA,__const) non-external ___block_descriptor_tmp.12.766
00007ff842118680 (__DATA,__const) non-external ___block_descriptor_tmp.13
00007ff8421189c0 (__DATA,__const) non-external ___block_descriptor_tmp.13.772
00007ff842117ef0 (__DATA,__const) non-external ___block_descriptor_tmp.14
00007ff8421189f0 (__DATA,__const) non-external ___block_descriptor_tmp.14.771
00007ff842117880 (__DATA,__const) non-external ___block_descriptor_tmp.148
00007ff8421184e0 (__DATA,__const) non-external ___block_descriptor_tmp.15
00007ff8421186c0 (__DATA,__const) non-external ___block_descriptor_tmp.15.588
00007ff8421178b0 (__DATA,__const) non-external ___block_descriptor_tmp.152
00007ff842118510 (__DATA,__const) non-external ___block_descriptor_tmp.16
00007ff842118a20 (__DATA,__const) non-external ___block_descriptor_tmp.16.774
00007ff842118540 (__DATA,__const) non-external ___block_descriptor_tmp.17
00007ff842118a50 (__DATA,__const) non-external ___block_descriptor_tmp.17.777
00007ff842117950 (__DATA,__const) non-external ___block_descriptor_tmp.175
00007ff842118a80 (__DATA,__const) non-external ___block_descriptor_tmp.18
00007ff842117990 (__DATA,__const) non-external ___block_descriptor_tmp.2
00007ff842117f50 (__DATA,__const) non-external ___block_descriptor_tmp.2.320
00007ff842118340 (__DATA,__const) non-external ___block_descriptor_tmp.2.532
00007ff8421179f0 (__DATA,__const) non-external ___block_descriptor_tmp.24
00007ff842118ab0 (__DATA,__const) non-external ___block_descriptor_tmp.24.778
00007ff842117d90 (__DATA,__const) non-external ___block_descriptor_tmp.249
00007ff842117a20 (__DATA,__const) non-external ___block_descriptor_tmp.26
00007ff842117a50 (__DATA,__const) non-external ___block_descriptor_tmp.28
00007ff842118ae0 (__DATA,__const) non-external ___block_descriptor_tmp.28.787
00007ff842118220 (__DATA,__const) non-external ___block_descriptor_tmp.29
00007ff842118b10 (__DATA,__const) non-external ___block_descriptor_tmp.29.790
00007ff8421179b0 (__DATA,__const) non-external ___block_descriptor_tmp.3
00007ff842117f70 (__DATA,__const) non-external ___block_descriptor_tmp.3.323
00007ff8421180b0 (__DATA,__const) non-external ___block_descriptor_tmp.3.367
00007ff842118370 (__DATA,__const) non-external ___block_descriptor_tmp.3.533
00007ff8421185b0 (__DATA,__const) non-external ___block_descriptor_tmp.3.596
00007ff8421187a8 (__DATA,__const) non-external ___block_descriptor_tmp.3.724
00007ff842117a80 (__DATA,__const) non-external ___block_descriptor_tmp.30
00007ff842118b40 (__DATA,__const) non-external ___block_descriptor_tmp.30.791
00007ff842117e50 (__DATA,__const) non-external ___block_descriptor_tmp.307
00007ff842117ac0 (__DATA,__const) non-external ___block_descriptor_tmp.31
