                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) weak external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __exit (from libSystem)
                 (undefined) external _accept (from libSystem)
                 (undefined) external _access (from libSystem)
00007ffd0b828450 (__TEXT,__text) external _apr__SHA256_Data
00007ffd0b828395 (__TEXT,__text) external _apr__SHA256_End
00007ffd0b828284 (__TEXT,__text) external _apr__SHA256_Final
00007ffd0b827f1f (__TEXT,__text) external _apr__SHA256_Init
00007ffd0b827f5a (__TEXT,__text) external _apr__SHA256_Transform
00007ffd0b828197 (__TEXT,__text) external _apr__SHA256_Update
00007ffd0b82070d (__TEXT,__text) external _apr_allocator_alloc
00007ffd0b8205d0 (__TEXT,__text) external _apr_allocator_create
00007ffd0b820640 (__TEXT,__text) external _apr_allocator_destroy
00007ffd0b8208d0 (__TEXT,__text) external _apr_allocator_free
00007ffd0b8206a3 (__TEXT,__text) external _apr_allocator_max_free_set
00007ffd0b820685 (__TEXT,__text) external _apr_allocator_mutex_get
00007ffd0b82067b (__TEXT,__text) external _apr_allocator_mutex_set
00007ffd0b820699 (__TEXT,__text) external _apr_allocator_owner_get
00007ffd0b82068f (__TEXT,__text) external _apr_allocator_owner_set
00007ffd0b822aa2 (__TEXT,__text) external _apr_app_initialize
00007ffd0b81a522 (__TEXT,__text) external _apr_array_append
00007ffd0b81a37a (__TEXT,__text) external _apr_array_cat
00007ffd0b81a2a3 (__TEXT,__text) external _apr_array_clear
00007ffd0b81a440 (__TEXT,__text) external _apr_array_copy
00007ffd0b81a4ec (__TEXT,__text) external _apr_array_copy_hdr
00007ffd0b81a221 (__TEXT,__text) external _apr_array_make
00007ffd0b81a2b0 (__TEXT,__text) external _apr_array_pop
00007ffd0b81a578 (__TEXT,__text) external _apr_array_pstrcat
00007ffd0b81a2da (__TEXT,__text) external _apr_array_push
00007ffd0b818768 (__TEXT,__text) external _apr_atoi64
00007ffd0b81bdb5 (__TEXT,__text) external _apr_atomic_add32
00007ffd0b81bdea (__TEXT,__text) external _apr_atomic_cas32
00007ffd0b81be03 (__TEXT,__text) external _apr_atomic_casptr
00007ffd0b81bdd9 (__TEXT,__text) external _apr_atomic_dec32
00007ffd0b81bdca (__TEXT,__text) external _apr_atomic_inc32
00007ffd0b81bd9d (__TEXT,__text) external _apr_atomic_init
00007ffd0b81bda5 (__TEXT,__text) external _apr_atomic_read32
00007ffd0b81bdad (__TEXT,__text) external _apr_atomic_set32
00007ffd0b81bdc1 (__TEXT,__text) external _apr_atomic_sub32
00007ffd0b81bdf6 (__TEXT,__text) external _apr_atomic_xchg32
00007ffd0b81be11 (__TEXT,__text) external _apr_atomic_xchgptr
00007ffd0b81504b (__TEXT,__text) external _apr_collapse_spaces
