                 (undefined) external _OSSpinLockLock (from libsystem_platform)
                 (undefined) external _OSSpinLockUnlock (from libsystem_platform)
                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff80dd5313d (__TEXT,__text) external ___absvdi2
00007ff80dd53170 (__TEXT,__text) external ___absvsi2
00007ff80dd53199 (__TEXT,__text) external ___absvti2
00007ff80dd531d9 (__TEXT,__text) external ___addvdi3
00007ff80dd5321f (__TEXT,__text) external ___addvsi3
00007ff80dd53261 (__TEXT,__text) external ___addvti3
00007ff80dd532be (__TEXT,__text) external ___ashldi3
00007ff80dd532ea (__TEXT,__text) external ___ashlti3
00007ff80dd53312 (__TEXT,__text) external ___ashrdi3
00007ff80dd53343 (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff80dd535dc (__TEXT,__text) external ___atomic_compare_exchange
00007ff80dd53b1c (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff80dd53b68 (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff80dd53bb4 (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff80dd53c00 (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff80dd5381c (__TEXT,__text) external ___atomic_exchange
00007ff80dd53a4e (__TEXT,__text) external ___atomic_exchange_1
00007ff80dd53a84 (__TEXT,__text) external ___atomic_exchange_2
00007ff80dd53ab8 (__TEXT,__text) external ___atomic_exchange_4
00007ff80dd53ae8 (__TEXT,__text) external ___atomic_exchange_8
00007ff80dd53c4c (__TEXT,__text) external ___atomic_fetch_add_1
00007ff80dd53c84 (__TEXT,__text) external ___atomic_fetch_add_2
00007ff80dd53cb8 (__TEXT,__text) external ___atomic_fetch_add_4
00007ff80dd53cec (__TEXT,__text) external ___atomic_fetch_add_8
00007ff80dd53dfc (__TEXT,__text) external ___atomic_fetch_and_1
00007ff80dd53e74 (__TEXT,__text) external ___atomic_fetch_and_2
00007ff80dd53ef4 (__TEXT,__text) external ___atomic_fetch_and_4
00007ff80dd53f64 (__TEXT,__text) external ___atomic_fetch_and_8
00007ff80dd53fe8 (__TEXT,__text) external ___atomic_fetch_or_1
00007ff80dd54060 (__TEXT,__text) external ___atomic_fetch_or_2
00007ff80dd540e0 (__TEXT,__text) external ___atomic_fetch_or_4
00007ff80dd54150 (__TEXT,__text) external ___atomic_fetch_or_8
00007ff80dd53d20 (__TEXT,__text) external ___atomic_fetch_sub_1
00007ff80dd53d58 (__TEXT,__text) external ___atomic_fetch_sub_2
00007ff80dd53d90 (__TEXT,__text) external ___atomic_fetch_sub_4
00007ff80dd53dc4 (__TEXT,__text) external ___atomic_fetch_sub_8
00007ff80dd541d4 (__TEXT,__text) external ___atomic_fetch_xor_1
00007ff80dd5424c (__TEXT,__text) external ___atomic_fetch_xor_2
00007ff80dd542cc (__TEXT,__text) external ___atomic_fetch_xor_4
00007ff80dd5433c (__TEXT,__text) external ___atomic_fetch_xor_8
00007ff80dd53374 (__TEXT,__text) external ___atomic_is_lock_free
00007ff80dd533c8 (__TEXT,__text) external ___atomic_load
00007ff80dd539c8 (__TEXT,__text) external ___atomic_load_1
00007ff80dd539d9 (__TEXT,__text) external ___atomic_load_2
00007ff80dd539eb (__TEXT,__text) external ___atomic_load_4
00007ff80dd539f9 (__TEXT,__text) external ___atomic_load_8
00007ff80dd534c4 (__TEXT,__text) external ___atomic_store
00007ff80dd53a08 (__TEXT,__text) external ___atomic_store_1
00007ff80dd53a1a (__TEXT,__text) external ___atomic_store_2
00007ff80dd53a2c (__TEXT,__text) external ___atomic_store_4
00007ff80dd53a3c (__TEXT,__text) external ___atomic_store_8
                 (indirect) external ___chkstk_darwin (for ____chkstk_darwin)
00007ff80dd54470 (__TEXT,__text) external ___clear_cache
00007ff80dd54471 (__TEXT,__text) external ___clzdi2
00007ff80dd5448c (__TEXT,__text) external ___clzsi2
00007ff80dd544fc (__TEXT,__text) external ___clzti2
00007ff80dd54515 (__TEXT,__text) external ___cmpdi2
00007ff80dd54541 (__TEXT,__text) external ___cmpti2
00007ff80dd565a4 (__TEXT,__text) non-external (was a private external) ___compilerrt_abort_impl
00007ff80dd54562 (__TEXT,__text) external ___ctzdi2
00007ff80dd5457c (__TEXT,__text) external ___ctzsi2
00007ff80dd545e0 (__TEXT,__text) external ___ctzti2
00007ff80dd545f6 (__TEXT,__text) external ___divdc3
00007ff80dd530b2 (__TEXT,__text) external ___divdi3
00007ff80dd54c84 (__TEXT,__text) external ___divsc3
00007ff80dd530ed (__TEXT,__text) external ___divti3
00007ff80dd55230 (__TEXT,__text) external ___divxc3
00007ff80dd5557d (__TEXT,__text) external ___enable_execute_stack
00007ff80dd5559e (__TEXT,__text) external ___extendhfsf2
00007ff80dd5560c (__TEXT,__text) external ___ffsdi2
00007ff80dd55628 (__TEXT,__text) external ___ffsti2
00007ff80dd55644 (__TEXT,__text) external ___fixdfdi
00007ff80dd55665 (__TEXT,__text) external ___fixdfti
00007ff80dd5571a (__TEXT,__text) external ___fixsfdi
00007ff80dd55738 (__TEXT,__text) external ___fixsfti
00007ff80dd52fa4 (__TEXT,__text) external ___fixunsdfdi
00007ff80dd557e5 (__TEXT,__text) external ___fixunsdfsi
00007ff80dd55831 (__TEXT,__text) external ___fixunsdfti
00007ff80dd558b1 (__TEXT,__text) external ___fixunssfdi
00007ff80dd558f6 (__TEXT,__text) external ___fixunssfsi
00007ff80dd55943 (__TEXT,__text) external ___fixunssfti
00007ff80dd52fe7 (__TEXT,__text) external ___fixunsxfdi
00007ff80dd559bb (__TEXT,__text) external ___fixunsxfsi
00007ff80dd55a31 (__TEXT,__text) external ___fixunsxfti
00007ff80dd55aeb (__TEXT,__text) external ___fixxfdi
00007ff80dd55b85 (__TEXT,__text) external ___fixxfti
00007ff80dd55c68 (__TEXT,__text) external ___floatdidf
00007ff80dd55c6e (__TEXT,__text) external ___floatdisf
00007ff80dd55c74 (__TEXT,__text) external ___floatdixf
00007ff80dd55c7e (__TEXT,__text) external ___floattidf
00007ff80dd55d95 (__TEXT,__text) external ___floattisf
00007ff80dd55e97 (__TEXT,__text) external ___floattixf
00007ff80dd55fc8 (__TEXT,__text) external ___floatundidf
00007ff80dd55ff4 (__TEXT,__text) external ___floatundisf
00007ff80dd56020 (__TEXT,__text) external ___floatundixf
00007ff80dd56036 (__TEXT,__text) external ___floatuntidf
00007ff80dd5613e (__TEXT,__text) external ___floatuntisf
00007ff80dd56206 (__TEXT,__text) external ___floatuntixf
00007ff80dd5630c (__TEXT,__text) external ___gcc_personality_v0
00007ff80dd579b1 (__TEXT,__text) external ___gnu_f2h_ieee
00007ff80dd55607 (__TEXT,__text) external ___gnu_h2f_ieee
00007ff80dd565bc (__TEXT,__text) external ___lshrdi3
00007ff80dd565ea (__TEXT,__text) external ___lshrti3
00007ff80dd53061 (__TEXT,__text) external ___moddi3
00007ff80dd56612 (__TEXT,__text) external ___modti3
00007ff80dd5667a (__TEXT,__text) external ___muldc3
00007ff80dd56837 (__TEXT,__text) external ___muldi3
00007ff80dd568bc (__TEXT,__text) external ___mulodi4
00007ff80dd5694a (__TEXT,__text) external ___mulosi4
00007ff80dd569c1 (__TEXT,__text) external ___muloti4
00007ff80dd56adb (__TEXT,__text) external ___mulsc3
00007ff80dd56c3f (__TEXT,__text) external ___multi3
00007ff80dd56c9e (__TEXT,__text) external ___mulvdi3
00007ff80dd56d9d (__TEXT,__text) external ___mulvsi3
00007ff80dd56e79 (__TEXT,__text) external ___mulvti3
00007ff80dd57000 (__TEXT,__text) external ___mulxc3
00007ff80dd5735d (__TEXT,__text) external ___negdi2
00007ff80dd57364 (__TEXT,__text) external ___negti2
00007ff80dd57370 (__TEXT,__text) external ___negvdi2
00007ff80dd5739f (__TEXT,__text) external ___negvsi2
00007ff80dd573c5 (__TEXT,__text) external ___negvti2
00007ff80dd573f7 (__TEXT,__text) external ___paritydi2
00007ff80dd57426 (__TEXT,__text) external ___paritysi2
00007ff80dd5744c (__TEXT,__text) external ___parityti2
00007ff80dd5747e (__TEXT,__text) external ___popcountdi2
00007ff80dd574e0 (__TEXT,__text) external ___popcountsi2
00007ff80dd57519 (__TEXT,__text) external ___popcountti2
00007ff80dd575a7 (__TEXT,__text) external ___powidf2
00007ff80dd5760b (__TEXT,__text) external ___powisf2
00007ff80dd5766a (__TEXT,__text) external ___powixf2
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
00007ff80dd576ba (__TEXT,__text) external ___subvdi3
00007ff80dd57702 (__TEXT,__text) external ___subvsi3
00007ff80dd57745 (__TEXT,__text) external ___subvti3
00007ff80dd57799 (__TEXT,__text) external ___truncdfhf2
00007ff80dd578c5 (__TEXT,__text) external ___truncsfhf2
00007ff80dd579b6 (__TEXT,__text) external ___ucmpdi2
