00007ffb42a5a2c0 (__DATA,__bss) non-external _A
00007ffb42a5a110 (__DATA,__data) external _CMARK_ARENA_MEM_ALLOCATOR
00007ffb42a59fc8 (__DATA,__data) external _CMARK_DEFAULT_MEM_ALLOCATOR
00007ffb42a59fc0 (__DATA,__data) external _CMARK_NODE_LAST_BLOCK
00007ffb42a59fc4 (__DATA,__data) external _CMARK_NODE_LAST_INLINE
00007ffb42a5a2c8 (__DATA,__common) external _CMARK_NODE_STRIKETHROUGH
00007ffb42a5a2d0 (__DATA,__common) external _CMARK_NODE_TABLE
00007ffb42a5a2d8 (__DATA,__common) external _CMARK_NODE_TABLE_CELL
00007ffb42a5a2d4 (__DATA,__common) external _CMARK_NODE_TABLE_ROW
00007ffb1c303a30 (__TEXT,__const) non-external _HREF_SAFE
00007ffb42a519d0 (__DATA,__const) non-external _HTML_ESCAPES
00007ffb1c302110 (__TEXT,__const) non-external _HTML_ESCAPE_TABLE
00007ffb1c303930 (__TEXT,__const) non-external _SMART_PUNCT_CHARS
00007ffb1c2f9170 (__TEXT,__text) non-external _S_advance_offset
00007ffb1c2eb48c (__TEXT,__text) non-external _S_blankline
00007ffb1c2f9acf (__TEXT,__text) non-external _S_can_contain
00007ffb1c2eb479 (__TEXT,__text) non-external _S_cr
00007ffb1c2f9207 (__TEXT,__text) non-external _S_find_first_nonspace
00007ffb1c2f9a19 (__TEXT,__text) non-external _S_node_unlink
00007ffb1c2eb49f (__TEXT,__text) non-external _S_out
00007ffb1c2e9d56 (__TEXT,__text) non-external _S_outc
00007ffb1c2f78de (__TEXT,__text) non-external _S_parser_feed
00007ffb1c303920 (__TEXT,__const) non-external _S_parser_feed.repl
00007ffb1c2fad77 (__TEXT,__text) non-external _S_print_error
00007ffb1c2f7fa7 (__TEXT,__text) non-external _S_process_line
00007ffb1c301673 (__TEXT,__text) non-external _S_process_line.cold.1
00007ffb1c301694 (__TEXT,__text) non-external _S_process_line.cold.2
00007ffb1c3016b5 (__TEXT,__text) non-external _S_process_line.cold.3
00007ffb1c3016d8 (__TEXT,__text) non-external _S_process_line.cold.4
00007ffb1c3016fb (__TEXT,__text) non-external _S_process_line.cold.5
00007ffb1c2e97ac (__TEXT,__text) non-external _S_put_footnote_backref
00007ffb1c2e7850 (__TEXT,__text) non-external _S_render_node
00007ffb1c2e9e40 (__TEXT,__text) non-external _S_render_node
00007ffb1c2ece10 (__TEXT,__text) non-external _S_render_node
00007ffb1c2ff1d0 (__TEXT,__text) non-external _S_render_node
00007ffb1c30145c (__TEXT,__text) non-external _S_render_node.cold.1
00007ffb1c3014f0 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffb1c301558 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffb1c301e18 (__TEXT,__text) non-external _S_render_node.cold.1
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffb1c2f97b0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb1c2f97d0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffb1c2eb8c8 (__TEXT,__text) external __ext_scan_at
00007ffb1c2ed684 (__TEXT,__text) external __scan_at
00007ffb1c2f5588 (__TEXT,__text) external __scan_atx_heading_start
00007ffb1c303420 (__TEXT,__const) non-external __scan_atx_heading_start.yybm
00007ffb1c2eea77 (__TEXT,__text) external __scan_autolink_email
00007ffb1c302820 (__TEXT,__const) non-external __scan_autolink_email.yybm
00007ffb1c2ee022 (__TEXT,__text) external __scan_autolink_uri
00007ffb1c302720 (__TEXT,__const) non-external __scan_autolink_uri.yybm
00007ffb1c2f5aed (__TEXT,__text) external __scan_close_code_fence
00007ffb1c303720 (__TEXT,__const) non-external __scan_close_code_fence.yybm
00007ffb1c2f656e (__TEXT,__text) external __scan_dangerous_url
00007ffb1c2f5c03 (__TEXT,__text) external __scan_entity
00007ffb1c2f6873 (__TEXT,__text) external __scan_footnote_definition
00007ffb1c303820 (__TEXT,__const) non-external __scan_footnote_definition.yybm
00007ffb1c2f36f3 (__TEXT,__text) external __scan_html_block_end_1
00007ffb1c302d20 (__TEXT,__const) non-external __scan_html_block_end_1.yybm
00007ffb1c2f3f88 (__TEXT,__text) external __scan_html_block_end_2
00007ffb1c302e20 (__TEXT,__const) non-external __scan_html_block_end_2.yybm
00007ffb1c2f43b4 (__TEXT,__text) external __scan_html_block_end_3
00007ffb1c302f20 (__TEXT,__const) non-external __scan_html_block_end_3.yybm
00007ffb1c2f47a2 (__TEXT,__text) external __scan_html_block_end_4
00007ffb1c303020 (__TEXT,__const) non-external __scan_html_block_end_4.yybm
00007ffb1c2f4aad (__TEXT,__text) external __scan_html_block_end_5
00007ffb1c303120 (__TEXT,__const) non-external __scan_html_block_end_5.yybm
00007ffb1c2f1d02 (__TEXT,__text) external __scan_html_block_start
00007ffb1c2f3078 (__TEXT,__text) external __scan_html_block_start_7
00007ffb1c302c20 (__TEXT,__const) non-external __scan_html_block_start_7.yybm
00007ffb1c2f0d03 (__TEXT,__text) external __scan_html_tag
00007ffb1c302920 (__TEXT,__const) non-external __scan_html_tag.yybm
00007ffb1c2f19ea (__TEXT,__text) external __scan_liberal_html_tag
00007ffb1c302b20 (__TEXT,__const) non-external __scan_liberal_html_tag.yybm
00007ffb1c2f4ed9 (__TEXT,__text) external __scan_link_title
00007ffb1c303220 (__TEXT,__const) non-external __scan_link_title.yybm
00007ffb1c2f57ea (__TEXT,__text) external __scan_open_code_fence
00007ffb1c303620 (__TEXT,__const) non-external __scan_open_code_fence.yybm
00007ffb1c2ed6cb (__TEXT,__text) external __scan_scheme
00007ffb1c2f56a9 (__TEXT,__text) external __scan_setext_heading_line
00007ffb1c303520 (__TEXT,__const) non-external __scan_setext_heading_line.yybm
00007ffb1c2f5560 (__TEXT,__text) external __scan_spacechars
00007ffb1c303320 (__TEXT,__const) non-external __scan_spacechars.yybm
00007ffb1c2ebb12 (__TEXT,__text) external __scan_table_cell
00007ffb1c302410 (__TEXT,__const) non-external __scan_table_cell.yybm
00007ffb1c2ebd84 (__TEXT,__text) external __scan_table_cell_end
00007ffb1c2ebda8 (__TEXT,__text) external __scan_table_row_end
00007ffb1c302510 (__TEXT,__const) non-external __scan_table_row_end.yybm
00007ffb1c2eb907 (__TEXT,__text) external __scan_table_start
