00007fff802534b8 (__DATA_DIRTY,__common) external _EnableIPRA
00007fff68f30c08 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007fff68f30ad8 (__TEXT,__text) external _LLVMABISizeOfType
00007fff68d3e0a2 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007fff689ec49e (__TEXT,__text) external _LLVMAddAlias
00007fff68d3e0e8 (__TEXT,__text) external _LLVMAddAlignmentFromAssumptionsPass
00007fff68aab307 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007fff68f32dc2 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007fff68aab244 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007fff689ec806 (__TEXT,__text) external _LLVMAddAttributeAtIndex
00007fff6903cff6 (__TEXT,__text) external _LLVMAddBBVectorizePass
00007fff68d3e7cc (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007fff68d3e0c5 (__TEXT,__text) external _LLVMAddBitTrackingDCEPass
00007fff68d3e11a (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007fff689ed2a1 (__TEXT,__text) external _LLVMAddCallSiteAttribute
00007fff689ee046 (__TEXT,__text) external _LLVMAddCase
00007fff689ee097 (__TEXT,__text) external _LLVMAddClause
00007fff68aab26c (__TEXT,__text) external _LLVMAddConstantMergePass
00007fff68d3e685 (__TEXT,__text) external _LLVMAddConstantPropagationPass
00007fff68d3e6f3 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007fff68aab28f (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007fff68d3e210 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00007fff68d3e6a8 (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00007fff689ee050 (__TEXT,__text) external _LLVMAddDestination
00007fff68d3e73b (__TEXT,__text) external _LLVMAddEarlyCSEMemSSAPass
00007fff68d3e716 (__TEXT,__text) external _LLVMAddEarlyCSEPass
00007fff689ec4dd (__TEXT,__text) external _LLVMAddFunction
00007fff68aab2b2 (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00007fff68aab2d5 (__TEXT,__text) external _LLVMAddFunctionInliningPass
00007fff68d3e265 (__TEXT,__text) external _LLVMAddGVNPass
00007fff689ec139 (__TEXT,__text) external _LLVMAddGlobal
00007fff68aab32f (__TEXT,__text) external _LLVMAddGlobalDCEPass
00007fff689ec1d5 (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
00007fff68aab361 (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
00007fff68aab384 (__TEXT,__text) external _LLVMAddIPConstantPropagationPass
00007fff68aab3ca (__TEXT,__text) external _LLVMAddIPSCCPPass
00007fff689ed7c7 (__TEXT,__text) external _LLVMAddIncoming
00007fff68d3e2e1 (__TEXT,__text) external _LLVMAddIndVarSimplifyPass
00007fff68d3e304 (__TEXT,__text) external _LLVMAddInstructionCombiningPass
00007fff68aab3ed (__TEXT,__text) external _LLVMAddInternalizePass
00007fff68d3e33b (__TEXT,__text) external _LLVMAddJumpThreadingPass
00007fff68d3e395 (__TEXT,__text) external _LLVMAddLICMPass
00007fff68d3e195 (__TEXT,__text) external _LLVMAddLateCFGSimplificationPass
00007fff68d3e3b8 (__TEXT,__text) external _LLVMAddLoopDeletionPass
00007fff68d3e3db (__TEXT,__text) external _LLVMAddLoopIdiomPass
00007fff68d3e426 (__TEXT,__text) external _LLVMAddLoopRerollPass
00007fff68d3e3fe (__TEXT,__text) external _LLVMAddLoopRotatePass
00007fff68d3e46c (__TEXT,__text) external _LLVMAddLoopUnrollPass
00007fff68d3e4af (__TEXT,__text) external _LLVMAddLoopUnswitchPass
00007fff6903cffc (__TEXT,__text) external _LLVMAddLoopVectorizePass
00007fff68d3e7ef (__TEXT,__text) external _LLVMAddLowerExpectIntrinsicPass
00007fff68d3e52b (__TEXT,__text) external _LLVMAddLowerSwitchPass
00007fff68d3e4e5 (__TEXT,__text) external _LLVMAddMemCpyOptPass
00007fff68d3e2be (__TEXT,__text) external _LLVMAddMergedLoadStoreMotionPass
00007fff689eb316 (__TEXT,__text) external _LLVMAddNamedMetadataOperand
00007fff68d3e29b (__TEXT,__text) external _LLVMAddNewGVNPass
00007fff68d3e508 (__TEXT,__text) external _LLVMAddPartiallyInlineLibCallsPass
00007fff68d3e54e (__TEXT,__text) external _LLVMAddPromoteMemoryToRegisterPass
00007fff68aab3a7 (__TEXT,__text) external _LLVMAddPruneEHPass
00007fff68d3e571 (__TEXT,__text) external _LLVMAddReassociatePass
00007fff68d3e5a3 (__TEXT,__text) external _LLVMAddSCCPPass
00007fff6903d026 (__TEXT,__text) external _LLVMAddSLPVectorizePass
00007fff68d3e5c6 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPass
00007fff68d3e5f8 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassSSA
00007fff68d3e62a (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassWithThreshold
00007fff68d3e233 (__TEXT,__text) external _LLVMAddScalarizerPass
00007fff68d3e7a9 (__TEXT,__text) external _LLVMAddScopedNoAliasAAPass
00007fff68d3e65c (__TEXT,__text) external _LLVMAddSimplifyLibCallsPass
00007fff68aab4f9 (__TEXT,__text) external _LLVMAddStripDeadPrototypesPass
00007fff68aab51c (__TEXT,__text) external _LLVMAddStripSymbolsPass
00007fff68f23e48 (__TEXT,__text) external _LLVMAddSymbol
00007fff68d3e662 (__TEXT,__text) external _LLVMAddTailCallEliminationPass
00007fff689ec970 (__TEXT,__text) external _LLVMAddTargetDependentFunctionAttr
00007fff68f30695 (__TEXT,__text) external _LLVMAddTargetLibraryInfo
00007fff68d3e786 (__TEXT,__text) external _LLVMAddTypeBasedAliasAnalysisPass
00007fff68d3e6cb (__TEXT,__text) external _LLVMAddVerifierPass
00007fff68a7c708 (__TEXT,__text) external _LLVMAdvanceCoverageIterator
00007fff689eb792 (__TEXT,__text) external _LLVMAlignOf
00007fff689ece17 (__TEXT,__text) external _LLVMAppendBasicBlock
00007fff689ecdb5 (__TEXT,__text) external _LLVMAppendBasicBlockInContext
00007fff689ea0e4 (__TEXT,__text) external _LLVMArrayType
00007fff689ecc3b (__TEXT,__text) external _LLVMBasicBlockAsValue
00007fff689ebe14 (__TEXT,__text) external _LLVMBlockAddress
00007fff689ee84f (__TEXT,__text) external _LLVMBuildAShr
00007fff689ee0d5 (__TEXT,__text) external _LLVMBuildAdd
00007fff689ef827 (__TEXT,__text) external _LLVMBuildAddrSpaceCast
00007fff689edba7 (__TEXT,__text) external _LLVMBuildAggregateRet
00007fff689ef14a (__TEXT,__text) external _LLVMBuildAlloca
00007fff689ee934 (__TEXT,__text) external _LLVMBuildAnd
