00000001f5f3da74 (__TEXT,__text) non-external +[MGDaemon daemon]
00000001f5f41948 (__TEXT,__text) non-external -[MGDaemon .cxx_destruct]
00000001f5f40b20 (__TEXT,__text) non-external -[MGDaemon HomeKitAccessoryOfType:accessoryIdentifier:homeIdentifier:categoryType:name:completion:]
00000001f5f3e330 (__TEXT,__text) non-external -[MGDaemon _ingestHomeKitHome:]
00000001f5f3f404 (__TEXT,__text) non-external -[MGDaemon addHomeKitAccessory:fromHome:]
00000001f5f3eae8 (__TEXT,__text) non-external -[MGDaemon addHomeKitHome:]
00000001f5f3f324 (__TEXT,__text) non-external -[MGDaemon addHomeKitMediaSystem:]
00000001f5f3f114 (__TEXT,__text) non-external -[MGDaemon addHomeKitMediaSystem:fromHome:]
00000001f5f3ef04 (__TEXT,__text) non-external -[MGDaemon addHomeKitRoom:fromHome:]
00000001f5f3ecf4 (__TEXT,__text) non-external -[MGDaemon addHomeKitZone:fromHome:]
00000001f5f411c8 (__TEXT,__text) non-external -[MGDaemon addMember:group:completion:]
00000001f5f41930 (__TEXT,__text) non-external -[MGDaemon clients]
00000001f5f3fe6c (__TEXT,__text) non-external -[MGDaemon createGroupWithType:name:members:completion:]
00000001f5f40674 (__TEXT,__text) non-external -[MGDaemon deleteGroup:completion:]
00000001f5f41928 (__TEXT,__text) non-external -[MGDaemon dispatchQueue]
00000001f5f41938 (__TEXT,__text) non-external -[MGDaemon groupsMediator]
00000001f5f3da9c (__TEXT,__text) non-external -[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]
00000001f5f3cfcc (__TEXT,__text) non-external -[MGDaemon initWithServiceListenerProvider:]
00000001f5f3da14 (__TEXT,__text) non-external -[MGDaemon init]
00000001f5f3f99c (__TEXT,__text) non-external -[MGDaemon listener:shouldAcceptNewConnection:]
00000001f5f41918 (__TEXT,__text) non-external -[MGDaemon listenerProvider]
00000001f5f41920 (__TEXT,__text) non-external -[MGDaemon listener]
00000001f5f41940 (__TEXT,__text) non-external -[MGDaemon queryAgent]
00000001f5f3f800 (__TEXT,__text) non-external -[MGDaemon removeHomeKitAccessory:fromHome:]
