000000018c0466e4 (__TEXT,__text) non-external _Annihilate
000000018c083530 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
000000018c083b60 (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
000000018c0826d4 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
000000018c046454 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
000000018c06055c (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
000000018c039e4c (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
000000018c046bb4 (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
000000018c03a0a0 (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
000000018c080f30 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
000000018c0817c8 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
000000018c03a320 (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
000000018c04d36c (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
000000018c0591a8 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
000000018c059d98 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
000000018c0585b8 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
000000018c0588e0 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
000000018c0594d0 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
000000018c057cf0 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
000000018c041030 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
000000018c042538 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
000000018c043884 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
000000018c044bd0 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
000000018c0411ec (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
000000018c075a70 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
000000018c0779d8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
000000018c078820 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
000000018c079668 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
000000018c07a4b0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
000000018c07b2f8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
000000018c07c140 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
000000018c07cf88 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
000000018c07dea0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
000000018c075d48 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
000000018c076b90 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
000000018c056120 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
000000018c0674f8 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
000000018c05c350 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
000000018c055730 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
000000018c05c1f0 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
000000018c04b9dc (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
000000018c04bafc (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
000000018c04bc18 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
000000018c04ba9c (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
000000018c04fd28 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
000000018c04fd20 (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
000000018c04fbd0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
000000018c051f58 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
000000018c04fcd4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
000000018c04fcb4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
000000018c04b988 (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
000000018c051f14 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
000000018c051e94 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
000000018c051d60 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
000000018c051e48 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
000000018c04fc08 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
000000018c04fd50 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
000000018c04b70c (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
000000018c04b714 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
000000018c047714 (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
000000018c03aaac (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
000000018c03c67c (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
000000018c03a884 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
000000018c03a99c (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
000000018c03f4d4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
000000018c03d448 (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
000000018c03aa84 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
000000018c03a7a0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
000000018c03f4e4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
000000018c03f54c (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
000000018c04e5ac (__TEXT,__text) non-external _BrotliEnsureRingBuffer
000000018c0545a4 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
000000018c073634 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
000000018c0465a4 (__TEXT,__text) non-external (was a private external) _BrotliFree
000000018c046ba4 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
000000018c05f0a8 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
000000018c058e08 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
000000018c0599f8 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
000000018c058218 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
000000018c058b30 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
000000018c059720 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
000000018c057f40 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
000000018c05900c (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
000000018c059bfc (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
000000018c05841c (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
000000018c058e9c (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
000000018c059a8c (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
