000000021b0c1820 (__DATA,__bss) non-external _A
000000021cb932f0 (__AUTH,__data) non-external (was a private external) _CMARK_ARENA_MEM_ALLOCATOR
000000021cb932d8 (__AUTH,__data) non-external (was a private external) _CMARK_DEFAULT_MEM_ALLOCATOR
000000021b0c1500 (__DATA,__data) external _CMARK_NODE_LAST_BLOCK
000000021b0c1504 (__DATA,__data) external _CMARK_NODE_LAST_INLINE
000000021b0c1828 (__DATA,__common) external _CMARK_NODE_STRIKETHROUGH
000000021b0c1830 (__DATA,__common) external _CMARK_NODE_TABLE
000000021b0c1838 (__DATA,__common) external _CMARK_NODE_TABLE_CELL
000000021b0c1834 (__DATA,__common) external _CMARK_NODE_TABLE_ROW
000000021b0c17d8 (__DATA,__bss) non-external _CMARK_NODE__TABLE_VISITED
000000020c509b40 (__TEXT,__const) non-external _HREF_SAFE
0000000217ba78d8 (__DATA_CONST,__const) non-external _HTML_ESCAPES
000000020c507f13 (__TEXT,__const) non-external _HTML_ESCAPE_TABLE
000000020c5033ec (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020c509a40 (__TEXT,__const) non-external _SMART_PUNCT_CHARS
000000020c4fd688 (__TEXT,__text) non-external _S_advance_offset
000000020c4eded8 (__TEXT,__text) non-external _S_blankline
000000020c4fe130 (__TEXT,__text) non-external _S_can_contain
000000020c4edebc (__TEXT,__text) non-external _S_cr
000000020c4fd730 (__TEXT,__text) non-external _S_find_first_nonspace
000000020c4f02f8 (__TEXT,__text) non-external _S_get_enumlevel
000000020c4fe070 (__TEXT,__text) non-external _S_node_unlink
000000020c4edef0 (__TEXT,__text) non-external _S_out
000000020c4ec418 (__TEXT,__text) non-external _S_outc
000000020c4fbb88 (__TEXT,__text) non-external _S_parser_feed
000000020c509a28 (__TEXT,__const) non-external _S_parser_feed.repl
000000020c4ff68c (__TEXT,__text) non-external _S_print_error
000000020c4fc338 (__TEXT,__text) non-external _S_process_line
000000020c50718c (__TEXT,__text) non-external _S_process_line.cold.1
000000020c5071b8 (__TEXT,__text) non-external _S_process_line.cold.2
000000020c5071e4 (__TEXT,__text) non-external _S_process_line.cold.3
000000020c507210 (__TEXT,__text) non-external _S_process_line.cold.4
000000020c50723c (__TEXT,__text) non-external _S_process_line.cold.5
000000020c4ebc34 (__TEXT,__text) non-external _S_put_footnote_backref
000000020c4e9cd0 (__TEXT,__text) non-external _S_render_node
000000020c4ec540 (__TEXT,__text) non-external _S_render_node
000000020c4efac0 (__TEXT,__text) non-external _S_render_node
000000020c503f80 (__TEXT,__text) non-external _S_render_node
000000020c506e90 (__TEXT,__text) non-external _S_render_node.cold.1
000000020c506f48 (__TEXT,__text) non-external _S_render_node.cold.1
000000020c507024 (__TEXT,__text) non-external _S_render_node.cold.1
000000020c507ae4 (__TEXT,__text) non-external _S_render_node.cold.1
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___tolower (from libSystem)
000000020c4ee2a4 (__TEXT,__text) non-external (was a private external) __ext_scan_at
000000020c4f0588 (__TEXT,__text) non-external (was a private external) __scan_at
000000020c4f9250 (__TEXT,__text) non-external (was a private external) __scan_atx_heading_start
000000020c509513 (__TEXT,__const) non-external __scan_atx_heading_start.yybm
000000020c4f1ca4 (__TEXT,__text) non-external (was a private external) __scan_autolink_email
000000020c508613 (__TEXT,__const) non-external __scan_autolink_email.yybm
000000020c4f10d4 (__TEXT,__text) non-external (was a private external) __scan_autolink_uri
000000020c508513 (__TEXT,__const) non-external __scan_autolink_uri.yybm
000000020c4f982c (__TEXT,__text) non-external (was a private external) __scan_close_code_fence
000000020c509813 (__TEXT,__const) non-external __scan_close_code_fence.yybm
000000020c4fa434 (__TEXT,__text) non-external (was a private external) __scan_dangerous_url
000000020c4f9984 (__TEXT,__text) non-external (was a private external) __scan_entity
000000020c4fa74c (__TEXT,__text) non-external (was a private external) __scan_footnote_definition
000000020c509913 (__TEXT,__const) non-external __scan_footnote_definition.yybm
000000020c4f731c (__TEXT,__text) non-external (was a private external) __scan_html_block_end_1
000000020c508e13 (__TEXT,__const) non-external __scan_html_block_end_1.yybm
000000020c4f7c54 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_2
000000020c508f13 (__TEXT,__const) non-external __scan_html_block_end_2.yybm
000000020c4f8064 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_3
000000020c509013 (__TEXT,__const) non-external __scan_html_block_end_3.yybm
000000020c4f8414 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_4
000000020c509113 (__TEXT,__const) non-external __scan_html_block_end_4.yybm
000000020c4f8720 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_5
000000020c509213 (__TEXT,__const) non-external __scan_html_block_end_5.yybm
000000020c4f5828 (__TEXT,__text) non-external (was a private external) __scan_html_block_start
000000020c4f6cac (__TEXT,__text) non-external (was a private external) __scan_html_block_start_7
000000020c508d13 (__TEXT,__const) non-external __scan_html_block_start_7.yybm
000000020c4f5610 (__TEXT,__text) non-external (was a private external) __scan_html_cdata
000000020c508c13 (__TEXT,__const) non-external __scan_html_cdata.yybm
000000020c4f5064 (__TEXT,__text) non-external (was a private external) __scan_html_comment
000000020c508913 (__TEXT,__const) non-external __scan_html_comment.yybm
000000020c4f54d8 (__TEXT,__text) non-external (was a private external) __scan_html_declaration
000000020c508b13 (__TEXT,__const) non-external __scan_html_declaration.yybm
000000020c4f51f0 (__TEXT,__text) non-external (was a private external) __scan_html_pi
000000020c508a13 (__TEXT,__const) non-external __scan_html_pi.yybm
000000020c4f4708 (__TEXT,__text) non-external (was a private external) __scan_html_tag
000000020c508713 (__TEXT,__const) non-external __scan_html_tag.yybm
