                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff80d9be4eb (__TEXT,__text) external ___cmph_dump
00007ff80d9be547 (__TEXT,__text) external ___cmph_load
00007ff80d9be4e1 (__TEXT,__text) external ___config_destroy
00007ff80d9be4ac (__TEXT,__text) external ___config_new
00007ff80d9c125b (__TEXT,__text) non-external ___jenkins_hash_vector
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80d9b489b (__TEXT,__text) external _bdz_config_destroy
00007ff80d9b4868 (__TEXT,__text) external _bdz_config_new
00007ff80d9b48a9 (__TEXT,__text) external _bdz_config_set_b
00007ff80d9b48c4 (__TEXT,__text) external _bdz_config_set_hashfuncs
00007ff80d9b5816 (__TEXT,__text) external _bdz_destroy
00007ff80d9b5402 (__TEXT,__text) external _bdz_dump
00007ff80d9b5af3 (__TEXT,__text) non-external _bdz_dump_graph
00007ff80d9b5549 (__TEXT,__text) external _bdz_load
00007ff80d9c2db0 (__TEXT,__const) external _bdz_lookup_table
00007ff80d9b48d8 (__TEXT,__text) external _bdz_new
00007ff80d9b5853 (__TEXT,__text) external _bdz_pack
00007ff80d9b58fd (__TEXT,__text) external _bdz_packed_size
00007ff80d9b5ba2 (__TEXT,__text) external _bdz_ph_config_destroy
00007ff80d9b5b7a (__TEXT,__text) external _bdz_ph_config_new
00007ff80d9c215d (__TEXT,__text) non-external _bdz_ph_config_new.cold.1
00007ff80d9b5bb0 (__TEXT,__text) external _bdz_ph_config_set_hashfuncs
00007ff80d9b68c3 (__TEXT,__text) external _bdz_ph_destroy
00007ff80d9b65cf (__TEXT,__text) external _bdz_ph_dump
00007ff80d9b6ae9 (__TEXT,__text) non-external _bdz_ph_dump_graph
00007ff80d9b66bb (__TEXT,__text) external _bdz_ph_load
00007ff80d9b5bc3 (__TEXT,__text) external _bdz_ph_new
00007ff80d9b68f7 (__TEXT,__text) external _bdz_ph_pack
00007ff80d9b696d (__TEXT,__text) external _bdz_ph_packed_size
00007ff80d9b67c2 (__TEXT,__text) external _bdz_ph_search
00007ff80d9b69ae (__TEXT,__text) external _bdz_ph_search_packed
00007ff80d9b56bc (__TEXT,__text) external _bdz_search
00007ff80d9b5944 (__TEXT,__text) external _bdz_search_packed
00007ff80d9c2eb0 (__TEXT,__const) non-external _bitmask
00007ff80d9c2ed0 (__TEXT,__const) non-external _bitmask
00007ff80d9c33f8 (__TEXT,__const) non-external _bitmask
00007ff80d9c3408 (__TEXT,__const) non-external _bitmask
