                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
00007ffd0c593b2f (__TEXT,__text) non-external _sbuf_extend
00007ffd0c593c89 (__TEXT,__text) non-external _sbuf_put_byte
00007ffd0c59387d (__TEXT,__text) non-external _sbuf_put_bytes
                 (undefined) external _strlen (from libSystem)
00007ffd0c593861 (__TEXT,__text) external _usbuf_bcat
00007ffd0c593954 (__TEXT,__text) external _usbuf_bcpy
00007ffd0c59398c (__TEXT,__text) external _usbuf_cat
00007ffd0c59374f (__TEXT,__text) external _usbuf_clear
00007ffd0c593732 (__TEXT,__text) external _usbuf_clear_flags
00007ffd0c59378b (__TEXT,__text) external _usbuf_count_drain
00007ffd0c5939bc (__TEXT,__text) external _usbuf_cpy
00007ffd0c593e47 (__TEXT,__text) external _usbuf_data
00007ffd0c593e77 (__TEXT,__text) external _usbuf_delete
00007ffd0c593ec9 (__TEXT,__text) external _usbuf_done
00007ffd0c5937a5 (__TEXT,__text) external _usbuf_drain
00007ffd0c593f13 (__TEXT,__text) external _usbuf_end_section
00007ffd0c593dcf (__TEXT,__text) external _usbuf_error
00007ffd0c593dd8 (__TEXT,__text) external _usbuf_finish
00007ffd0c593728 (__TEXT,__text) external _usbuf_get_flags
00007ffd0c593430 (__TEXT,__text) external _usbuf_hexdump
00007ffd0c593e50 (__TEXT,__text) external _usbuf_len
00007ffd0c593626 (__TEXT,__text) external _usbuf_new
00007ffd0c593d01 (__TEXT,__text) external _usbuf_nl_terminate
00007ffd0c593bcf (__TEXT,__text) external _usbuf_printf
00007ffd0c5935e3 (__TEXT,__text) external _usbuf_printf_drain
00007ffd0c5935c8 (__TEXT,__text) external _usbuf_putbuf
00007ffd0c593c69 (__TEXT,__text) external _usbuf_putc
00007ffd0c593797 (__TEXT,__text) external _usbuf_set_drain
00007ffd0c593743 (__TEXT,__text) external _usbuf_set_flags
00007ffd0c59376f (__TEXT,__text) external _usbuf_setpos
00007ffd0c593ed7 (__TEXT,__text) external _usbuf_start_section
00007ffd0c593d40 (__TEXT,__text) external _usbuf_trim
00007ffd0c593a11 (__TEXT,__text) external _usbuf_vprintf
                 (undefined) external _vsnprintf (from libSystem)
