00007ffb0de19a52 (__TEXT,__text) non-external _DiToMD5
00007ffb0de19cd2 (__TEXT,__text) non-external _DiToSHA1
00007ffb0de0260e (__TEXT,__text) external _DriverExecutableMain
00007ffb41a21a80 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ffb0de01f7b (__TEXT,__text) external _IOCallOnce
00007ffb41a21d40 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ffb41a21c48 (__DATA_CONST,__const) external _IOCommand_Class
00007ffb41a21e38 (__DATA_CONST,__const) external _IODMACommand_Class
00007ffb41a21fe8 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ffb0ddfefee (__TEXT,__text) external _IODelay
00007ffb41a22198 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ffb41a22348 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ffb0de02bfc (__TEXT,__text) external _IODriverKitTest
00007ffb0de2afe9 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ffb0de2b00c (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ffb0de2b02f (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ffb0de2b052 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ffb0de2b075 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ffb0de2b098 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ffb0de2b0c3 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ffb0de2b0e6 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ffb41a224f8 (__DATA_CONST,__const) external _IOEventLink_Class
00007ffb41a226a8 (__DATA_CONST,__const) external _IOExtensiblePaniclog_Class
00007ffb0ddfef9a (__TEXT,__text) external _IOFree
00007ffb0ddfefd4 (__TEXT,__text) external _IOFreeData
00007ffb0de02bd5 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ffb41a22f78 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ffb41a22888 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ffb0de2a481 (__TEXT,__text) external _IOKernelPanic
00007ffb0ddff001 (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ffb0de01c7e (__TEXT,__text) external _IOLockAlloc
00007ffb0de01cd7 (__TEXT,__text) external _IOLockAssert
00007ffb0de2aa2a (__TEXT,__text) non-external _IOLockAssert.cold.1
00007ffb0de01ca3 (__TEXT,__text) external _IOLockFree
00007ffb0de01cb9 (__TEXT,__text) external _IOLockLock
00007ffb0de01cc3 (__TEXT,__text) external _IOLockTryLock
00007ffb0de01ccd (__TEXT,__text) external _IOLockUnlock
00007ffb0ddfeda9 (__TEXT,__text) external _IOLog
00007ffb0ddfec65 (__TEXT,__text) external _IOLogBuffer
00007ffb0ddfee47 (__TEXT,__text) external _IOLogv
00007ffb0de2a330 (__TEXT,__text) non-external _IOLogv.cold.1
00007ffb0ddfef44 (__TEXT,__text) external _IOMalloc
00007ffb0ddfefa4 (__TEXT,__text) external _IOMallocData
00007ffb0ddfef64 (__TEXT,__text) external _IOMallocTyped
00007ffb0ddfef6e (__TEXT,__text) external _IOMallocZero
00007ffb0ddfefb8 (__TEXT,__text) external _IOMallocZeroData
00007ffb0ddfef85 (__TEXT,__text) external _IOMallocZeroTyped
00007ffb41a22a38 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007ffb41a22be8 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007ffb0ddff081 (__TEXT,__text) external _IOParseBootArgNumber
00007ffb0ddff4d0 (__TEXT,__text) external _IOParseBootArgString
00007ffb0de00eed (__TEXT,__text) external _IORPCMessageFromMach
00007ffb0de2a7c5 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007ffb0de2a7e8 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007ffb0de01ed9 (__TEXT,__text) external _IORWLockAlloc
00007ffb0de2ab42 (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007ffb0de01f18 (__TEXT,__text) external _IORWLockFree
00007ffb0de01f3f (__TEXT,__text) external _IORWLockRead
00007ffb0de2ab65 (__TEXT,__text) non-external _IORWLockRead.cold.1
00007ffb0de01f67 (__TEXT,__text) external _IORWLockUnlock
00007ffb0de2abab (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007ffb0de01f53 (__TEXT,__text) external _IORWLockWrite
00007ffb0de2ab88 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007ffb0de01d59 (__TEXT,__text) external _IORecursiveConditionLockAlloc
00007ffb0de01d8f (__TEXT,__text) external _IORecursiveConditionLockFree
