                 (undefined) external _CGPathCreateMutable (from CoreGraphics)
                 (undefined) external _CGRectEqualToRect (from CoreGraphics)
                 (undefined) external _CGRectGetHeight (from CoreGraphics)
                 (undefined) external _CGRectGetMaxX (from CoreGraphics)
                 (undefined) external _CGRectGetMaxY (from CoreGraphics)
                 (undefined) external _CGRectGetMinX (from CoreGraphics)
                 (undefined) external _CGRectGetMinY (from CoreGraphics)
                 (undefined) external _CGRectGetWidth (from CoreGraphics)
                 (undefined) external _CGRectIntegral (from CoreGraphics)
                 (undefined) external _CGRectIntersection (from CoreGraphics)
                 (undefined) external _CGRectUnion (from CoreGraphics)
                 (undefined) external _CTFrameGetLines (from CoreText)
                 (undefined) external _CTFramesetterCreateFrame (from CoreText)
                 (undefined) external _CTFramesetterCreateWithAttributedString (from CoreText)
                 (undefined) external _NSFontAttributeName (from AppKit)
                 (undefined) external _NSParagraphStyleAttributeName (from AppKit)
                 (undefined) external _OBJC_CLASS_$_NSAttributedString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableAttributedString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableParagraphStyle (from AppKit)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSParagraphStyle (from AppKit)
                 (undefined) external _OBJC_CLASS_$_OS_os_log (from libSystem)
                 (undefined) external _OBJC_CLASS_$_UIColor (from UIKitCore)
                 (undefined) external _OBJC_CLASS_$_UIFont (from AppKit)
                 (undefined) external _OBJC_CLASS_$_UIScreen (from UIKitCore)
                 (undefined) external _OBJC_CLASS_$_UIView (from UIKitCore)
00000001ee9b4438 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$__TtC11TeaTemplate15ColumnDebugView
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_METACLASS_$_UIView (from UIKitCore)
00000001ee9b5158 (__DATA_DIRTY,__data) external _OBJC_METACLASS_$__TtC11TeaTemplate15ColumnDebugView
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
00000001d8a10fc4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d8a11ea0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d8a11ecc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d8a11ecc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d8a11f20 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d8a12524 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d8a14e50 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d8a14e50 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d8a14e50 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d8a14e50 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d8a16c4c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d8a16fa8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d8a186a8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d8a1c1c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d8a1c1d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d8a1c1d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d8a1c1d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
