                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff80d93f4eb (__TEXT,__text) external ___cmph_dump
00007ff80d93f547 (__TEXT,__text) external ___cmph_load
00007ff80d93f4e1 (__TEXT,__text) external ___config_destroy
00007ff80d93f4ac (__TEXT,__text) external ___config_new
00007ff80d94225b (__TEXT,__text) non-external ___jenkins_hash_vector
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80d93589b (__TEXT,__text) external _bdz_config_destroy
00007ff80d935868 (__TEXT,__text) external _bdz_config_new
00007ff80d9358a9 (__TEXT,__text) external _bdz_config_set_b
00007ff80d9358c4 (__TEXT,__text) external _bdz_config_set_hashfuncs
00007ff80d936816 (__TEXT,__text) external _bdz_destroy
00007ff80d936402 (__TEXT,__text) external _bdz_dump
00007ff80d936af3 (__TEXT,__text) non-external _bdz_dump_graph
00007ff80d936549 (__TEXT,__text) external _bdz_load
00007ff80d943db0 (__TEXT,__const) external _bdz_lookup_table
00007ff80d9358d8 (__TEXT,__text) external _bdz_new
00007ff80d936853 (__TEXT,__text) external _bdz_pack
00007ff80d9368fd (__TEXT,__text) external _bdz_packed_size
00007ff80d936ba2 (__TEXT,__text) external _bdz_ph_config_destroy
00007ff80d936b7a (__TEXT,__text) external _bdz_ph_config_new
00007ff80d94315d (__TEXT,__text) non-external _bdz_ph_config_new.cold.1
00007ff80d936bb0 (__TEXT,__text) external _bdz_ph_config_set_hashfuncs
00007ff80d9378c3 (__TEXT,__text) external _bdz_ph_destroy
00007ff80d9375cf (__TEXT,__text) external _bdz_ph_dump
00007ff80d937ae9 (__TEXT,__text) non-external _bdz_ph_dump_graph
00007ff80d9376bb (__TEXT,__text) external _bdz_ph_load
00007ff80d936bc3 (__TEXT,__text) external _bdz_ph_new
00007ff80d9378f7 (__TEXT,__text) external _bdz_ph_pack
00007ff80d93796d (__TEXT,__text) external _bdz_ph_packed_size
00007ff80d9377c2 (__TEXT,__text) external _bdz_ph_search
00007ff80d9379ae (__TEXT,__text) external _bdz_ph_search_packed
00007ff80d9366bc (__TEXT,__text) external _bdz_search
00007ff80d936944 (__TEXT,__text) external _bdz_search_packed
00007ff80d943eb0 (__TEXT,__const) non-external _bitmask
00007ff80d943ed0 (__TEXT,__const) non-external _bitmask
00007ff80d9443f8 (__TEXT,__const) non-external _bitmask
00007ff80d944408 (__TEXT,__const) non-external _bitmask
00007ff80d9445c8 (__TEXT,__const) non-external _bitmask
00007ff80d944670 (__TEXT,__const) non-external _bitmask
00007ff80d944460 (__TEXT,__const) non-external _bitmask32
00007ff80d944540 (__TEXT,__const) non-external _bitmask32
00007ff80d9445d0 (__TEXT,__const) non-external _bitmask32
00007ff80d938fc7 (__TEXT,__text) external _bmz8_config_destroy
00007ff80d938fa0 (__TEXT,__text) external _bmz8_config_new
00007ff80d938fd5 (__TEXT,__text) external _bmz8_config_set_hashfuncs
00007ff80d93a130 (__TEXT,__text) external _bmz8_destroy
