                 (undefined) external _BLASStateRelease (from libBLAS)
                 (undefined) external _BLASStateRetain (from libBLAS)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___cospi (from libSystem)
                 (undefined) external ___cospif (from libSystem)
                 (undefined) external ___sincos_stret (from libSystem)
                 (undefined) external ___sincosf_stret (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __get_cpu_capabilities (from libSystem)
                 (undefined) external _atan2 (from libSystem)
                 (undefined) external _atan2f (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _cblas_dgemm (from libBLAS)
                 (undefined) external _cblas_sgemm (from libBLAS)
                 (undefined) external _cos (from libSystem)
                 (undefined) external _cosf (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _log (from libSystem)
                 (undefined) external _log10 (from libSystem)
                 (undefined) external _log10f (from libSystem)
                 (undefined) external _log2 (from libSystem)
                 (undefined) external _logf (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset_pattern4 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _posix_memalign (from libSystem)
                 (undefined) external _pow (from libSystem)
                 (undefined) external _powf (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
                 (undefined) external _sin (from libSystem)
                 (undefined) external _sinf (from libSystem)
                 (undefined) external _tan (from libSystem)
000000018afeecc8 (__TEXT,__text) external _vDSP_DCT_CreateSetup
000000018afef224 (__TEXT,__text) external _vDSP_DCT_Execute
000000018afee290 (__TEXT,__text) external _vDSP_DFT_CreateSetup
000000018af2a130 (__TEXT,__text) external _vDSP_DFT_DestroySetup
000000018afef760 (__TEXT,__text) external _vDSP_DFT_DestroySetupD
000000018af29fa4 (__TEXT,__text) external _vDSP_DFT_Execute
000000018afefea0 (__TEXT,__text) external _vDSP_DFT_ExecuteD
000000018af41c48 (__TEXT,__text) external _vDSP_DFT_Interleaved_CreateSetup
000000018af68a80 (__TEXT,__text) external _vDSP_DFT_Interleaved_CreateSetupD
000000018af41bcc (__TEXT,__text) external _vDSP_DFT_Interleaved_DestroySetup
000000018af68a0c (__TEXT,__text) external _vDSP_DFT_Interleaved_DestroySetupD
000000018af42844 (__TEXT,__text) external _vDSP_DFT_Interleaved_Execute
000000018af69168 (__TEXT,__text) external _vDSP_DFT_Interleaved_ExecuteD
000000018afee4d4 (__TEXT,__text) external _vDSP_DFT_zop
000000018af29f4c (__TEXT,__text) external _vDSP_DFT_zop_CreateSetup
000000018afef7c4 (__TEXT,__text) external _vDSP_DFT_zop_CreateSetupD
000000018af35c84 (__TEXT,__text) external _vDSP_DFT_zrop_CreateSetup
000000018afefb2c (__TEXT,__text) external _vDSP_DFT_zrop_CreateSetupD
000000018af34798 (__TEXT,__text) external _vDSP_FFT16_copv
000000018af3505c (__TEXT,__text) external _vDSP_FFT16_zopv
000000018af35744 (__TEXT,__text) external _vDSP_FFT32_copv
000000018af35f60 (__TEXT,__text) external _vDSP_FFT32_zopv
000000018afd04e0 (__TEXT,__text) external _vDSP_biquad
000000018afd0c14 (__TEXT,__text) external _vDSP_biquadD
000000018afcfefc (__TEXT,__text) external _vDSP_biquad_CreateSetup
000000018afd091c (__TEXT,__text) external _vDSP_biquad_CreateSetupD
000000018afd0474 (__TEXT,__text) external _vDSP_biquad_DestroySetup
000000018afd0b98 (__TEXT,__text) external _vDSP_biquad_DestroySetupD
000000018afd0144 (__TEXT,__text) external _vDSP_biquad_SetCoefficientsDouble
000000018afd02e8 (__TEXT,__text) external _vDSP_biquad_SetCoefficientsSingle
000000018b00d5cc (__TEXT,__text) external _vDSP_biquadm
000000018af85294 (__TEXT,__text) external _vDSP_biquadmD
000000018b00ed80 (__TEXT,__text) external _vDSP_biquadm_CopyState
000000018afb1e98 (__TEXT,__text) external _vDSP_biquadm_CopyStateD
000000018b00e008 (__TEXT,__text) external _vDSP_biquadm_CreateSetup
000000018afb1508 (__TEXT,__text) external _vDSP_biquadm_CreateSetupD
000000018b00ecf4 (__TEXT,__text) external _vDSP_biquadm_DestroySetup
