
/System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd (for architecture x86_64):
                 (undefined) external _OBJC_CLASS_$_BSMutableIntegerMap (from BaseBoard)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSRunLoop (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_STAttributedEntityResolverProvider (from SystemStatusServer)
                 (undefined) external _OBJC_CLASS_$_STBackgroundActivitiesStatusDomainVisualDescriptorTransformer (from SystemStatusServer)
                 (undefined) external _OBJC_CLASS_$_STDataAccessStatusDomainDataProvider (from SystemStatusServer)
                 (undefined) external _OBJC_CLASS_$_STDataAccessStatusDomainDisplayNameTransformerProvider (from SystemStatusServer)
                 (undefined) external _OBJC_CLASS_$_STDynamicActivityAttributionMonitor (from SystemStatus)
                 (undefined) external _OBJC_CLASS_$_STExecutableIdentityResolver (from SystemStatusServer)
                 (undefined) external _OBJC_CLASS_$_STLocalDynamicActivityAttributionManager (from SystemStatus)
                 (undefined) external _OBJC_CLASS_$_STLocalStatusServer (from SystemStatusServer)
                 (undefined) external _OBJC_CLASS_$_STLocationStatusDomainDisplayNameTransformerProvider (from SystemStatusServer)
                 (undefined) external _OBJC_CLASS_$_STMediaStatusDomainDisplayNameTransformerProvider (from SystemStatusServer)
                 (undefined) external _OBJC_CLASS_$_STSystemStatusDefaults (from SystemStatus)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _STSystemStatusDescriptionForDomain (from SystemStatus)
                 (undefined) external __BSIsInternalInstall (from BaseBoard)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __dispatch_main_q (from libSystem)
0000000100000000 (__TEXT,__text) [referenced dynamically] external __mh_execute_header
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_debug_impl (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __set_user_dir_suffix (from libSystem)
                 (undefined) external _confstr (from libSystem)
                 (undefined) external _exit (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _notify_post (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autoreleasePoolPop (from libobjc)
                 (undefined) external _objc_autoreleasePoolPush (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_unsafeClaimAutoreleasedReturnValue (from libobjc)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_transaction_create (from libSystem)
                 (undefined) external _realpath$DARWIN_EXTSN (from libSystem)
                 (undefined) external _sandbox_init_with_parameters (from libSystem)

/System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd (for architecture arm64e):
                 (undefined) external _OBJC_CLASS_$_BSMutableIntegerMap (from BaseBoard)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSRunLoop (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_STAttributedEntityResolverProvider (from SystemStatusServer)
                 (undefined) external _OBJC_CLASS_$_STBackgroundActivitiesStatusDomainVisualDescriptorTransformer (from SystemStatusServer)
                 (undefined) external _OBJC_CLASS_$_STDataAccessStatusDomainDataProvider (from SystemStatusServer)
                 (undefined) external _OBJC_CLASS_$_STDataAccessStatusDomainDisplayNameTransformerProvider (from SystemStatusServer)
                 (undefined) external _OBJC_CLASS_$_STDynamicActivityAttributionMonitor (from SystemStatus)
                 (undefined) external _OBJC_CLASS_$_STExecutableIdentityResolver (from SystemStatusServer)
                 (undefined) external _OBJC_CLASS_$_STLocalDynamicActivityAttributionManager (from SystemStatus)
                 (undefined) external _OBJC_CLASS_$_STLocalStatusServer (from SystemStatusServer)
                 (undefined) external _OBJC_CLASS_$_STLocationStatusDomainDisplayNameTransformerProvider (from SystemStatusServer)
                 (undefined) external _OBJC_CLASS_$_STMediaStatusDomainDisplayNameTransformerProvider (from SystemStatusServer)
                 (undefined) external _OBJC_CLASS_$_STSystemStatusDefaults (from SystemStatus)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _STSystemStatusDescriptionForDomain (from SystemStatus)
                 (undefined) external __BSIsInternalInstall (from BaseBoard)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __dispatch_main_q (from libSystem)
0000000100000000 (__TEXT,__text) [referenced dynamically] external __mh_execute_header
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_debug_impl (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __set_user_dir_suffix (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _confstr (from libSystem)
                 (undefined) external _exit (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _notify_post (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autoreleasePoolPop (from libobjc)
                 (undefined) external _objc_autoreleasePoolPush (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_unsafeClaimAutoreleasedReturnValue (from libobjc)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_transaction_create (from libSystem)
                 (undefined) external _realpath$DARWIN_EXTSN (from libSystem)
                 (undefined) external _sandbox_init_with_parameters (from libSystem)
