00007ffe43333710 (__DATA,__bss) non-external _A
00007ffe433335e0 (__DATA,__data) non-external (was a private external) _CMARK_ARENA_MEM_ALLOCATOR
00007ffe433334c0 (__DATA,__data) non-external (was a private external) _CMARK_DEFAULT_MEM_ALLOCATOR
00007ffe42e5e0b8 (__DATA_DIRTY,__data) external _CMARK_NODE_LAST_BLOCK
00007ffe42e5e0b4 (__DATA_DIRTY,__data) external _CMARK_NODE_LAST_INLINE
00007ffe42e5e0d8 (__DATA_DIRTY,__common) external _CMARK_NODE_STRIKETHROUGH
00007ffe42e5e0d4 (__DATA_DIRTY,__common) external _CMARK_NODE_TABLE
00007ffe42e5e0d0 (__DATA_DIRTY,__common) external _CMARK_NODE_TABLE_CELL
00007ffe42e5e0cc (__DATA_DIRTY,__common) external _CMARK_NODE_TABLE_ROW
00007ffe42e5e0ca (__DATA_DIRTY,__bss) non-external _CMARK_NODE__TABLE_VISITED
00007ffe06b64470 (__TEXT,__const) non-external _HREF_SAFE
00007ffe06b62750 (__TEXT,__const) non-external _HTML_ESCAPES.rel
00007ffe06b62770 (__TEXT,__const) non-external _HTML_ESCAPE_TABLE
00007ffe06b64370 (__TEXT,__const) non-external _SMART_PUNCT_CHARS
00007ffe06b588f3 (__TEXT,__text) non-external _S_advance_offset
00007ffe06b49ec9 (__TEXT,__text) non-external _S_blankline
00007ffe06b5935e (__TEXT,__text) non-external _S_can_contain
00007ffe06b49eb6 (__TEXT,__text) non-external _S_cr
00007ffe06b5899a (__TEXT,__text) non-external _S_find_first_nonspace
00007ffe06b4be0c (__TEXT,__text) non-external _S_get_enumlevel
00007ffe06b592ad (__TEXT,__text) non-external _S_node_unlink
00007ffe06b49edc (__TEXT,__text) non-external _S_out
00007ffe06b4853e (__TEXT,__text) non-external _S_outc
00007ffe06b56ef2 (__TEXT,__text) non-external _S_parser_feed
00007ffe06b64330 (__TEXT,__const) non-external _S_parser_feed.repl
00007ffe06b5a7b8 (__TEXT,__text) non-external _S_print_error
00007ffe06b57613 (__TEXT,__text) non-external _S_process_line
00007ffe06b61b97 (__TEXT,__text) non-external _S_process_line.cold.1
00007ffe06b61bba (__TEXT,__text) non-external _S_process_line.cold.2
00007ffe06b61bdd (__TEXT,__text) non-external _S_process_line.cold.3
00007ffe06b47e44 (__TEXT,__text) non-external _S_put_footnote_backref
00007ffe06b4615c (__TEXT,__text) non-external _S_render_node
00007ffe06b48628 (__TEXT,__text) non-external _S_render_node
00007ffe06b4b780 (__TEXT,__text) non-external _S_render_node
00007ffe06b5f0cf (__TEXT,__text) non-external _S_render_node
00007ffe06b61848 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffe06b619d0 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffe06b61a7f (__TEXT,__text) non-external _S_render_node.cold.1
00007ffe06b6244e (__TEXT,__text) non-external _S_render_node.cold.1
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
