00000001df323d20 (__DATA,__data) non-external _C
00000001df324ec0 (__DATA,__bss) non-external _CF6464
0000000180234e88 (__TEXT,__const) non-external _CIFP
0000000180234e58 (__TEXT,__const) non-external _ExpandTr
00000001df324eb0 (__DATA,__bss) non-external _IE3264
0000000180234e18 (__TEXT,__const) non-external _IP
00000001df324e20 (__DATA,__bss) non-external _KS
00000001eb742ca0 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00000001eb742c98 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
                 (undefined) external _OSAtomicDequeue (from libsystem_platform)
                 (undefined) external _OSAtomicEnqueue (from libsystem_platform)
00000001801c0cb0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001801c4330 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001801cd8fc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001801df278 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001801dfb00 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001802129b4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001801cd910 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001801dfb1c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001801cd9d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
00000001801cd9e8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
00000001801cda00 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
00000001801cda14 (__TEXT,__text) non-external _OUTLINED_FUNCTION_13
00000001801cda28 (__TEXT,__text) non-external _OUTLINED_FUNCTION_14
00000001801cda34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_15
00000001801cda48 (__TEXT,__text) non-external _OUTLINED_FUNCTION_16
00000001801cda5c (__TEXT,__text) non-external _OUTLINED_FUNCTION_17
00000001801cda74 (__TEXT,__text) non-external _OUTLINED_FUNCTION_18
00000001801cd92c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001801dfb34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001801cd940 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001801cd954 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001801cd968 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001801cd97c (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
00000001801cd990 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
00000001801cd9ac (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
00000001801cd9c0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
0000000180234ec8 (__TEXT,__const) non-external _P32Tr
0000000180234de0 (__TEXT,__const) non-external _PC1
00000001df324e18 (__DATA,__bss) non-external _PC1ROT
0000000180234da0 (__TEXT,__const) non-external _PC2
00000001df324ea0 (__DATA,__bss) non-external _PC2ROT
0000000180234d90 (__TEXT,__const) non-external _Rotates
0000000180234ee8 (__TEXT,__const) non-external _S
00000001df324eb8 (__DATA,__bss) non-external _SPE
00000001801ea3e4 (__TEXT,__text) non-external (was a private external) __BIG5_init
00000001801ea428 (__TEXT,__text) non-external __BIG5_mbrtowc
00000001801ea54c (__TEXT,__text) non-external __BIG5_mbsinit
00000001801ea4f8 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00000001df323e38 (__DATA,__data) non-external __C_lconv
00000001e5916438 (__DATA_CONST,__const) non-external __C_messages_locale
00000001e5916458 (__DATA_CONST,__const) non-external __C_monetary_locale
00000001e5916500 (__DATA_CONST,__const) non-external __C_numeric_locale
00000001e59166e0 (__DATA_CONST,__const) non-external __C_time_locale
00000001df323f88 (__DATA,__data) external __CurrentRuneLocale
00000001df324150 (__DATA,__constrw) external __DefaultRuneLocale
00000001eb771740 (__AUTH,__constrw) non-external (was a private external) __DefaultRuneXLocale
00000001801ec3c0 (__TEXT,__text) non-external __EUC_free_extra
00000001801ebf50 (__TEXT,__text) non-external (was a private external) __EUC_init
00000001801ec104 (__TEXT,__text) non-external __EUC_mbrtowc
00000001801ec3a4 (__TEXT,__text) non-external __EUC_mbsinit
00000001801ec290 (__TEXT,__text) non-external __EUC_wcrtomb
0000000180213218 (__TEXT,__text) external __Exit
