                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
00007ff80e5d6c36 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
00007ff80e5d39ad (__TEXT,__text) external _FSp_profile_init
00007ff80e5d39ba (__TEXT,__text) external _FSp_profile_init_path
00007ff80e5d6c41 (__TEXT,__text) external _FSp_put_svc_key
00007ff80e5d6c4c (__TEXT,__text) external _FSp_read_service_key
00007ff842712af0 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00007ff842712b08 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00007ff842712ac8 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00007ff842712ab0 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00007ff842712a80 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00007ff842712a98 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00007ff842712a68 (__DATA,__data) external _GSS_C_NT_USER_NAME
00007ff842712b90 (__DATA,__data) external _GSS_KRB5_MECHANISM
00007ff842712b60 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00007ff842712b28 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00007ff842712b70 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00007ff842712b50 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
00007ff80e5d6d9e (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
00007ff80e5d6d93 (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
00007ff80e5d6d12 (__TEXT,__text) external _KClientAddCredentialsDeprecated
00007ff80e5d6c83 (__TEXT,__text) external _KClientAddRealmMapDeprecated
00007ff80e5d6caf (__TEXT,__text) external _KClientAddServerMapDeprecated
00007ff80e5d6f8d (__TEXT,__text) external _KClientAddServiceKey
00007ff80e5d6c57 (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
00007ff80e5d6ff0 (__TEXT,__text) external _KClientDecrypt
00007ff80e5d6e22 (__TEXT,__text) external _KClientDecryptCompat
00007ff80e5d6d1d (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
00007ff80e5d6c8e (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
00007ff80e5d6cba (__TEXT,__text) external _KClientDeleteServerMapDeprecated
00007ff80e5d6cfc (__TEXT,__text) external _KClientDeleteSessionDeprecated
00007ff80e5d703d (__TEXT,__text) external _KClientDisposePrincipal
00007ff80e5d6ed2 (__TEXT,__text) external _KClientDisposeSession
00007ff80e5d6dbf (__TEXT,__text) external _KClientDisposeSessionCompat
00007ff80e5d6fe5 (__TEXT,__text) external _KClientEncrypt
00007ff80e5d6e17 (__TEXT,__text) external _KClientEncryptCompat
00007ff80e5d6fa3 (__TEXT,__text) external _KClientGetAuthenticatorForService
00007ff80e5d7011 (__TEXT,__text) external _KClientGetCCacheReference
00007ff80e5d6edd (__TEXT,__text) external _KClientGetClientPrincipal
00007ff80e5d6d07 (__TEXT,__text) external _KClientGetCredentialsDeprecated
00007ff80e5d6fcf (__TEXT,__text) external _KClientGetEncryptedServiceReply
00007ff80e5d6d49 (__TEXT,__text) external _KClientGetErrorTextDeprecated
