                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018f2436b0 (__TEXT,__text) non-external _au_assemble
000000018f244e9c (__TEXT,__text) external _au_bsm_to_domain
000000018f250f10 (__TEXT,__text) external _au_bsm_to_errno
000000018f250fd8 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
000000018f24c614 (__TEXT,__text) external _au_bsm_to_socket_type
000000018f24393c (__TEXT,__text) external _au_close
000000018f243a0c (__TEXT,__text) external _au_close_buffer
000000018f243af0 (__TEXT,__text) external _au_close_token
000000018f2435c8 (__TEXT,__text) external _au_close_with_errors
00000001ec87a2a8 (__DATA_DIRTY,__bss) non-external _au_cond
000000018f244e68 (__TEXT,__text) external _au_domain_to_bsm
000000018f250ed8 (__TEXT,__text) external _au_errno_to_bsm
000000018f250fa4 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
000000018f242c38 (__TEXT,__text) external _au_fetch_tok
000000018f24339c (__TEXT,__text) external _au_free_token
000000018f24c4d0 (__TEXT,__text) external _au_get_state
000000018f24c3f0 (__TEXT,__text) external _au_notify_initialize
000000018f24c4a8 (__TEXT,__text) external _au_notify_terminate
000000018f2433e4 (__TEXT,__text) external _au_open
00000001e64ce448 (__DATA_CONST,__const) non-external _au_polstr
000000018f243fa8 (__TEXT,__text) external _au_poltostr
000000018f24c1b4 (__TEXT,__text) external _au_preselect
000000018f246fa0 (__TEXT,__text) external _au_print_flags_tok
000000018f24b4c4 (__TEXT,__text) external _au_print_tok
000000018f24b4e0 (__TEXT,__text) external _au_print_tok_xml
000000018f24578c (__TEXT,__text) external _au_print_xml_footer
000000018f245730 (__TEXT,__text) external _au_print_xml_header
000000018f24b4fc (__TEXT,__text) external _au_read_rec
000000018f250e8c (__TEXT,__text) external _au_sdev_close
000000018f250ed0 (__TEXT,__text) external _au_sdev_fd
000000018f2427e4 (__TEXT,__text) external _au_sdev_open
000000018f2428b8 (__TEXT,__text) external _au_sdev_read_aia
00000001e64ce538 (__DATA_CONST,__const) non-external _au_sflagsstr
000000018f24416c (__TEXT,__text) external _au_sflagstostr
000000018f24c5e0 (__TEXT,__text) external _au_socket_type_to_bsm
000000018f24483c (__TEXT,__text) non-external _au_spacetobytes
000000018f250f58 (__TEXT,__text) external _au_strerror
000000018f24407c (__TEXT,__text) external _au_strtopol
000000018f244240 (__TEXT,__text) external _au_strtosflags
000000018f243880 (__TEXT,__text) non-external _au_teardown
000000018f24c878 (__TEXT,__text) external _au_to_arg
000000018f24c658 (__TEXT,__text) external _au_to_arg32
000000018f24c758 (__TEXT,__text) external _au_to_arg64
000000018f24eb6c (__TEXT,__text) external _au_to_certificate_hash
000000018f24c87c (__TEXT,__text) external _au_to_data
000000018f24ea24 (__TEXT,__text) external _au_to_exec_args
000000018f24eb64 (__TEXT,__text) external _au_to_exec_env
000000018f24c97c (__TEXT,__text) external _au_to_exit
000000018f24d000 (__TEXT,__text) external _au_to_file
000000018f24ca44 (__TEXT,__text) external _au_to_groups
000000018f24f3c0 (__TEXT,__text) external _au_to_header
000000018f24f2b0 (__TEXT,__text) external _au_to_header32
000000018f24f1fc (__TEXT,__text) external _au_to_header32_ex
000000018f24ef08 (__TEXT,__text) external _au_to_header32_ex_tm
000000018f24edd8 (__TEXT,__text) external _au_to_header32_tm
000000018f24f338 (__TEXT,__text) external _au_to_header64
000000018f24f0a8 (__TEXT,__text) external _au_to_header64_tm
000000018f24f3c4 (__TEXT,__text) external _au_to_header_ex
000000018f24ec48 (__TEXT,__text) external _au_to_identity
000000018f24cb24 (__TEXT,__text) external _au_to_in_addr
000000018f24cbb4 (__TEXT,__text) external _au_to_in_addr_ex
000000018f24cc50 (__TEXT,__text) external _au_to_ip
000000018f24ccf0 (__TEXT,__text) external _au_to_ipc
000000018f24cda0 (__TEXT,__text) external _au_to_ipc_perm
000000018f24ceac (__TEXT,__text) external _au_to_iport
000000018f24f470 (__TEXT,__text) external _au_to_kevent
000000018f24eb74 (__TEXT,__text) external _au_to_krb5_principal
000000018f24e97c (__TEXT,__text) external _au_to_me
000000018f24ca50 (__TEXT,__text) external _au_to_newgroups
000000018f24cf3c (__TEXT,__text) external _au_to_opaque
000000018f24d1f8 (__TEXT,__text) external _au_to_path
000000018f24d63c (__TEXT,__text) external _au_to_process
000000018f24d2c4 (__TEXT,__text) external _au_to_process32
000000018f24d640 (__TEXT,__text) external _au_to_process32_ex
000000018f24d460 (__TEXT,__text) external _au_to_process64
000000018f24d894 (__TEXT,__text) external _au_to_process64_ex
000000018f24db24 (__TEXT,__text) external _au_to_process_ex
000000018f24dca8 (__TEXT,__text) external _au_to_return
000000018f24db28 (__TEXT,__text) external _au_to_return32
000000018f24dbd8 (__TEXT,__text) external _au_to_return64
000000018f24dcac (__TEXT,__text) external _au_to_seq
000000018f24e12c (__TEXT,__text) external _au_to_sock_inet
000000018f24e07c (__TEXT,__text) external _au_to_sock_inet128
000000018f24dfdc (__TEXT,__text) external _au_to_sock_inet32
000000018f24df04 (__TEXT,__text) external _au_to_sock_unix
000000018f24dd4c (__TEXT,__text) external _au_to_socket_ex
000000018f24ea2c (__TEXT,__text) non-external _au_to_strings
000000018f24e4a8 (__TEXT,__text) external _au_to_subject
000000018f24e130 (__TEXT,__text) external _au_to_subject32
000000018f24e4ac (__TEXT,__text) external _au_to_subject32_ex
000000018f24e2cc (__TEXT,__text) external _au_to_subject64
000000018f24e6f4 (__TEXT,__text) external _au_to_subject64_ex
000000018f24e978 (__TEXT,__text) external _au_to_subject_ex
