00007ffa11e14ba8 (__TEXT,__text) non-external +[NFPromise new]
00007ffa11e1609b (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00007ffa11e15ebf (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00007ffa11e15e9c (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00007ffa11e15e79 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00007ffa11e15daf (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00007ffa11e15e2c (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00007ffa11e15ddc (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00007ffa11e175ba (__TEXT,__text) non-external +[NFReachability _currentNetworkStatus]
00007ffa11e171c1 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00007ffa11e12d91 (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00007ffa11e14472 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00007ffa11e144fe (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00007ffa11e1458c (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00007ffa11e14635 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00007ffa11e162d6 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00007ffa11e16252 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00007ffa11e196dd (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00007ffa11e12a20 (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00007ffa11e12c2a (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00007ffa11e128bb (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00007ffa11e12174 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00007ffa11e128a7 (__TEXT,__text) non-external -[NFEventManager events]
00007ffa11e1198d (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00007ffa11e19934 (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00007ffa11e12633 (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00007ffa11e12358 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00007ffa11e11918 (__TEXT,__text) non-external -[NFEventManager init]
00007ffa11e11bd7 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00007ffa11e19af6 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00007ffa11e11fd6 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00007ffa11e19d99 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00007ffa11e11f09 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00007ffa11e19cb8 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00007ffa11e11a38 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00007ffa11e19a15 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00007ffa11e11d6d (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
