00000001ec7e3798 (__DATA,__bss) non-external _AGCPrinter
00000001a8c1f264 (__TEXT,__text) external _AIRNTClone
00000001a8c1f17c (__TEXT,__text) external _AIRNTDispose
00000001a8c1f750 (__TEXT,__text) external _AIRNTDisposeCompilationContext
00000001a8c201d0 (__TEXT,__text) external _AIRNTEmitAssembly
00000001a8c233f0 (__TEXT,__text) external _AIRNTEmitBuiltinExecutableImage
00000001a8c20310 (__TEXT,__text) external _AIRNTEmitDylibImage
00000001a8c22ae8 (__TEXT,__text) external _AIRNTEmitExecutableImage
00000001a8c20270 (__TEXT,__text) external _AIRNTEmitObject
00000001a8c250c8 (__TEXT,__text) external _AIRNTEmitPipelineImage
00000001a8c28438 (__TEXT,__text) external _AIRNTEmitPipelineImages
00000001a8c1f7dc (__TEXT,__text) external _AIRNTGetDefaultArch
00000001a8c1e56c (__TEXT,__text) external _AIRNTGetLLVMVersion
00000001a8c2ae50 (__TEXT,__text) external _AIRNTGetLegalizationPasses
00000001a8c1ffc4 (__TEXT,__text) external _AIRNTGetPreferredAIRArch
00000001a8c1f824 (__TEXT,__text) external _AIRNTGetSupportedArchs
00000001a8c1fff0 (__TEXT,__text) external _AIRNTGetSupportedBitcodeVersion
00000001a8c1fa94 (__TEXT,__text) external _AIRNTGetSupportedImpls
00000001a8c1f7d0 (__TEXT,__text) external _AIRNTGetVendorName
00000001a8c1f7bc (__TEXT,__text) external _AIRNTGetVersion
00000001a8c1e574 (__TEXT,__text) external _AIRNTInit
00000001a8c1f308 (__TEXT,__text) external _AIRNTInitCompilationContext
00000001a8c1fff8 (__TEXT,__text) external _AIRNTParseCommandLineOptions
00000001a8c1fb8c (__TEXT,__text) external _AIRNTSupportsArch
00000001a8c201c0 (__TEXT,__text) external _AIRNTSupportsEmitBuiltinExecutableImage
00000001a8c201b8 (__TEXT,__text) external _AIRNTSupportsEmitExecutableImage
00000001a8c1fce8 (__TEXT,__text) external _AIRNTSupportsTarget
00000001a8c201c8 (__TEXT,__text) external _AIRNTSupportsThreads
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFBundleCopyResourceURL (from CoreFoundation)
                 (undefined) external _CFBundleGetBundleWithIdentifier (from CoreFoundation)
                 (undefined) external _CFPreferencesGetAppIntegerValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetCStringPtr (from CoreFoundation)
                 (undefined) external _CFURLCopyFileSystemPath (from CoreFoundation)
00000001a8a7dd2c (__TEXT,__text) external _GLCompilerBuildRequest
00000001a8a7dd20 (__TEXT,__text) external _GLCompilerCreate
00000001a8a7dd28 (__TEXT,__text) external _GLCompilerDelete
00000001a8a7dd34 (__TEXT,__text) external _GLCompilerLogBuildRequest
00000001a8a7dd3c (__TEXT,__text) external _GLCompilerReleaseReply
                 (undefined) external _LLVMAGXRuntimeMajorVersion (from libLLVM)
                 (undefined) external _MGGetBoolAnswer (from libMobileGestalt)
00000001a8a8334c (__TEXT,__text) external _MTLCompilerBuildRequest
00000001a8a80c84 (__TEXT,__text) external _MTLCompilerBuildRequestWithOptions
00000001a8a832f0 (__TEXT,__text) external _MTLCompilerBuildRequestWithSerializedBitcode
00000001a8a7dd40 (__TEXT,__text) external _MTLCompilerCreate
00000001a8a80b94 (__TEXT,__text) external _MTLCompilerDelete
00000001a8a833d0 (__TEXT,__text) external _MTLCompilerReleaseReply
                 (undefined) external _NSHomeDirectory (from Foundation)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
00000001a8b2f2e8 (__TEXT,__text) non-external __Z10parseMDIntPKcPKN4llvm6MDNodeERjS5_
00000001a8a7f27c (__TEXT,__text) non-external __Z11initPrinterRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEEb13AGCTargetArch
00000001a8b2ff28 (__TEXT,__text) non-external __Z11parseMDTypeIN4llvm6MDNodeEEbPKcPKS1_RjRPT_
00000001a8b2f3d0 (__TEXT,__text) non-external __Z12parseMDUint3PKN4llvm6MDNodeEPKcRjRNSt3__15arrayIjLm3EEE
00000001a8ae41a4 (__TEXT,__text) non-external __Z12pixelTypeMapv
00000001a8a88bf0 (__TEXT,__text) non-external __Z12printHexDumpRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEEPKhmjPKcb
00000001a8a7fcf0 (__TEXT,__text) non-external __Z12printMessageRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEEPKcz
00000001a8ae3828 (__TEXT,__text) non-external __Z13bufferTypeMapv
00000001a8b2f578 (__TEXT,__text) non-external __Z13parseMDAccessPKN4llvm6MDNodeERjR14ResourceAccess
00000001a8b2fff4 (__TEXT,__text) non-external __Z13parseMDBufferPKN4llvm6MDNodeEjRjS3_S3_S3_RPS0_R14ResourceAccessRbS3_S8_
00000001a8aa8cbc (__TEXT,__text) non-external __Z14attribute_nameRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEE
00000001a8b2f630 (__TEXT,__text) non-external __Z14parseMDSamplerPKN4llvm6MDNodeERjS3_Rb
00000001a8b2f7c4 (__TEXT,__text) non-external __Z14parseMDTexturePKN4llvm6MDNodeERjS3_R14ResourceAccessRbS6_S6_S3_
00000001a8a86934 (__TEXT,__text) non-external __Z16dumpShaderToFilePKc
00000001a8c1c8cc (__TEXT,__text) non-external __Z17SimplifyGenericIRPN4llvm6ModuleEb
00000001a8c2aec8 (__TEXT,__text) non-external __Z19GetAGCActiveTargetsv
00000001a8b2f4c4 (__TEXT,__text) non-external __Z20parseMDLocationIndexPKN4llvm6MDNodeERjS3_S3_
00000001a8c1d428 (__TEXT,__text) non-external __Z21EraseInstructionChainPN4llvm5ValueE
