0000000180336d5c (__TEXT,__text) external _OSAtomicAdd32
0000000180336e1c (__TEXT,__text) external _OSAtomicAdd32Barrier
0000000180336f20 (__TEXT,__text) external _OSAtomicAdd64
000000018033709c (__TEXT,__text) external _OSAtomicAdd64Barrier
000000018033702c (__TEXT,__text) external _OSAtomicAnd32
00000001803379f8 (__TEXT,__text) external _OSAtomicAnd32Barrier
000000018033796c (__TEXT,__text) external _OSAtomicAnd32Orig
0000000180336f44 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
0000000180336d48 (__TEXT,__text) external _OSAtomicCompareAndSwap32
0000000180336ddc (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000180335ecc (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000180336dc8 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
0000000180336fe4 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
00000001803370cc (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
0000000180337004 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
0000000180336f50 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
0000000180337018 (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
0000000180336df0 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
0000000180336434 (__TEXT,__text) external _OSAtomicDecrement32
0000000180336e90 (__TEXT,__text) external _OSAtomicDecrement32Barrier
000000018033708c (__TEXT,__text) external _OSAtomicDecrement64
000000018033703c (__TEXT,__text) external _OSAtomicDecrement64Barrier
0000000180334450 (__TEXT,__text) external _OSAtomicDequeue
0000000180334714 (__TEXT,__text) external _OSAtomicEnqueue
0000000180338864 (__TEXT,__text) external _OSAtomicFifoDequeue
0000000180338850 (__TEXT,__text) external _OSAtomicFifoEnqueue
0000000180336424 (__TEXT,__text) external _OSAtomicIncrement32
0000000180336e80 (__TEXT,__text) external _OSAtomicIncrement32Barrier
0000000180336bfc (__TEXT,__text) external _OSAtomicIncrement64
0000000180336fd4 (__TEXT,__text) external _OSAtomicIncrement64Barrier
0000000180336ff8 (__TEXT,__text) external _OSAtomicOr32
0000000180336e04 (__TEXT,__text) external _OSAtomicOr32Barrier
00000001803370c4 (__TEXT,__text) external _OSAtomicOr32Orig
0000000180338bb4 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
000000018033704c (__TEXT,__text) external _OSAtomicTestAndClear
00000001803379b8 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
